ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%)
3510,WT,2021-10-06-02:29:16.970004,15.1,0.18,0.119,44.23,19.07,37.48
3511,WT,2021-10-05-20:37:43.284350,12.8,0.18,0.117,43.17,17.67,33.52
3546,WT,2021-10-16-02:04:35.884082,14.5,0.18,0.117,46.77,19.23,36.75
3549,WT,2021-10-11-03:51:30.887225,14.8,0.17,0.119,49.33,19.63,41.12
3550,KO,2021-10-10-03:59:08.060981,16.5,0.14,0.12,48.07,20.09,36.23
3555,KO,2021-10-10-03:30:08.670565,13.7,0.17,0.117,45.4,18.46,34.68
3557,KO,2021-10-14-19:08:05.562148,18.2,0.18,0.114,52.73,17.75,40.79
3558,KO,2021-10-09-05:28:32.269461,16.7,0.17,0.118,50.41,17.5,35.85
3566,CF,2021-10-09-03:03:54.561825,16.1,0.12,0.134,47.1,20.45,29.7
3699,KO,2021-12-01-02:28:21.266301,18.3,0.15,0.127,52.87,23.13,38.64
3700,KO,2021-12-05-18:11:25.551793,17.6,0.16,0.12,53.08,20.58,43.46
3702,KO,2021-11-20-00:06:58.398883,15.1,0.14,0.117,51.22,21.58,37.26
3704,KO,2021-12-05-17:37:05.243640,13.1,0.19,0.115,47.71,19.2,35.87
3705,KO,2021-11-20-00:04:45.281092,18.5,0.19,0.116,54.63,20.12,42.05
3706,KO,2021-11-29-01:27:51.825960,16.5,0.19,0.127,50.38,18.28,40.3
3708,CF,2021-11-29-01:45:20.687691,12.6,0.15,0.138,42.73,17.65,30.11
3710,CF,2021-11-29-01:40:54.174145,12.6,0.2,0.132,41.34,18.07,28.73
3719,WT,2021-11-29-01:42:42.214357,19.8,0.17,0.13,55.57,25.4,37.11
3720,WT,2021-12-02-23:02:46.716411,19,0.16,0.137,52.99,21.65,40.37
3945,KO,2022-07-26-21:15:17.471788,11.5,0.16,0.133,37.05,16.05,25.74
3951,WT,2022-07-13-00:46:27.367299,12.8,0.1,0.091,41.72,16.78,31.38
3952,INSP,2023-06-13-13:08:08.556431,9.7,0.125,1.103,36.86,13.21,28.39
3957,KO,2022-08-01-06:55:52.878482,16.1,0.15,0.127,47.91,19.28,36.47
3961,WT,2022-07-01-20:08:20.313785,20.3,0.18,0.127,61.03,20.42,49.87
3964,CF,2022-07-31-13:03:08.407351,14.4,0.14,0.139,43.57,19.73,31.67
3966,CF,2022-07-23-01:19:34.070080,13.4,0.17,0.136,39.99,19.15,30.86
3967,CF,2022-07-11-08:29:05.864477,12.9,0.15,0.138,38.97,17.83,24.7
3972,WT,2022-06-30-21:11:48.584130,14.2,0.17,0.142,41.54,20.26,29.21
3973,WT,2022-07-01-21:58:06.093197,24.9,0.17,0.121,74.5,24.61,57.28
3975,WT,2022-07-01-00:13:04.259846,15.1,0.17,0.126,45.15,17.57,32.5
3976,CF,2022-07-13-00:14:30.889642,12.3,0.08,0.091,39.82,17.04,27.37
3978,CF,2022-07-13-00:33:11.418201,15.4,0.1,0.096,49.42,19.36,39.58
3979,WT,2022-07-18-08:03:47.986910,17.3,0.15,0.134,53.57,21.74,37.56
3980,WT,2022-07-26-21:10:24.826288,22.6,0.14,0.125,64.33,26.18,47.27
3981,WT,2022-06-30-18:38:00.676671,20.2,0.15,0.125,59.89,19.98,46.51
3984,WT,2022-07-13-00:35:09.120775,17.6,0.09,0.089,54.66,21.57,40.25
3986,WT,2022-07-21-21:21:20.192982,12.5,0.09,0.09,39.51,17.08,26.98
3987,KO,2022-07-27-18:25:07.972788,18.2,0.17,0.129,53.78,21.2,40.58
4004,CF,2022-07-12-21:27:37.921070,13.4,0.11,0.089,42.56,18.93,24.97
4231,CF,2023-04-18-00:18:27.263051,17,0.159,1.29,48.77,21.85,35.22
4266,WT,2023-08-09-01:45:56.928334,22.1,0.125,1.267,64.91,23.28,44.6
4266,WT,2023-08-09-01:45:12.109727,22.1,0.125,1.267,64.91,23.28,44.6
4268,WT,2023-05-12-02:01:50.390390,17.7,0.139,1.32,51.18,21.9,38.67
4283,WT,2023-08-09-01:43:04.222036,15.9,0.162,1.205,49.02,17.84,39.38
4283,WT,2023-08-09-01:43:44.707404,15.9,0.162,1.205,49.02,17.84,39.38
4284,WT,2023-05-12-01:41:22.606243,17.3,0.153,1.134,50.34,21.85,39.09
4286,WT,2023-02-28-19:34:36.799069,14.7,0.16,1.015,43.32,20.66,32.62
4294,CF,2023-02-15-01:23:21.070468,14.8,0.16,0.875,45.4,20.35,30.89
4296,CF,2023-02-28-19:41:47.211316,14,0.18,0.972,43.24,21.11,34.86
4299,CF,2023-08-09-01:36:36.338133,21.4,0.187,1.122,57.48,19.48,49.43
4299,CF,2023-08-09-01:35:58.169011,21.4,0.187,1.122,57.48,19.48,49.43
4300,CF,2023-05-12-02:00:57.459068,15.4,0.179,1.254,45.02,17.74,34.95
4304,CF,2023-08-09-01:46:10.368156,17.8,0.205,1.014,54.06,17.87,44.33
4304,CF,2023-08-09-01:45:31.517546,17.8,0.205,1.014,54.06,17.87,44.33
4322,WT,2023-05-12-01:45:19.221067,13.7,0.151,1.304,43.21,17.45,31.62
4325,WT,2023-05-12-02:12:02.008062,15.4,0.162,1.2,46.38,20.72,35.3
4326,WT,2023-05-12-02:06:55.291720,15.2,0.155,1.248,46.57,18.56,33.36
4388,CF,2023-02-27-19:47:55.315921,11.8,0.18,1.082,40.05,18.98,25.61
4389,CF,2023-02-27-21:57:39.030029,12,0.18,1.157,38.54,17.74,27.66
4580,WT,2023-08-09-01:41:43.754457,15.1,0.2,1.199,43.52,19.3,32.13
4580,WT,2023-08-09-01:42:25.286333,15.1,0.2,1.199,43.52,19.3,32.13
4581,KO,2023-08-09-01:43:33.623903,13.3,0.177,1.283,37.7,17.32,24.76
4581,KO,2023-08-09-01:44:16.708649,13.3,0.177,1.283,37.7,17.32,24.76
4589,KO,2023-06-13-10:16:38.832606,14.1,0.169,1.264,40.9,16.36,29.93
4616,KO,2023-06-13-10:19:34.018869,13.7,0.134,1.329,42.96,15.86,31.17
4617,KO,2023-06-13-10:27:35.049751,12.3,0.146,1.283,39.26,17.31,26.34
4622,KO,2023-08-09-01:41:04.939429,13.7,0.175,1.239,39.53,17.98,27.02
4622,KO,2023-08-09-01:41:50.980536,13.7,0.175,1.239,39.53,17.98,27.02
4626,WT,2023-06-13-10:49:59.977927,15.1,0.128,1.28,45.73,19.36,27.74
4627,WT,2023-08-09-01:40:46.817952,16.7,0.119,1.207,51.44,21.59,32.3
4627,WT,2023-08-09-01:41:43.529007,16.7,0.119,1.207,51.44,21.59,32.3
4628,CF,2023-08-09-01:37:51.274576,12.7,0.211,1.246,40.15,18.94,30.31
4628,CF,2023-08-09-01:37:11.635207,12.7,0.211,1.246,40.15,18.94,30.31
4630,CF,2023-06-29-05:34:45.345602,17.7,0.177,1.22,50.73,24.44,32.9
4637,KO,2023-08-09-01:42:40.415477,13.4,0.2,1.325,41.6,17.04,28
