,IQR,HD
3751.Phe508.beads.specificVentilation.csv,0.164794,1.808414399
3751.Phe508.specificVentilation.csv,0.09778575,1.073080078
3754.Phe508.beads.specificVentilation.csv,0.1448335,1.589372106
3754.Phe508.specificVentilation.csv,0.107647,1.181295343
3756.Phe508.beads.specificVentilation.csv,0.14631775,1.605659951
3756.Phe508.specificVentilation.csv,0.07809625,0.857011681
3757.KO.beads.specificVentilation.csv,0.12809375,1.40567364
3757.KO.specificVentilation.csv,0.08498675,0.932626567
3761.WT.beads.specificVentilation.csv,0.09215,1.011234553
3761.WT.specificVentilation.csv,0.092687,1.017127477
3774.WT.beads.specificVentilation.csv,0.0988857,1.085150695
3774.WT.specificVentilation.csv,0.06961275,0.763915552
3890.KO.beads.specificVentilation.csv,0.1264305,1.387421488
3890.KO.specificVentilation.csv,0.10902725,1.196441914
4053.Phe508.beads.specificVentilation.csv,0.1486525,1.631281002
4053.Phe508.specificVentilation.csv,0.108658,1.192389843
4055.Phe508.beads.specificVentilation.csv,0.163916,1.798779413
4055.Phe508.specificVentilation.csv,0.10772675,1.182170503
4570.KO.beads.specificVentilation.csv,0.14306,1.569910093
4570.KO.specificVentilation.csv,0.093982,1.031338532
4572.KO.beads.specificVentilation.csv,0.10177975,1.116909386
4572.KO.specificVentilation.csv,0.0994115,1.090920713
4869.WT.BEADS.specificVentilation.csv,0.1970749,2.162658148
4869.WT.specificVentilation.csv,0.07567075,0.830394759
S11.KO.beads.specificVentilation.csv,0.097925,1.074608177
S11.KO.specificVentilation.csv,0.084586,0.928228821
S12.WT.beads.specificVentilation.csv,0.0931911,1.022659363
S12.WT.specificVentilation.csv,0.061691,0.676983948
S13.WT.beads.specificVentilation.csv,0.091221,1.001039904
S13.WT.specificVentilation.csv,0.0660285,0.724582753
S14.WT.beads.specificVentilation.csv,0.1146276,1.257898967
S14.WT.specificVentilation.csv,0.083663,0.918100015
S15.Phe508.beads.specificVentilation.csv,0.08769825,0.962381992
S15.Phe508.specificVentilation.csv,0.0793295,0.870545105
S17.Phe508.beads.specificVentilation.csv,0.181889225,1.996013772
S17.Phe508.specificVentilation.csv,0.097882,1.074136305
S187.WT.beads.specificVentilation.csv,0.17177465,1.885018571
S187.WT.specificVentilation.csv,0.082582,0.90623735
S52.KO.beads.specificVentilation.csv,0.105581,1.158623497
S52.KO.specificVentilation.csv,0.1064135,1.167759176
S8.KO.BEADS.specificVentilation.csv,0.13504325,1.481935979
S8.KO.specificVentilation.csv,0.085929,0.942966618
