ScanName,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Genotype,IQR,HD,Sex,DOB,Weight,Analysis date,Age
MAL-006498_XV,2023-08-23-15:52:35.049030,16.2,0.337,0.342,43.74,18.83,30.9,B_Enac,0.1464885,1.13805272,m,19/4/2023,25.8,25/7/2023,97
MAL-006501_XV,2023-08-23-15:57:40.904971,15.3,0.357,0.289,40.31,20.36,24.88,B_Enac,0.1400105,1.087725865,f,19/4/2023,21.1,25/7/2023,97
MAL-006503_XV,2023-08-23-15:57:16.651112,17.6,0.345,0.268,43.5,21.84,26.53,B_Enac,0.1482805,1.151974567,f,19/4/2023,24,25/7/2023,97
MAL-006517_XV,2023-08-23-15:51:49.526148,16.9,0.339,0.365,44.09,19.07,30.22,B_Enac,0.1479645,1.149519598,m,26/4/2023,27.4,25/7/2023,90
MAL-006518_XV,2023-08-23-15:57:38.695466,17,0.329,0.366,42.69,18.73,32.01,B_Enac,0.139378,1.082812043,m,26/4/2023,28.9,25/7/2023,90
MAL-006520_XV,2023-08-23-15:50:54.056468,19.2,0.337,0.33,48.41,23.71,33.89,B_Enac,0.16036475,1.245855749,f,26/4/2023,24.6,26/7/2023,91
MAL-006521_XV,2023-08-23-15:53:41.773284,15.9,0.378,0.35,41.26,20.97,29.27,B_Enac,0.1551995,1.205727502,f,26/4/2023,21.7,26/7/2023,91
MAL-006529_XV,2023-08-23-15:52:10.296985,15.7,0.382,0.297,39.15,19.71,29.26,B_Enac,0.14742125,1.14529915,f,27/4/2023,22.8,26/7/2023,90
MAL-006530_XV,2023-08-23-15:47:58.745524,15.5,0.369,0.265,41.48,21.1,25.35,B_Enac,0.1505945,1.169951773,f,27/4/2023,22.8,26/7/2023,90
MAL-006532_XV,2023-08-23-15:50:37.126157,16.7,0.349,0.264,43.77,21.27,30.36,B_Enac,0.15026575,1.167397751,f,27/4/2023,22.6,25/7/2023,89
MAL-006539_XV,2023-08-23-15:53:57.647485,15,0.354,0.259,43.9,20.06,30.14,B_Enac,0.155261,1.206205288,f,26/4/2023,22.5,26/7/2023,91
MAL-006540_XV,2023-08-23-15:54:11.698720,16,0.315,0.333,40.15,19.28,29.08,B_Enac,0.1242445,0.96524158,m,29/4/2023,27.5,24/7/2023,86
MAL-006547_XV,2023-08-23-15:53:22.944282,15.8,0.355,0.327,40.2,20.72,25.26,B_Enac,0.13944825,1.083357808,f,29/4/2023,19.3,24/7/2023,86
MAL-006548_XV,2023-08-23-15:55:56.607310,17.4,0.328,0.246,46.01,20.55,31.05,B_Enac,0.1500065,1.165383667,f,29/4/2023,21.3,24/7/2023,86
MAL_006536_XV,2023-08-23-15:47:16.217385,10.4,0.355,0.197,32.91,15.81,22.39,WT,0.115445,0.896879252,f,26/4/2023,21.5,24/7/2023,89
MAL_006537_XV,2023-08-23-15:49:54.525923,13.3,0.356,0.251,38.23,20.18,24.3,WT,0.1337045,1.038735258,f,26/4/2023,23.7,24/7/2023,89
MAL-006499_XV,2023-08-23-15:51:01.770129,11.2,0.333,0.239,30.29,17.12,18.41,WT,0.0998205,0.775494264,m,19/4/2023,29.4,25/7/2023,97
MAL-006500_XV,2023-08-23-15:50:15.040569,12.1,0.363,0.24,36.05,17.88,23.8,WT,0.12927625,1.004332681,f,19/4/2023,25.2,25/7/2023,97
MAL-006502_XV,2023-08-23-15:54:34.799341,14.4,0.381,0.21,36.94,20.32,23.81,WT,0.136935,1.06383265,f,19/4/2023,20.3,25/7/2023,97
MAL-006504_XV,2023-08-23-15:53:56.931235,12.9,0.367,0.197,39.85,19.17,27.09,WT,0.14617625,1.135626885,f,19/4/2023,20,25/7/2023,97
MAL-006519_XV,2023-08-23-15:50:00.656468,11.8,0.333,0.249,34.89,18.71,24.33,WT,0.116062,0.901672655,m,26/4/2023,28.4,25/7/2023,90
MAL-006523_XV,2023-08-23-15:46:36.739977,10.9,0.32,0.232,34.06,16.28,22.18,WT,0.10768925,0.8366257,m,27/4/2023,31.1,24/7/2023,88
MAL-006524_XV,2023-08-23-15:53:24.209860,12,0.334,0.245,33.32,17.69,22.01,WT,0.11002,0.854733035,m,27/4/2023,29,24/7/2023,88
MAL-006527_XV,2023-08-23-15:43:35.312556,11.1,0.365,0.229,36.77,17.56,23.78,WT,0.133311,1.035678201,f,27/4/2023,22.3,26/7/2023,90
MAL-006528_XV,2023-08-23-15:47:13.735430,9.79,0.378,0.238,32.59,16.92,19.78,WT,0.1219575,0.947474133,f,27/4/2023,21.4,26/7/2023,90
MAL-006531_XV,2023-08-23-15:49:03.475248,14.7,0.39,0.262,39.16,21.23,26.1,WT,0.150508,1.169279764,f,27/4/2023,21.5,25/7/2023,89
MAL-006533_XV,2023-08-23-15:54:10.777130,15.6,0.378,0.245,41.88,22.13,26.08,WT,0.15557375,1.208635008,f,27/4/2023,21,26/7/2023,90
MAL-006583_XV,2023-08-23-15:52:50.404602,16.9,0.276,0.134,53.12,17.51,40.23,WT,0.14558075,1.131000512,m,5/5/2023,27.8,24/7/2023,80
