ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),IQR,HD,Sex,DOB,Weight,Analysis Date,Age,Rx
4231,CF,2023-04-18-00:18:27.263051,17,0.159,1.29,48.77,21.85,35.22,0.077009,1.00881213,F,21/05/2022,276.0,27/09/2022,129,PA-D07
4294,CF,2023-02-15-01:23:21.070468,14.8,0.16,0.875,45.4,20.35,30.89,0.07040375,0.92228385,M,24/06/2022,371.0,27/09/2022,95,PA-D07
4296,CF,2023-02-28-19:41:47.211316,14,0.18,0.972,43.24,21.11,34.86,0.077225,1.011641714,M,24/06/2022,340.0,27/09/2022,95,PA-D07
4326,WT,2023-05-12-02:06:55.291720,15.2,0.155,1.248,46.57,18.56,33.36,0.0716845,0.939061579,M,12/07/2022,352.0,27/09/2022,77,PA-D07
4388,CF,2023-02-27-19:47:55.315921,11.8,0.18,1.082,40.05,18.98,25.61,0.071154,0.932112069,F,12/07/2022,222.0,27/09/2022,77,PA-D07
4389,CF,2023-02-27-21:57:39.030029,12,0.18,1.157,38.54,17.74,27.66,0.069611,0.911898884,F,12/07/2022,224.0,27/09/2022,77,PA-D07
4637,KO,2023-08-09-01:43:20.124883,13.4,0.2,1.325,41.6,17.04,28,0.082588,1.081896612,F,08/11/2022,210.0,09/02/2023,93,PA-D07
4661,KO,2023-05-15-04:31:54.311264,13.5,0.209,1.162,41.5,17.29,31.9,0.0865195,1.133398967,F,15/11/2022,203.0,09/02/2023,86,PA-D07
4662,KO,2023-08-09-01:42:21.598334,15.3,0.195,1.179,44.62,19.94,32.79,0.086249,1.129855438,F,15/11/2022,213.0,09/02/2023,86,PA-D07
S54,WT,2023-05-15-04:30:25.161836,11,0.123,1.265,40.82,15.98,32.78,0.0500856,0.656117607,M,14/11/2022,474.0,09/02/2023,87,PA-D07
S57,WT,2023-07-05-20:37:36.067519,17.1,0.121,1.304,52.22,22.77,34.79,0.062759975,0.82215097,M,14/11/2022,447.0,09/02/2023,87,PA-D07
S66,WT,2023-02-16-23:31:56.513764,15.7,0.12,0.987,46.89,23.52,30.41,0.0575414,0.753788029,M,14/11/2022,529.0,09/02/2023,87,PA-D07
3699,KO,2021-12-01-02:28:21.266301,18.3,0.15,0.127,52.87,23.13,38.64,0.07304,0.956818527,M,06/08/2021,337.0,10/11/2021,96,PA-D14
3700,KO,2021-12-05-18:11:25.551793,17.6,0.16,0.12,53.08,20.58,43.46,0.08748575,1.14605677,M,06/08/2021,313.0,10/11/2021,96,PA-D14
3702,KO,2021-11-20-00:06:58.398883,15.1,0.14,0.117,51.22,21.58,37.26,0.0714545,0.936048596,M,06/08/2021,327.0,10/11/2021,96,PA-D14
3704,KO,2021-12-05-17:37:05.243640,13.1,0.19,0.115,47.71,19.2,35.87,0.09123025,1.195109439,F,06/08/2021,218.0,10/11/2021,96,PA-D14
3705,KO,2021-11-20-00:04:45.281092,18.5,0.19,0.116,54.63,20.12,42.05,0.100966,1.322647035,F,06/08/2021,216.0,10/11/2021,96,PA-D14
3706,KO,2021-11-29-01:27:51.825960,16.5,0.19,0.127,50.38,18.28,40.3,0.09117225,1.194349644,F,06/08/2021,217.0,10/11/2021,96,PA-D14
3708,CF,2021-11-29-01:45:20.687691,12.6,0.15,0.138,42.73,17.65,30.11,0.0617685,0.809162722,M,06/08/2021,330.0,10/11/2021,96,PA-D14
3710,CF,2021-11-29-01:40:54.174145,12.6,0.2,0.132,41.34,18.07,28.73,0.0778325,1.019599918,F,06/08/2021,219.0,10/11/2021,96,PA-D14
3719,WT,2021-11-29-01:42:42.214357,19.8,0.17,0.13,55.57,25.4,37.11,0.097475,1.276915197,F,09/08/2021,252.0,10/11/2021,93,PA-D14
3720,WT,2021-12-02-23:02:46.716411,19,0.16,0.137,52.99,21.65,40.37,0.0862055,1.129285591,F,09/08/2021,284.0,10/11/2021,93,PA-D14
4266,WT,2023-08-09-01:45:56.928334,22.1,0.125,1.267,64.91,23.28,44.6,0.080690175,1.057035247,M,21/06/2022,515.0,27/09/2022,98,PA-D14
4268,WT,2023-05-12-02:01:50.390390,17.7,0.139,1.32,51.18,21.9,38.67,0.0706662,0.925721925,M,21/06/2022,481.0,27/09/2022,98,PA-D14
4283,WT,2023-08-09-01:43:04.222036,15.9,0.162,1.205,49.02,17.84,39.38,0.078902,1.033610288,M,22/06/2022,392.0,27/09/2022,97,PA-D14
4284,WT,2023-05-12-01:41:22.606243,17.3,0.153,1.134,50.34,21.85,39.09,0.07669575,1.004708578,M,22/06/2022,368.0,27/09/2022,97,PA-D14
4286,WT,2023-02-28-19:34:36.799069,14.7,0.16,1.015,43.32,20.66,32.62,0.06735,0.882279954,M,22/06/2022,415.0,27/09/2022,97,PA-D14
4299,CF,2023-08-09-01:36:36.338133,21.4,0.187,1.122,57.48,19.48,49.43,0.106221,1.391487141,F,24/06/2022,251.0,27/09/2022,95,PA-D14
4300,CF,2023-05-12-02:00:57.459068,15.4,0.179,1.254,45.02,17.74,34.95,0.08044425,1.053813648,F,24/06/2022,238.0,27/09/2022,95,PA-D14
4304,CF,2023-08-09-01:46:10.368156,17.8,0.205,1.014,54.06,17.87,44.33,0.110908,1.45288649,F,24/06/2022,233.0,27/09/2022,95,PA-D14
3945,KO,2022-07-26-21:15:17.471788,11.5,0.16,0.133,37.05,16.05,25.74,0.058363,0.764550927,M,15/02/2022,360.0,16/06/2022,121,PA-D21
3957,KO,2022-08-01-06:55:52.878482,16.1,0.15,0.127,47.91,19.28,36.47,0.0681205,0.892373446,M,27/02/2022,369.0,16/06/2022,109,PA-D21
3961,WT,2022-07-01-20:08:20.313785,20.3,0.18,0.127,61.03,20.42,49.87,0.11175125,1.463933002,F,27/02/2022,264.0,16/06/2022,109,PA-D21
3964,CF,2022-07-31-13:03:08.407351,14.4,0.14,0.139,43.57,19.73,31.67,0.056201,0.736228889,M,28/02/2022,435.0,16/06/2022,108,PA-D21
3966,CF,2022-07-23-01:19:34.070080,13.4,0.17,0.136,39.99,19.15,30.86,0.066383,0.869612326,F,28/02/2022,275.0,15/06/2022,107,PA-D21
3967,CF,2022-07-11-08:29:05.864477,12.9,0.15,0.138,38.97,17.83,24.7,0.056057,0.7343425,F,28/02/2022,283.0,15/06/2022,107,PA-D21
3972,WT,2022-06-30-21:11:48.584130,14.2,0.17,0.142,41.54,20.26,29.21,0.0717345,0.939716575,F,28/02/2022,257.0,15/06/2022,107,PA-D21
3975,WT,2022-07-01-00:13:04.259846,15.1,0.17,0.126,45.15,17.57,32.5,0.07836775,1.026611653,F,28/02/2022,296.0,15/06/2022,107,PA-D21
3980,WT,2022-07-26-21:10:24.826288,22.6,0.14,0.125,64.33,26.18,47.27,0.091710675,1.201402971,M,19/03/2022,424.0,15/06/2022,88,PA-D21
3981,WT,2022-06-30-18:38:00.676671,20.2,0.15,0.125,59.89,19.98,46.51,0.09145425,1.198043823,M,19/03/2022,395.0,15/06/2022,88,PA-D21
3987,KO,2022-07-27-18:25:07.972788,18.2,0.17,0.129,53.78,21.2,40.58,0.09052375,1.185854342,M,07/03/2022,318.0,16/06/2022,101,PA-D21
4580,WT,2023-08-09-01:41:43.754457,15.1,0.2,1.199,43.52,19.3,32.13,0.086656,1.135187107,F,07/10/2022,292.0,22/2/2023,138,PA-D21
4581,KO,2023-08-09-01:43:33.623903,13.3,0.177,1.283,37.7,17.32,24.76,0.0659435,0.863854909,F,07/10/2022,262.0,22/2/2023,138,PA-D21
4589,KO,2023-06-13-10:16:38.832606,14.1,0.169,1.264,40.9,16.36,29.93,0.0687435,0.900534699,M,17/10/2022,358.0,22/2/2023,128,PA-D21
4616,KO,2023-06-13-10:19:34.018869,13.7,0.134,1.329,42.96,15.86,31.17,0.057193,0.749224015,M,23/10/2022,414.0,22/2/2023,122,PA-D21
4617,KO,2023-06-13-10:27:35.049751,12.3,0.146,1.283,39.26,17.31,26.34,0.0572335,0.749754562,M,23/10/2022,355.0,22/2/2023,122,PA-D21
4622,KO,2023-08-09-01:41:50.980536,13.7,0.175,1.239,39.53,17.98,27.02,0.068781,0.901025946,M,23/10/2022,330.0,22/2/2023,122,PA-D21
4626,WT,2023-06-13-10:49:59.977927,15.1,0.128,1.28,45.73,19.36,27.74,0.05802945,0.760181447,M,01/11/2022,546.0,22/2/2023,113,PA-D21
4627,WT,2023-08-09-01:41:43.529007,16.7,0.119,1.207,51.44,21.59,32.3,0.06063,0.794248457,M,01/11/2022,561.0,22/2/2023,113,PA-D21
4628,CF,2023-08-09-01:37:51.274576,12.7,0.211,1.246,40.15,18.94,30.31,0.083929,1.099463612,F,01/11/2022,215.0,22/2/2023,113,PA-D21
4630,CF,2023-06-29-05:34:45.345602,17.7,0.177,1.22,50.73,24.44,32.9,0.089285,1.16962681,F,01/11/2022,264.0,22/2/2023,113,PA-D21
S56,CF,2023-06-13-10:43:23.948916,17.4,0.128,1.108,52.27,23.09,31.91,0.0663201,0.868788341,M,14/11/2022,522.0,22/2/2023,100,PA-D21
