ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),IQR,HD,Sex,DOB,Weight,Analysis Date,Age,Rx
3699,KO,2021-12-01-02:28:21.266301,18.3,0.15,0.127,52.87,23.13,38.64,0.07304,0.956818527,M,6/8/2021,337,10/11/2021,96,PA-D14
3700,KO,2021-12-05-18:11:25.551793,17.6,0.16,0.12,53.08,20.58,43.46,0.08748575,1.14605677,M,6/8/2021,313,10/11/2021,96,PA-D14
3702,KO,2021-11-20-00:06:58.398883,15.1,0.14,0.117,51.22,21.58,37.26,0.0714545,0.936048596,M,6/8/2021,327,10/11/2021,96,PA-D14
3704,KO,2021-12-05-17:37:05.243640,13.1,0.19,0.115,47.71,19.2,35.87,0.09123025,1.195109439,F,6/8/2021,218,10/11/2021,96,PA-D14
3705,KO,2021-11-20-00:04:45.281092,18.5,0.19,0.116,54.63,20.12,42.05,0.100966,1.322647035,F,6/8/2021,216,10/11/2021,96,PA-D14
3706,KO,2021-11-29-01:27:51.825960,16.5,0.19,0.127,50.38,18.28,40.3,0.09117225,1.194349644,F,6/8/2021,217,10/11/2021,96,PA-D14
3708,CF,2021-11-29-01:45:20.687691,12.6,0.15,0.138,42.73,17.65,30.11,0.0617685,0.809162722,M,6/8/2021,330,10/11/2021,96,PA-D14
3710,CF,2021-11-29-01:40:54.174145,12.6,0.2,0.132,41.34,18.07,28.73,0.0778325,1.019599918,F,6/8/2021,219,10/11/2021,96,PA-D14
3719,WT,2021-11-29-01:42:42.214357,19.8,0.17,0.13,55.57,25.4,37.11,0.097475,1.276915197,F,9/8/2021,252,10/11/2021,93,PA-D14
3720,WT,2021-12-02-23:02:46.716411,19,0.16,0.137,52.99,21.65,40.37,0.0862055,1.129285591,F,9/8/2021,284,10/11/2021,93,PA-D14
4266,WT,2023-08-09-01:45:56.928334,22.1,0.125,1.267,64.91,23.28,44.6,0.080690175,1.057035247,M,21/6/2022,515,27/9/2022,98,PA-D14
4268,WT,2023-05-12-02:01:50.390390,17.7,0.139,1.32,51.18,21.9,38.67,0.0706662,0.925721925,M,21/6/2022,481,27/9/2022,98,PA-D14
4283,WT,2023-08-09-01:43:04.222036,15.9,0.162,1.205,49.02,17.84,39.38,0.078902,1.033610288,M,22/6/2022,392,27/9/2022,97,PA-D14
4284,WT,2023-05-12-01:41:22.606243,17.3,0.153,1.134,50.34,21.85,39.09,0.07669575,1.004708578,M,22/6/2022,368,27/9/2022,97,PA-D14
4286,WT,2023-02-28-19:34:36.799069,14.7,0.16,1.015,43.32,20.66,32.62,0.06735,0.882279954,M,22/6/2022,415,27/9/2022,97,PA-D14
4299,CF,2023-08-09-01:36:36.338133,21.4,0.187,1.122,57.48,19.48,49.43,0.106221,1.391487141,F,24/6/2022,251,27/9/2022,95,PA-D14
4300,CF,2023-05-12-02:00:57.459068,15.4,0.179,1.254,45.02,17.74,34.95,0.08044425,1.053813648,F,24/6/2022,238,27/9/2022,95,PA-D14
4304,CF,2023-08-09-01:46:10.368156,17.8,0.205,1.014,54.06,17.87,44.33,0.110908,1.45288649,F,24/6/2022,233,27/9/2022,95,PA-D14
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
