ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Sex,DOB,Weight,Analysis Date,Age,Rx
3510,WT,2021-10-06-02:29:16.970004,15.1,0.18,0.119,44.23,19.07,37.48,F,2/6/2021,235,16/9/2021,106,PA-D07
3511,WT,2021-10-05-20:37:43.284350,12.8,0.18,0.117,43.17,17.67,33.52,F,2/6/2021,239,16/9/2021,106,PA-D07
3546,WT,2021-10-16-02:04:35.884082,14.5,0.18,0.117,46.77,19.23,36.75,F,10/6/2021,226,16/9/2021,98,PA-D07
3549,WT,2021-10-11-03:51:30.887225,14.8,0.17,0.119,49.33,19.63,41.12,F,10/6/2021,237,16/9/2021,98,PA-D07
3550,KO,2021-10-10-03:59:08.060981,16.5,0.14,0.12,48.07,20.09,36.23,M,11/6/2021,333,16/9/2021,97,PA-D07
3555,KO,2021-10-10-03:30:08.670565,13.7,0.17,0.117,45.4,18.46,34.68,F,11/6/2021,214,16/9/2021,97,PA-D07
3557,KO,2021-10-14-19:08:05.562148,18.2,0.18,0.114,52.73,17.75,40.79,F,11/6/2021,215,16/9/2021,97,PA-D07
3558,KO,2021-10-09-05:28:32.269461,16.7,0.17,0.118,50.41,17.5,35.85,F,11/6/2021,224,16/9/2021,97,PA-D07
3566,CF,2021-10-09-03:03:54.561825,16.1,0.12,0.134,47.1,20.45,29.7,M,23/6/2021,341,16/9/2021,85,PA-D07
3951,WT,2022-07-13-00:46:27.367299,12.8,0.1,0.091,41.72,16.78,31.38,F,24/2/2022,266,2/6/2022,98,PA-D07
3952,WT,2023-06-13-13:08:08.556431,9.7,0.125,1.103,36.86,13.21,28.39,F,24/2/2022,289,2/6/2022,98,PA-D07
3976,CF,2022-07-13-00:14:30.889642,12.3,0.08,0.091,39.82,17.04,27.37,M,7/3/2022,391,2/6/2022,87,PA-D07
3978,CF,2022-07-13-00:33:11.418201,15.4,0.1,0.096,49.42,19.36,39.58,F,7/3/2022,241,2/6/2022,87,PA-D07
3984,WT,2022-07-13-00:35:09.120775,17.6,0.09,0.089,54.66,21.57,40.25,M,22/3/2022,354,2/6/2022,72,PA-D07
3986,WT,2022-07-21-21:21:20.192982,12.5,0.09,0.09,39.51,17.08,26.98,M,22/3/2022,366,2/6/2022,72,PA-D07
4004,CF,2022-07-12-21:27:37.921070,13.4,0.11,0.089,42.56,18.93,24.97,M,25/3/2022,266,2/6/2022,69,PA-D07
4231,CF,2023-04-18-00:18:27.263051,17,0.159,1.29,48.77,21.85,35.22,F,21/5/2022,276,27/9/2022,129,PA-D07
4294,CF,2023-02-15-01:23:21.070468,14.8,0.16,0.875,45.4,20.35,30.89,M,24/6/2022,371,27/9/2022,95,PA-D07
4296,CF,2023-02-28-19:41:47.211316,14,0.18,0.972,43.24,21.11,34.86,M,24/6/2022,340,27/9/2022,95,PA-D07
