ScanName,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Beads,Sex,Weight,Age,Bead_loc,IQR,HD,Genotype
3751,2021-12-17-22:20:09.351059,15.8,0.2,0.127,47.7,23.32,36.52,Baseline,F,240,93,LMB,0.09778575,1.073080078,Phe508
3754,2021-12-17-23:05:04.219492,19.2,0.2,0.133,51.35,25.99,43.16,Baseline,F,241,93,LMB,0.107647,1.181295343,Phe508
3756,2021-12-17-21:20:39.445290,15.2,0.18,0.126,44.54,21.13,34.71,Baseline,F,242,93,RMB,0.07809625,0.857011681,Phe508
3757,2021-12-17-01:28:24.053421,17.3,0.17,0.123,49.89,18.93,36.49,Baseline,M,293,86,RMB,0.08498675,0.932626567,KO
3761,2021-12-11-06:57:14.706867,22,0.16,0.141,57.89,22.09,45.87,Baseline,M,355,86,RMB,0.092687,1.017127477,WT
3774,2022-01-26-03:35:56.442085,17.9,0.14,0.14,49.52,25.13,35.14,Baseline,M,391,84,LMB,0.06961275,0.763915552,WT
3890,2022-03-26-03:14:01.601566,20.2,0.18,0.127,61.38,20.46,49.74,Baseline,F,227,111,RMB,0.10902725,1.196441914,KO
4053,2022-07-11-07:33:15.419531,17.1,0.2,0.12,51.64,23.08,40.13,Baseline,M,240,59,RMB,0.108658,1.192389843,Phe508
4055,2022-06-26-08:47:26.651145,19.3,0.2,0.122,54.22,23.97,35.87,Baseline,M,250,59,LMB,0.10772675,1.182170503,Phe508
4570_KO,2023-05-15-04:28:34.557507,13.8,0.209,1.053,44.95,17.81,31.52,Baseline,F,178,81,RMB,0.093982,1.031338532,KO
4572_KO,2023-05-15-04:01:16.248838,16.4,0.204,1.041,48.98,19.3,36.9,Baseline,F,194,81,RMB,0.0994115,1.090920713,KO
4869_WT_BASE,2023-07-05-20:53:49.697849,13.8,0.19,1.337,39.89,20.2,29.48,Baseline,F,257,76,RMB,0.07567075,0.830394759,WT
S11_KO,2023-05-15-04:18:56.165500,13,0.208,1.068,40.72,15.3,32.53,Baseline,F,165,65,RMB,0.084586,0.928228821,KO
S12,2023-07-05-18:46:06.320696,13.8,0.145,1.06,42.85,18.58,26.84,Baseline,M,368,65,RMB,0.061691,0.676983948,WT
S13,2023-07-05-19:10:53.936881,17.7,0.141,0.958,47.54,26.82,27.79,Baseline,M,371,65,LMB,0.0660285,0.724582753,WT
S14_WT,2023-05-15-03:56:49.605963,19.8,0.158,1.024,53.12,23.61,35.38,Baseline,M,329,65,LMB,0.083663,0.918100015,WT
S15_508,2023-05-15-04:58:06.178823,16.2,0.167,0.983,48.18,23.8,30.8,Baseline,M,280,65,RMB,0.0793295,0.870545105,Phe508
S17_508,2023-07-05-19:17:38.400397,14.8,0.212,0.912,46.75,21.8,30.24,Baseline,F,205,65,LMB,0.097882,1.074136305,Phe508
S187_WT_BASE,2023-07-05-20:45:39.260504,13.8,0.182,1.307,45.52,17.72,31.19,Baseline,F,295,76,RMB,0.082582,0.90623735,WT
S52_KO,2023-05-15-03:41:04.267753,14,0.252,1.106,42.6,16.41,33.38,Baseline,F,130,53,LMB,0.1064135,1.167759176,KO
S8_KO,2023-07-05-19:47:00.738800,14.5,0.21,1.181,41.13,16.47,32.16,Baseline,F,185,65,RMB,0.085929,0.942966618,KO
