ScanName,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Beads,Sex,Weight,Age,Bead_loc,IQR,HD,Genotype
3751_beads,2022-01-08-08:05:19.192024,30.3,0.2,0.118,82.34,26.08,66.91,Post_beads,F,240,93,LMB,0.164794,1.808414399,Phe508
3754_beads,2022-01-08-16:37:17.308743,27.8,0.19,0.132,76.13,25.33,58.69,Post_beads,F,241,93,LMB,0.1448335,1.589372106,Phe508
3756_beads,2022-01-08-18:27:06.718811,28.2,0.17,0.115,81.49,23.68,67.16,Post_beads,F,242,93,RMB,0.14631775,1.605659951,Phe508
3757_beads,2021-12-11-06:49:39.468025,23.5,0.17,0.125,72.33,22.62,57.56,Post_beads,M,293,86,RMB,0.12809375,1.40567364,KO
3761_beads,2021-12-15-21:05:55.196338,21.5,0.16,0.147,58.4,21.47,44.47,Post_beads,M,355,86,RMB,0.09215,1.011234553,WT
3774_beads,2021-12-11-06:53:37.912214,25.7,0.14,0.137,72.94,27.13,49.1,Post_beads,M,391,84,LMB,0.0988857,1.085150695,WT
3890beads,2022-04-05-01:40:35.765213,23.5,0.17,0.122,71.43,23.75,61.38,Post_beads,F,227,111,RMB,0.1264305,1.387421488,KO
4053_beads,2022-07-31-12:53:05.268326,29,0.19,0.099,77.71,25.89,61.16,Post_beads,M,240,59,RMB,0.1486525,1.631281002,Phe508
4055_beads,2022-06-26-08:54:57.248235,30.1,0.18,0.116,84.97,25.16,68.01,Post_beads,M,250,59,LMB,0.163916,1.798779413,Phe508
4570_KO_BEADS,2023-06-29-05:34:33.830322,23.9,0.201,1.098,71.28,20.64,53.29,Post_beads,F,178,81,RMB,0.14306,1.569910093,KO
4572_KO_BEADS,2023-06-13-10:21:19.045034,18.4,0.188,1.143,54.35,21.39,37.92,Post_beads,F,194,81,RMB,0.10177975,1.116909386,KO
4869_WT_BEADS,2023-07-05-21:11:07.112496,45.5,0.15,1.001,131.25,32.61,109.5,Post_beads,F,257,76,RMB,0.1970749,2.162658148,WT
S11_KO_BEADS,2023-06-29-05:50:41.190628,16.4,0.199,1.114,49.53,16.8,38.1,Post_beads,F,165,65,RMB,0.097925,1.074608177,KO
S12_BEADS,2023-06-13-10:46:06.120738,24,0.132,1.072,70.86,23.64,44.91,Post_beads,M,368,65,RMB,0.0931911,1.022659363,WT
S13_BEADS,2023-06-13-10:45:21.885873,22.3,0.139,1.117,66.04,24.1,44.15,Post_beads,M,371,65,LMB,0.091221,1.001039904,WT
S14_WT_BEADS,2023-06-13-10:46:11.107890,25.8,0.147,1.063,78.32,25.14,53.46,Post_beads,M,329,65,LMB,0.1146276,1.257898967,WT
S15_508_BEADS,2023-06-13-10:46:43.413465,19.5,0.16,1.112,55.36,20.67,37.91,Post_beads,M,280,65,RMB,0.08769825,0.962381992,Phe508
S17_508_BEADS,2023-06-13-10:42:55.478835,31.1,0.186,0.958,98.96,24.81,80.42,Post_beads,F,205,65,LMB,0.181889225,1.996013772,Phe508
S187_WT_BEADS,2023-07-05-20:42:18.424395,44.6,0.138,1.005,125.16,33.09,108.61,Post_beads,F,295,76,RMB,0.17177465,1.885018571,WT
S52_KO_BEADS,2023-07-05-19:38:01.945833,13.5,0.243,1.136,43.77,15.24,35.84,Post_beads,F,130,53,LMB,0.105581,1.158623497,KO
S8_KO_BEADS,2023-07-05-20:28:45.133168,24.2,0.188,1.096,72.26,21.46,53.65,Post_beads,F,185,65,RMB,0.13504325,1.481935979,KO
