Subject,Genotype,Sex,Weight,Age,Tidal volume,Rx,VDP,MSV,TV,VH,VH-SS,VH-LS,Delivery location
3761,Wildtype,M,355,86,3.55,Baseline,22,0.16,0.141,57.89,22.09,45.87,
3774,Wildtype,M,391,84,3.91,Baseline,17.9,0.14,0.14,49.52,25.13,35.14,
S12,Wildtype,M,368,65,3.68,Baseline,13.8,0.15,0.106,42.85,18.85,26.84,
S13,Wildtype,M,371,65,3.71,Baseline,17.7,0.14,0.096,47.54,26.82,27.79,
S14,Wildtype,M,329,65,3.29,Baseline,19.8,0.16,0.102,53.12,23.61,35.38,
S187,Wildtype,F,295,75,2.95,Baseline,13.8,0.18,0.131,45.52,17.72,31.19,
4869,Wildtype,F,257,76,2.57,Baseline,13.8,0.19,0.134,39.89,20.2,29.48,
3751,Phe508del,F,240,93,2.4,Baseline,15.8,0.2,0.127,47.7,23.32,36.52,
3754,Phe508del,F,241,93,2.41,Baseline,19.2,0.2,0.133,51.35,25.99,43.16,
3756,Phe508del,F,242,93,2.42,Baseline,15.2,0.18,0.126,44.54,21.13,34.71,
4053,Phe508del,M,240,59,2.4,Baseline,17.2,0.2,0.12,51.64,23.08,40.13,
4055,Phe508del,M,250,59,2.5,Baseline,19.3,0.2,0.122,54.22,23.97,35.87,
S15,Phe508del,M,280,65,2.8,Baseline,16.2,0.17,0.098,48.18,23.8,30.8,
S17,Phe508del,F,205,65,2.05,Baseline,14.8,0.21,0.091,46.75,21.8,30.24,
3757,KO,M,293,86,2.93,Baseline,17.3,0.17,0.123,49.89,18.93,36.49,
3890,KO,F,227,111,2.27,Baseline,20.2,0.18,0.127,61.38,20.46,49.74,
4570,KO,F,178,81,1.78,Baseline,13.8,0.21,0.105,44.95,17.81,31.52,
4572,KO,F,194,81,1.94,Baseline,16.4,0.2,0.104,48.98,19.3,36.9,
S11,KO,F,165,65,1.65,Baseline,13,0.21,0.107,40.72,15.3,32.53,
S52,KO,F,130,65,1.3,Baseline,14,0.25,0.111,42.6,16.41,33.38,
S8,KO,F,185,65,1.85,Baseline,14.5,0.21,0.118,41.13,16.47,32.16,
,,,,,,,,,,,,,
3761,Wildtype,M,355,86,3.55,Beads,21.5,0.16,0.147,58.4,21.47,44.47,RMB
3774,Wildtype,M,391,84,3.91,Beads,25.7,0.14,0.137,72.94,27.13,49.1,LMB
S12,Wildtype,M,368,65,3.68,Beads,24,0.13,0.107,70.86,23.64,44.91,RMB
S13,Wildtype,M,371,65,3.71,Beads,22.3,0.14,0.112,66.04,24.1,44.15,LMB
S14,Wildtype,M,329,65,3.29,Beads,25.8,0.15,0.106,78.32,25.14,53.46,LMB
S187,Wildtype,F,295,75,2.95,Beads,44.6,0.138,0.1005,125.16,33.09,108.61,RMB
4869,Wildtype,F,257,76,2.57,Beads,45.5,0.15,0.1,131.25,32.61,109.5,RMB
3751,Phe508del,F,240,93,2.4,Beads,30.3,0.2,0.118,82.34,26.08,66.91,LMB
3754,Phe508del,F,241,93,2.41,Beads,27.8,0.19,0.132,76.13,25.33,58.69,LMB
3756,Phe508del,F,242,93,2.42,Beads,28.2,0.17,0.115,81.49,23.68,67.16,RMB
4053,Phe508del,M,240,59,2.4,Beads,29,0.19,0.099,77.71,25.89,61.16,RMB
4055,Phe508del,M,250,59,2.5,Beads,30.1,0.18,0.116,84.97,25.16,68.01,LMB
S15,Phe508del,M,280,65,2.8,Beads,19.5,0.16,0.111,55.36,20.67,37.91,RMB
S17,Phe508del,F,205,65,2.05,Beads,31.1,0.19,0.096,98.96,24.81,80.42,LMB
3757,KO,M,293,86,2.93,Beads,23.5,0.17,0.125,72.33,22.62,57.56,RMB
3890,KO,F,227,111,2.27,Beads,23.5,0.17,0.122,71.43,23.75,61.38,RMB
4570,KO,F,178,81,1.78,Beads,23.9,0.2,0.11,71.28,20.64,53.29,RMB
4572,KO,F,194,81,1.94,Beads,18.4,0.19,0.114,54.35,21.39,37.92,RMB
S11,KO,F,165,65,1.65,Beads,16.4,0.2,0.111,49.53,16.8,38.1,RMB
S52,KO,F,130,65,1.3,Beads,13.5,0.24,0.114,43.77,15.24,35.84,LMB
S8,KO,F,185,65,1.85,Beads,24.2,0.19,0.109,72.26,21.46,53.65,RMB
