Specific Venitlation, x, y, z, left_lung, right_lung, left_lung_upper, left_lung_lower, right_lung_upper, right_lung_lower
6.344210000000000127e-02,7.150579999999999714e+00,-1.096419999999999995e+01,-1.662440000000000140e+01,nan,6.344210000000000127e-02,nan,nan,nan,6.344210000000000127e-02
6.673070000000000390e-02,7.150579999999999714e+00,-1.001079999999999970e+01,-1.662440000000000140e+01,nan,6.673070000000000390e-02,nan,nan,nan,6.673070000000000390e-02
4.836059999999999665e-02,7.150579999999999714e+00,-9.057399999999999451e+00,-1.662440000000000140e+01,nan,4.836059999999999665e-02,nan,nan,nan,4.836059999999999665e-02
5.839869999999999783e-02,7.150579999999999714e+00,-8.103989999999999583e+00,-1.662440000000000140e+01,nan,5.839869999999999783e-02,nan,nan,nan,5.839869999999999783e-02
3.854779999999999873e-01,-4.290350000000000108e+00,-1.287100000000000044e+01,-1.567099999999999937e+01,3.854779999999999873e-01,nan,3.854779999999999873e-01,nan,nan,nan
4.741650000000000031e-01,-5.243759999999999977e+00,-1.191760000000000019e+01,-1.567099999999999937e+01,4.741650000000000031e-01,nan,4.741650000000000031e-01,nan,nan,nan
1.303300000000000014e-01,7.150579999999999714e+00,-1.191760000000000019e+01,-1.567099999999999937e+01,nan,1.303300000000000014e-01,nan,nan,nan,1.303300000000000014e-01
4.009539999999999771e-01,-5.243759999999999977e+00,-1.096419999999999995e+01,-1.567099999999999937e+01,4.009539999999999771e-01,nan,4.009539999999999771e-01,nan,nan,nan
4.178539999999999685e-03,1.430120000000000058e+00,-1.096419999999999995e+01,-1.567099999999999937e+01,nan,4.178539999999999685e-03,nan,nan,nan,4.178539999999999685e-03
-1.066569999999999975e-03,2.383529999999999927e+00,-1.096419999999999995e+01,-1.567099999999999937e+01,nan,-1.066569999999999975e-03,nan,nan,nan,-1.066569999999999975e-03
-2.978450000000000108e-03,3.336939999999999795e+00,-1.096419999999999995e+01,-1.567099999999999937e+01,nan,-2.978450000000000108e-03,nan,nan,nan,-2.978450000000000108e-03
1.321990000000000109e-01,7.150579999999999714e+00,-1.096419999999999995e+01,-1.567099999999999937e+01,nan,1.321990000000000109e-01,nan,nan,nan,1.321990000000000109e-01
1.242159999999999931e-01,8.103989999999999583e+00,-1.096419999999999995e+01,-1.567099999999999937e+01,nan,1.242159999999999931e-01,nan,nan,nan,1.242159999999999931e-01
2.223349999999999979e-02,4.767060000000000186e-01,-1.001079999999999970e+01,-1.567099999999999937e+01,nan,2.223349999999999979e-02,nan,nan,nan,2.223349999999999979e-02
2.624320000000000125e-02,1.430120000000000058e+00,-1.001079999999999970e+01,-1.567099999999999937e+01,nan,2.624320000000000125e-02,nan,nan,nan,2.624320000000000125e-02
1.178769999999999991e-02,2.383529999999999927e+00,-1.001079999999999970e+01,-1.567099999999999937e+01,nan,1.178769999999999991e-02,nan,nan,nan,1.178769999999999991e-02
1.231870000000000048e-01,7.150579999999999714e+00,-1.001079999999999970e+01,-1.567099999999999937e+01,nan,1.231870000000000048e-01,nan,nan,nan,1.231870000000000048e-01
1.159440000000000054e-01,8.103989999999999583e+00,-1.001079999999999970e+01,-1.567099999999999937e+01,nan,1.159440000000000054e-01,nan,nan,nan,1.159440000000000054e-01
9.795439999999999703e-02,7.150579999999999714e+00,-9.057399999999999451e+00,-1.567099999999999937e+01,nan,9.795439999999999703e-02,nan,nan,nan,9.795439999999999703e-02
4.533260000000000067e-02,6.197169999999999845e+00,-8.103989999999999583e+00,-1.567099999999999937e+01,nan,4.533260000000000067e-02,nan,nan,nan,4.533260000000000067e-02
6.869359999999999356e-02,7.150579999999999714e+00,-8.103989999999999583e+00,-1.567099999999999937e+01,nan,6.869359999999999356e-02,nan,nan,nan,6.869359999999999356e-02
4.918630000000000224e-02,6.197169999999999845e+00,-7.150579999999999714e+00,-1.567099999999999937e+01,nan,4.918630000000000224e-02,nan,nan,nan,4.918630000000000224e-02
7.347950000000000315e-02,5.243759999999999977e+00,-6.197169999999999845e+00,-1.567099999999999937e+01,nan,7.347950000000000315e-02,nan,nan,nan,7.347950000000000315e-02
1.314910000000000037e-02,6.197169999999999845e+00,-6.197169999999999845e+00,-1.567099999999999937e+01,nan,1.314910000000000037e-02,nan,nan,nan,1.314910000000000037e-02
1.743359999999999910e-01,-4.290350000000000108e+00,-1.382450000000000045e+01,-1.471749999999999936e+01,1.743359999999999910e-01,nan,1.743359999999999910e-01,nan,nan,nan
2.262939999999999952e-01,-3.336939999999999795e+00,-1.382450000000000045e+01,-1.471749999999999936e+01,2.262939999999999952e-01,nan,2.262939999999999952e-01,nan,nan,nan
3.134000000000000119e-01,-5.243759999999999977e+00,-1.287100000000000044e+01,-1.471749999999999936e+01,3.134000000000000119e-01,nan,3.134000000000000119e-01,nan,nan,nan
3.225879999999999859e-01,-4.290350000000000108e+00,-1.287100000000000044e+01,-1.471749999999999936e+01,3.225879999999999859e-01,nan,3.225879999999999859e-01,nan,nan,nan
4.222050000000000108e-02,6.197169999999999845e+00,-1.287100000000000044e+01,-1.471749999999999936e+01,nan,4.222050000000000108e-02,nan,nan,nan,4.222050000000000108e-02
6.817070000000000074e-02,7.150579999999999714e+00,-1.287100000000000044e+01,-1.471749999999999936e+01,nan,6.817070000000000074e-02,nan,nan,nan,6.817070000000000074e-02
8.541400000000000381e-02,8.103989999999999583e+00,-1.287100000000000044e+01,-1.471749999999999936e+01,nan,8.541400000000000381e-02,nan,nan,nan,8.541400000000000381e-02
4.420959999999999890e-01,-5.243759999999999977e+00,-1.191760000000000019e+01,-1.471749999999999936e+01,4.420959999999999890e-01,nan,4.420959999999999890e-01,nan,nan,nan
4.314919999999999867e-01,-4.290350000000000108e+00,-1.191760000000000019e+01,-1.471749999999999936e+01,4.314919999999999867e-01,nan,4.314919999999999867e-01,nan,nan,nan
7.680629999999999402e-02,6.197169999999999845e+00,-1.191760000000000019e+01,-1.471749999999999936e+01,nan,7.680629999999999402e-02,nan,nan,nan,7.680629999999999402e-02
9.656430000000000569e-02,7.150579999999999714e+00,-1.191760000000000019e+01,-1.471749999999999936e+01,nan,9.656430000000000569e-02,nan,nan,nan,9.656430000000000569e-02
1.050660000000000066e-01,8.103989999999999583e+00,-1.191760000000000019e+01,-1.471749999999999936e+01,nan,1.050660000000000066e-01,nan,nan,nan,1.050660000000000066e-01
5.355389999999999873e-01,-5.243759999999999977e+00,-1.096419999999999995e+01,-1.471749999999999936e+01,5.355389999999999873e-01,nan,5.355389999999999873e-01,nan,nan,nan
-8.170870000000000216e-03,4.767060000000000186e-01,-1.096419999999999995e+01,-1.471749999999999936e+01,nan,-8.170870000000000216e-03,nan,nan,nan,-8.170870000000000216e-03
1.085419999999999961e-02,1.430120000000000058e+00,-1.096419999999999995e+01,-1.471749999999999936e+01,nan,1.085419999999999961e-02,nan,nan,nan,1.085419999999999961e-02
2.151950000000000043e-02,2.383529999999999927e+00,-1.096419999999999995e+01,-1.471749999999999936e+01,nan,2.151950000000000043e-02,nan,nan,nan,2.151950000000000043e-02
7.270740000000000362e-03,3.336939999999999795e+00,-1.096419999999999995e+01,-1.471749999999999936e+01,nan,7.270740000000000362e-03,nan,nan,nan,7.270740000000000362e-03
