Specific Venitlation, x, y, z, left_lung, right_lung, left_lung_upper, left_lung_lower, right_lung_upper, right_lung_lower
2.165359999999999854e-02,-4.766099999999999781e-01,-1.000880000000000081e+01,-1.665469999999999828e+01,nan,2.165359999999999854e-02,nan,nan,nan,2.165359999999999854e-02
5.388069999999999665e-02,4.766119999999999801e-01,-1.000880000000000081e+01,-1.665469999999999828e+01,nan,5.388069999999999665e-02,nan,nan,nan,5.388069999999999665e-02
2.421190000000000148e-02,1.429829999999999934e+00,-1.000880000000000081e+01,-1.665469999999999828e+01,nan,2.421190000000000148e-02,nan,nan,nan,2.421190000000000148e-02
1.976479999999999904e-02,2.383059999999999956e+00,-1.000880000000000081e+01,-1.665469999999999828e+01,nan,1.976479999999999904e-02,nan,nan,nan,1.976479999999999904e-02
1.136599999999999971e-01,-4.766099999999999781e-01,-9.055619999999999337e+00,-1.665469999999999828e+01,nan,1.136599999999999971e-01,nan,nan,nan,1.136599999999999971e-01
1.314829999999999888e-01,4.766119999999999801e-01,-9.055619999999999337e+00,-1.665469999999999828e+01,nan,1.314829999999999888e-01,nan,nan,nan,1.314829999999999888e-01
9.383809999999999374e-02,1.429829999999999934e+00,-9.055619999999999337e+00,-1.665469999999999828e+01,nan,9.383809999999999374e-02,nan,nan,nan,9.383809999999999374e-02
8.680749999999999231e-03,2.383059999999999956e+00,-9.055619999999999337e+00,-1.665469999999999828e+01,nan,8.680749999999999231e-03,nan,nan,nan,8.680749999999999231e-03
-1.437829999999999941e-01,6.195949999999999847e+00,-9.055619999999999337e+00,-1.665469999999999828e+01,nan,-1.437829999999999941e-01,nan,nan,nan,-1.437829999999999941e-01
-8.486090000000000300e-02,6.195949999999999847e+00,-8.102389999999999759e+00,-1.665469999999999828e+01,nan,-8.486090000000000300e-02,nan,nan,nan,-8.486090000000000300e-02
-1.824009999999999868e-02,6.195949999999999847e+00,-7.149169999999999803e+00,-1.665469999999999828e+01,nan,-1.824009999999999868e-02,nan,nan,nan,-1.824009999999999868e-02
-7.046719999999999373e-02,5.242720000000000269e+00,-6.195949999999999847e+00,-1.665469999999999828e+01,nan,-7.046719999999999373e-02,nan,nan,nan,-7.046719999999999373e-02
2.030150000000000010e-01,6.195949999999999847e+00,-1.191530000000000022e+01,-1.570149999999999935e+01,nan,2.030150000000000010e-01,nan,nan,nan,2.030150000000000010e-01
1.288820000000000070e-02,-1.429829999999999934e+00,-1.096209999999999951e+01,-1.570149999999999935e+01,nan,1.288820000000000070e-02,nan,nan,nan,1.288820000000000070e-02
-9.237610000000000265e-03,1.429829999999999934e+00,-1.096209999999999951e+01,-1.570149999999999935e+01,nan,-9.237610000000000265e-03,nan,nan,nan,-9.237610000000000265e-03
1.414930000000000077e-01,6.195949999999999847e+00,-1.096209999999999951e+01,-1.570149999999999935e+01,nan,1.414930000000000077e-01,nan,nan,nan,1.414930000000000077e-01
1.775639999999999996e-01,7.149169999999999803e+00,-1.096209999999999951e+01,-1.570149999999999935e+01,nan,1.775639999999999996e-01,nan,nan,nan,1.775639999999999996e-01
5.005919999999999814e-02,-1.429829999999999934e+00,-1.000880000000000081e+01,-1.570149999999999935e+01,nan,5.005919999999999814e-02,nan,nan,nan,5.005919999999999814e-02
5.414340000000000125e-02,-4.766099999999999781e-01,-1.000880000000000081e+01,-1.570149999999999935e+01,nan,5.414340000000000125e-02,nan,nan,nan,5.414340000000000125e-02
5.918770000000000281e-02,4.766119999999999801e-01,-1.000880000000000081e+01,-1.570149999999999935e+01,nan,5.918770000000000281e-02,nan,nan,nan,5.918770000000000281e-02
3.007719999999999838e-02,1.429829999999999934e+00,-1.000880000000000081e+01,-1.570149999999999935e+01,nan,3.007719999999999838e-02,nan,nan,nan,3.007719999999999838e-02
1.378150000000000035e-02,2.383059999999999956e+00,-1.000880000000000081e+01,-1.570149999999999935e+01,nan,1.378150000000000035e-02,nan,nan,nan,1.378150000000000035e-02
1.053639999999999993e-01,6.195949999999999847e+00,-1.000880000000000081e+01,-1.570149999999999935e+01,nan,1.053639999999999993e-01,nan,nan,nan,1.053639999999999993e-01
1.432609999999999995e-01,7.149169999999999803e+00,-1.000880000000000081e+01,-1.570149999999999935e+01,nan,1.432609999999999995e-01,nan,nan,nan,1.432609999999999995e-01
1.251049999999999940e-01,-4.766099999999999781e-01,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,1.251049999999999940e-01,nan,nan,nan,1.251049999999999940e-01
1.130219999999999975e-01,4.766119999999999801e-01,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,1.130219999999999975e-01,nan,nan,nan,1.130219999999999975e-01
6.939190000000000635e-02,1.429829999999999934e+00,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,6.939190000000000635e-02,nan,nan,nan,6.939190000000000635e-02
-3.814200000000000229e-02,2.383059999999999956e+00,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,-3.814200000000000229e-02,nan,nan,nan,-3.814200000000000229e-02
-3.179200000000000081e-02,3.336279999999999912e+00,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,-3.179200000000000081e-02,nan,nan,nan,-3.179200000000000081e-02
-3.100719999999999865e-02,5.242720000000000269e+00,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,-3.100719999999999865e-02,nan,nan,nan,-3.100719999999999865e-02
6.115969999999999740e-02,6.195949999999999847e+00,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,6.115969999999999740e-02,nan,nan,nan,6.115969999999999740e-02
1.164779999999999982e-01,7.149169999999999803e+00,-9.055619999999999337e+00,-1.570149999999999935e+01,nan,1.164779999999999982e-01,nan,nan,nan,1.164779999999999982e-01
-4.109459999999999676e-03,5.242720000000000269e+00,-8.102389999999999759e+00,-1.570149999999999935e+01,nan,-4.109459999999999676e-03,nan,nan,nan,-4.109459999999999676e-03
9.229329999999999479e-02,6.195949999999999847e+00,-8.102389999999999759e+00,-1.570149999999999935e+01,nan,9.229329999999999479e-02,nan,nan,nan,9.229329999999999479e-02
7.926220000000000487e-02,5.242720000000000269e+00,-7.149169999999999803e+00,-1.570149999999999935e+01,nan,7.926220000000000487e-02,nan,nan,nan,7.926220000000000487e-02
1.863350000000000006e-01,6.195949999999999847e+00,-7.149169999999999803e+00,-1.570149999999999935e+01,nan,1.863350000000000006e-01,nan,nan,nan,1.863350000000000006e-01
1.834119999999999917e-01,5.242720000000000269e+00,-6.195949999999999847e+00,-1.570149999999999935e+01,nan,1.834119999999999917e-01,nan,nan,nan,1.834119999999999917e-01
1.518950000000000022e-01,4.289500000000000313e+00,-5.242729999999999890e+00,-1.570149999999999935e+01,nan,1.518950000000000022e-01,nan,nan,nan,1.518950000000000022e-01
1.154219999999999968e-01,5.242720000000000269e+00,-5.242729999999999890e+00,-1.570149999999999935e+01,nan,1.154219999999999968e-01,nan,nan,nan,1.154219999999999968e-01
1.965659999999999907e-01,4.289500000000000313e+00,-4.289500000000000313e+00,-1.570149999999999935e+01,nan,1.965659999999999907e-01,nan,nan,nan,1.965659999999999907e-01
7.002429999999999766e-02,-5.242729999999999890e+00,-1.286849999999999916e+01,-1.474830000000000041e+01,7.002429999999999766e-02,nan,7.002429999999999766e-02,nan,nan,nan
1.822739999999999916e-01,6.195949999999999847e+00,-1.286849999999999916e+01,-1.474830000000000041e+01,nan,1.822739999999999916e-01,nan,nan,nan,1.822739999999999916e-01
1.396809999999999996e-01,-6.195949999999999847e+00,-1.191530000000000022e+01,-1.474830000000000041e+01,1.396809999999999996e-01,nan,1.396809999999999996e-01,nan,nan,nan
1.976360000000000061e-01,6.195949999999999847e+00,-1.191530000000000022e+01,-1.474830000000000041e+01,nan,1.976360000000000061e-01,nan,nan,nan,1.976360000000000061e-01
2.200129999999999864e-01,7.149169999999999803e+00,-1.191530000000000022e+01,-1.474830000000000041e+01,nan,2.200129999999999864e-01,nan,nan,nan,2.200129999999999864e-01
1.388409999999999922e-01,-6.195949999999999847e+00,-1.096209999999999951e+01,-1.474830000000000041e+01,1.388409999999999922e-01,nan,1.388409999999999922e-01,nan,nan,nan
1.078349999999999968e-02,-1.429829999999999934e+00,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,1.078349999999999968e-02,nan,nan,nan,1.078349999999999968e-02
-5.222599999999999985e-03,-4.766099999999999781e-01,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,-5.222599999999999985e-03,nan,nan,nan,-5.222599999999999985e-03
-3.837779999999999837e-03,4.766119999999999801e-01,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,-3.837779999999999837e-03,nan,nan,nan,-3.837779999999999837e-03
-2.150229999999999937e-03,1.429829999999999934e+00,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,-2.150229999999999937e-03,nan,nan,nan,-2.150229999999999937e-03
2.063979999999999981e-02,2.383059999999999956e+00,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,2.063979999999999981e-02,nan,nan,nan,2.063979999999999981e-02
1.141899999999999998e-01,5.242720000000000269e+00,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,1.141899999999999998e-01,nan,nan,nan,1.141899999999999998e-01
1.665860000000000118e-01,6.195949999999999847e+00,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,1.665860000000000118e-01,nan,nan,nan,1.665860000000000118e-01
1.821750000000000036e-01,7.149169999999999803e+00,-1.096209999999999951e+01,-1.474830000000000041e+01,nan,1.821750000000000036e-01,nan,nan,nan,1.821750000000000036e-01
4.269909999999999678e-02,-6.195949999999999847e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,4.269909999999999678e-02,nan,4.269909999999999678e-02,nan,nan,nan
3.883860000000000090e-02,-1.429829999999999934e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,3.883860000000000090e-02,nan,nan,nan,3.883860000000000090e-02
4.788300000000000195e-02,-4.766099999999999781e-01,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,4.788300000000000195e-02,nan,nan,nan,4.788300000000000195e-02
4.442170000000000146e-02,4.766119999999999801e-01,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,4.442170000000000146e-02,nan,nan,nan,4.442170000000000146e-02
2.222760000000000014e-02,1.429829999999999934e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,2.222760000000000014e-02,nan,nan,nan,2.222760000000000014e-02
3.444430000000000061e-03,2.383059999999999956e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,3.444430000000000061e-03,nan,nan,nan,3.444430000000000061e-03
1.980300000000000116e-02,3.336279999999999912e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,1.980300000000000116e-02,nan,nan,nan,1.980300000000000116e-02
5.363509999999999805e-02,4.289500000000000313e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,5.363509999999999805e-02,nan,nan,nan,5.363509999999999805e-02
8.862280000000000157e-02,5.242720000000000269e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,8.862280000000000157e-02,nan,nan,nan,8.862280000000000157e-02
1.439040000000000041e-01,6.195949999999999847e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,1.439040000000000041e-01,nan,nan,nan,1.439040000000000041e-01
1.594409999999999994e-01,7.149169999999999803e+00,-1.000880000000000081e+01,-1.474830000000000041e+01,nan,1.594409999999999994e-01,nan,nan,nan,1.594409999999999994e-01
1.000560000000000060e-01,-4.766099999999999781e-01,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,1.000560000000000060e-01,nan,nan,nan,1.000560000000000060e-01
8.539170000000000094e-02,4.766119999999999801e-01,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,8.539170000000000094e-02,nan,nan,nan,8.539170000000000094e-02
4.378320000000000128e-02,1.429829999999999934e+00,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,4.378320000000000128e-02,nan,nan,nan,4.378320000000000128e-02
-2.618869999999999879e-02,2.383059999999999956e+00,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,-2.618869999999999879e-02,nan,nan,nan,-2.618869999999999879e-02
-2.761349999999999916e-02,3.336279999999999912e+00,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,-2.761349999999999916e-02,nan,nan,nan,-2.761349999999999916e-02
7.339299999999999990e-03,4.289500000000000313e+00,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,7.339299999999999990e-03,nan,nan,nan,7.339299999999999990e-03
5.817370000000000180e-02,5.242720000000000269e+00,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,5.817370000000000180e-02,nan,nan,nan,5.817370000000000180e-02
1.197089999999999960e-01,6.195949999999999847e+00,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,1.197089999999999960e-01,nan,nan,nan,1.197089999999999960e-01
1.485760000000000136e-01,7.149169999999999803e+00,-9.055619999999999337e+00,-1.474830000000000041e+01,nan,1.485760000000000136e-01,nan,nan,nan,1.485760000000000136e-01
4.511659999999999802e-03,4.289500000000000313e+00,-8.102389999999999759e+00,-1.474830000000000041e+01,nan,4.511659999999999802e-03,nan,nan,nan,4.511659999999999802e-03
6.851340000000000208e-02,5.242720000000000269e+00,-8.102389999999999759e+00,-1.474830000000000041e+01,nan,6.851340000000000208e-02,nan,nan,nan,6.851340000000000208e-02
1.352540000000000131e-01,6.195949999999999847e+00,-8.102389999999999759e+00,-1.474830000000000041e+01,nan,1.352540000000000131e-01,nan,nan,nan,1.352540000000000131e-01
1.680790000000000062e-01,7.149169999999999803e+00,-8.102389999999999759e+00,-1.474830000000000041e+01,nan,1.680790000000000062e-01,nan,nan,nan,1.680790000000000062e-01
1.334380000000000011e-01,5.242720000000000269e+00,-7.149169999999999803e+00,-1.474830000000000041e+01,nan,1.334380000000000011e-01,nan,nan,nan,1.334380000000000011e-01
2.022680000000000033e-01,6.195949999999999847e+00,-7.149169999999999803e+00,-1.474830000000000041e+01,nan,2.022680000000000033e-01,nan,nan,nan,2.022680000000000033e-01
1.628739999999999910e-01,4.289500000000000313e+00,-6.195949999999999847e+00,-1.474830000000000041e+01,nan,1.628739999999999910e-01,nan,nan,nan,1.628739999999999910e-01
2.219949999999999979e-01,5.242720000000000269e+00,-6.195949999999999847e+00,-1.474830000000000041e+01,nan,2.219949999999999979e-01,nan,nan,nan,2.219949999999999979e-01
2.751460000000000017e-01,6.195949999999999847e+00,-6.195949999999999847e+00,-1.474830000000000041e+01,nan,2.751460000000000017e-01,nan,nan,nan,2.751460000000000017e-01
2.853910000000000058e-01,4.289500000000000313e+00,-5.242729999999999890e+00,-1.474830000000000041e+01,nan,2.853910000000000058e-01,nan,nan,nan,2.853910000000000058e-01
3.080519999999999925e-01,5.242720000000000269e+00,-5.242729999999999890e+00,-1.474830000000000041e+01,nan,3.080519999999999925e-01,nan,nan,nan,3.080519999999999925e-01
3.031190000000000273e-01,4.289500000000000313e+00,-4.289500000000000313e+00,-1.474830000000000041e+01,nan,3.031190000000000273e-01,nan,nan,nan,3.031190000000000273e-01
4.054089999999999777e-02,-5.242729999999999890e+00,-1.382169999999999987e+01,-1.379509999999999970e+01,4.054089999999999777e-02,nan,4.054089999999999777e-02,nan,nan,nan
9.973579999999999945e-02,-6.195949999999999847e+00,-1.286849999999999916e+01,-1.379509999999999970e+01,9.973579999999999945e-02,nan,9.973579999999999945e-02,nan,nan,nan
1.216929999999999956e-01,-5.242729999999999890e+00,-1.286849999999999916e+01,-1.379509999999999970e+01,1.216929999999999956e-01,nan,1.216929999999999956e-01,nan,nan,nan
1.521260000000000112e-01,5.242720000000000269e+00,-1.286849999999999916e+01,-1.379509999999999970e+01,nan,1.521260000000000112e-01,nan,nan,nan,1.521260000000000112e-01
1.555249999999999966e-01,6.195949999999999847e+00,-1.286849999999999916e+01,-1.379509999999999970e+01,nan,1.555249999999999966e-01,nan,nan,nan,1.555249999999999966e-01
1.678540000000000032e-01,7.149169999999999803e+00,-1.286849999999999916e+01,-1.379509999999999970e+01,nan,1.678540000000000032e-01,nan,nan,nan,1.678540000000000032e-01
7.577359999999999651e-02,-7.149169999999999803e+00,-1.191530000000000022e+01,-1.379509999999999970e+01,7.577359999999999651e-02,nan,7.577359999999999651e-02,nan,nan,nan
9.676680000000000004e-02,-6.195949999999999847e+00,-1.191530000000000022e+01,-1.379509999999999970e+01,9.676680000000000004e-02,nan,9.676680000000000004e-02,nan,nan,nan
9.555070000000000230e-02,4.289500000000000313e+00,-1.191530000000000022e+01,-1.379509999999999970e+01,nan,9.555070000000000230e-02,nan,nan,nan,9.555070000000000230e-02
1.527590000000000059e-01,5.242720000000000269e+00,-1.191530000000000022e+01,-1.379509999999999970e+01,nan,1.527590000000000059e-01,nan,nan,nan,1.527590000000000059e-01
1.726550000000000029e-01,6.195949999999999847e+00,-1.191530000000000022e+01,-1.379509999999999970e+01,nan,1.726550000000000029e-01,nan,nan,nan,1.726550000000000029e-01
1.869180000000000008e-01,7.149169999999999803e+00,-1.191530000000000022e+01,-1.379509999999999970e+01,nan,1.869180000000000008e-01,nan,nan,nan,1.869180000000000008e-01
7.436840000000000117e-02,-7.149169999999999803e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,7.436840000000000117e-02,nan,7.436840000000000117e-02,nan,nan,nan
9.018429999999999502e-02,-6.195949999999999847e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,9.018429999999999502e-02,nan,9.018429999999999502e-02,nan,nan,nan
1.591470000000000037e-02,-1.429829999999999934e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,1.591470000000000037e-02,nan,nan,nan,1.591470000000000037e-02
9.112220000000000736e-03,-4.766099999999999781e-01,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,9.112220000000000736e-03,nan,nan,nan,9.112220000000000736e-03
6.227479999999999648e-03,4.766119999999999801e-01,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,6.227479999999999648e-03,nan,nan,nan,6.227479999999999648e-03
1.606880000000000114e-02,1.429829999999999934e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,1.606880000000000114e-02,nan,nan,nan,1.606880000000000114e-02
3.438619999999999871e-02,2.383059999999999956e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,3.438619999999999871e-02,nan,nan,nan,3.438619999999999871e-02
5.540880000000000111e-02,3.336279999999999912e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,5.540880000000000111e-02,nan,nan,nan,5.540880000000000111e-02
8.864809999999999357e-02,4.289500000000000313e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,8.864809999999999357e-02,nan,nan,nan,8.864809999999999357e-02
1.291549999999999920e-01,5.242720000000000269e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,1.291549999999999920e-01,nan,nan,nan,1.291549999999999920e-01
1.634720000000000062e-01,6.195949999999999847e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,1.634720000000000062e-01,nan,nan,nan,1.634720000000000062e-01
1.762479999999999880e-01,7.149169999999999803e+00,-1.096209999999999951e+01,-1.379509999999999970e+01,nan,1.762479999999999880e-01,nan,nan,nan,1.762479999999999880e-01
8.364249999999999463e-02,-7.149169999999999803e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,8.364249999999999463e-02,nan,8.364249999999999463e-02,nan,nan,nan
4.232779999999999876e-02,-6.195949999999999847e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,4.232779999999999876e-02,nan,4.232779999999999876e-02,nan,nan,nan
2.941339999999999927e-02,-1.429829999999999934e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,2.941339999999999927e-02,nan,nan,nan,2.941339999999999927e-02
4.387200000000000127e-02,-4.766099999999999781e-01,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,4.387200000000000127e-02,nan,nan,nan,4.387200000000000127e-02
3.934409999999999991e-02,4.766119999999999801e-01,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,3.934409999999999991e-02,nan,nan,nan,3.934409999999999991e-02
2.392769999999999966e-02,1.429829999999999934e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,2.392769999999999966e-02,nan,nan,nan,2.392769999999999966e-02
1.084219999999999975e-02,2.383059999999999956e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,1.084219999999999975e-02,nan,nan,nan,1.084219999999999975e-02
3.067469999999999919e-02,3.336279999999999912e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,3.067469999999999919e-02,nan,nan,nan,3.067469999999999919e-02
6.760280000000000455e-02,4.289500000000000313e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,6.760280000000000455e-02,nan,nan,nan,6.760280000000000455e-02
1.121019999999999933e-01,5.242720000000000269e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,1.121019999999999933e-01,nan,nan,nan,1.121019999999999933e-01
1.479270000000000029e-01,6.195949999999999847e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,1.479270000000000029e-01,nan,nan,nan,1.479270000000000029e-01
1.605399999999999883e-01,7.149169999999999803e+00,-1.000880000000000081e+01,-1.379509999999999970e+01,nan,1.605399999999999883e-01,nan,nan,nan,1.605399999999999883e-01
7.288340000000000096e-02,-6.195949999999999847e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,7.288340000000000096e-02,nan,7.288340000000000096e-02,nan,nan,nan
7.709839999999999749e-02,-4.766099999999999781e-01,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,7.709839999999999749e-02,nan,nan,nan,7.709839999999999749e-02
6.376039999999999486e-02,4.766119999999999801e-01,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,6.376039999999999486e-02,nan,nan,nan,6.376039999999999486e-02
2.669380000000000017e-02,1.429829999999999934e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,2.669380000000000017e-02,nan,nan,nan,2.669380000000000017e-02
-1.068039999999999962e-02,2.383059999999999956e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,-1.068039999999999962e-02,nan,nan,nan,-1.068039999999999962e-02
-8.692880000000000051e-03,3.336279999999999912e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,-8.692880000000000051e-03,nan,nan,nan,-8.692880000000000051e-03
3.457949999999999913e-02,4.289500000000000313e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,3.457949999999999913e-02,nan,nan,nan,3.457949999999999913e-02
9.440519999999999468e-02,5.242720000000000269e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,9.440519999999999468e-02,nan,nan,nan,9.440519999999999468e-02
1.340109999999999912e-01,6.195949999999999847e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,1.340109999999999912e-01,nan,nan,nan,1.340109999999999912e-01
1.548070000000000002e-01,7.149169999999999803e+00,-9.055619999999999337e+00,-1.379509999999999970e+01,nan,1.548070000000000002e-01,nan,nan,nan,1.548070000000000002e-01
1.507259999999999989e-01,-6.195949999999999847e+00,-8.102389999999999759e+00,-1.379509999999999970e+01,1.507259999999999989e-01,nan,1.507259999999999989e-01,nan,nan,nan
2.882380000000000012e-02,4.289500000000000313e+00,-8.102389999999999759e+00,-1.379509999999999970e+01,nan,2.882380000000000012e-02,nan,nan,nan,2.882380000000000012e-02
9.944740000000000524e-02,5.242720000000000269e+00,-8.102389999999999759e+00,-1.379509999999999970e+01,nan,9.944740000000000524e-02,nan,nan,nan,9.944740000000000524e-02
