Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.164208,2.29684,1.77557,-6.39769
-0.000934511,0.733034,2.29684,-6.39769
0.0689705,1.2543,2.29684,-6.39769
0.139792,1.77557,2.29684,-6.39769
0.203143,2.29684,2.29684,-6.39769
0.202608,2.81811,2.29684,-6.39769
0.257995,-0.309504,2.81811,-6.39769
0.177229,0.211765,2.81811,-6.39769
0.156437,0.733034,2.81811,-6.39769
0.134665,1.2543,2.81811,-6.39769
0.155535,1.77557,2.81811,-6.39769
0.211815,2.29684,2.81811,-6.39769
0.224357,2.81811,2.81811,-6.39769
0.319979,-0.83077,3.33937,-6.39769
0.312662,-0.309504,3.33937,-6.39769
0.24785,0.211765,3.33937,-6.39769
0.191675,0.733034,3.33937,-6.39769
0.136678,1.2543,3.33937,-6.39769
0.0880168,1.77557,3.33937,-6.39769
0.166898,2.81811,3.33937,-6.39769
0.145052,-0.309504,3.86064,-6.39769
0.0598174,0.211765,3.86064,-6.39769
-0.0642641,0.733034,3.86064,-6.39769
-0.357434,1.2543,3.86064,-6.39769
0.0643301,2.81811,3.86064,-6.39769
0.199542,1.77557,1.2543,-5.87642
0.267646,2.29684,1.2543,-5.87642
0.307393,2.81811,1.2543,-5.87642
0.208959,1.77557,1.77557,-5.87642
0.262063,2.29684,1.77557,-5.87642
0.290377,2.81811,1.77557,-5.87642
-0.0139967,0.211765,2.29684,-5.87642
0.152555,0.733034,2.29684,-5.87642
0.212155,1.2543,2.29684,-5.87642
0.271982,1.77557,2.29684,-5.87642
0.303152,2.29684,2.29684,-5.87642
0.326959,2.81811,2.29684,-5.87642
0.430815,3.33937,2.29684,-5.87642
0.302593,-0.83077,2.81811,-5.87642
0.299152,-0.309504,2.81811,-5.87642
0.24529,0.211765,2.81811,-5.87642
0.254156,0.733034,2.81811,-5.87642
0.262377,1.2543,2.81811,-5.87642
0.257232,1.77557,2.81811,-5.87642
0.28465,2.29684,2.81811,-5.87642
0.316739,2.81811,2.81811,-5.87642
0.403148,3.33937,2.81811,-5.87642
0.493229,-0.83077,3.33937,-5.87642
0.414781,-0.309504,3.33937,-5.87642
0.346748,0.211765,3.33937,-5.87642
0.318061,0.733034,3.33937,-5.87642
0.280421,1.2543,3.33937,-5.87642
0.196958,1.77557,3.33937,-5.87642
0.238592,2.29684,3.33937,-5.87642
0.288621,2.81811,3.33937,-5.87642
0.375887,3.33937,3.33937,-5.87642
0.461477,-0.83077,3.86064,-5.87642
0.235335,-0.309504,3.86064,-5.87642
0.153641,0.211765,3.86064,-5.87642
0.0279692,0.733034,3.86064,-5.87642
0.226725,2.81811,3.86064,-5.87642
0.338102,3.33937,3.86064,-5.87642
0.276298,3.33937,4.38191,-5.87642
0.364852,1.77557,0.733034,-5.35515
0.352532,2.29684,0.733034,-5.35515
0.372538,2.81811,0.733034,-5.35515
0.252886,1.77557,1.2543,-5.35515
0.312109,2.29684,1.2543,-5.35515
0.360003,2.81811,1.2543,-5.35515
0.17228,1.2543,1.77557,-5.35515
0.260975,1.77557,1.77557,-5.35515
0.304075,2.29684,1.77557,-5.35515
0.336684,2.81811,1.77557,-5.35515
0.412275,3.33937,1.77557,-5.35515
0.0928207,0.211765,2.29684,-5.35515
0.196684,0.733034,2.29684,-5.35515
0.257834,1.2543,2.29684,-5.35515
0.291567,1.77557,2.29684,-5.35515
0.314815,2.29684,2.29684,-5.35515
0.343899,2.81811,2.29684,-5.35515
0.417498,3.33937,2.29684,-5.35515
0.227681,-3.95838,2.81811,-5.35515
0.328416,-3.43711,2.81811,-5.35515
0.345869,-0.83077,2.81811,-5.35515
0.332117,-0.309504,2.81811,-5.35515
0.307948,0.211765,2.81811,-5.35515
0.319812,0.733034,2.81811,-5.35515
0.320959,1.2543,2.81811,-5.35515
0.279476,1.77557,2.81811,-5.35515
0.299776,2.29684,2.81811,-5.35515
0.336645,2.81811,2.81811,-5.35515
0.407142,3.33937,2.81811,-5.35515
