Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.00746373,-0.293213,2.31312,-7.61379
0.0143787,0.228054,2.31312,-7.61379
0.0370496,0.749321,2.31312,-7.61379
0.168666,1.79186,2.31312,-7.61379
0.0671559,-0.814481,2.83439,-7.61379
0.000126053,-0.293213,2.83439,-7.61379
0.0207744,0.228054,2.83439,-7.61379
0.0283892,0.749321,2.83439,-7.61379
0.0910316,1.27059,2.83439,-7.61379
0.194624,1.79186,2.83439,-7.61379
0.28425,2.31312,2.83439,-7.61379
0.0269623,-0.814481,3.35566,-7.61379
-0.0349162,-0.293213,3.35566,-7.61379
-0.0282403,0.228054,3.35566,-7.61379
-0.0190055,0.749321,3.35566,-7.61379
0.0547605,1.27059,3.35566,-7.61379
0.19761,1.79186,3.35566,-7.61379
0.296271,2.31312,3.35566,-7.61379
0.218943,1.79186,3.87693,-7.61379
0.302101,2.31312,3.87693,-7.61379
0.249259,1.79186,4.3982,-7.61379
0.315168,2.31312,4.3982,-7.61379
0.299051,1.79186,4.91946,-7.61379
0.166955,1.27059,1.79186,-7.09253
0.238667,1.79186,1.79186,-7.09253
0.302202,2.31312,1.79186,-7.09253
0.284838,-3.42082,2.31312,-7.09253
0.0573992,-0.814481,2.31312,-7.09253
0.0329138,-0.293213,2.31312,-7.09253
0.0614904,0.228054,2.31312,-7.09253
0.113476,0.749321,2.31312,-7.09253
0.19371,1.27059,2.31312,-7.09253
0.26844,1.79186,2.31312,-7.09253
0.331266,2.31312,2.31312,-7.09253
0.354983,2.83439,2.31312,-7.09253
0.0680018,-1.33575,2.83439,-7.09253
0.0545355,-0.814481,2.83439,-7.09253
0.0364546,-0.293213,2.83439,-7.09253
0.0584255,0.228054,2.83439,-7.09253
0.0922781,0.749321,2.83439,-7.09253
0.17125,1.27059,2.83439,-7.09253
0.261069,1.79186,2.83439,-7.09253
0.32223,2.31312,2.83439,-7.09253
0.338691,2.83439,2.83439,-7.09253
0.000333426,-0.814481,3.35566,-7.09253
-0.00854953,-0.293213,3.35566,-7.09253
0.0143057,0.228054,3.35566,-7.09253
0.0421788,0.749321,3.35566,-7.09253
0.136522,1.27059,3.35566,-7.09253
0.251861,1.79186,3.35566,-7.09253
0.313213,2.31312,3.35566,-7.09253
0.32861,2.83439,3.35566,-7.09253
0.163892,1.27059,3.87693,-7.09253
0.269007,1.79186,3.87693,-7.09253
0.319544,2.31312,3.87693,-7.09253
0.304948,2.83439,3.87693,-7.09253
0.237815,1.27059,4.3982,-7.09253
0.302896,1.79186,4.3982,-7.09253
0.33876,2.31312,4.3982,-7.09253
0.183811,1.27059,4.91946,-7.09253
0.344341,1.79186,4.91946,-7.09253
0.373933,2.31312,4.91946,-7.09253
0.177725,1.27059,5.44073,-7.09253
0.373059,1.79186,5.44073,-7.09253
0.143864,1.27059,5.962,-7.09253
0.271161,1.79186,0.749321,-6.57126
0.186266,-3.42082,1.27059,-6.57126
0.128542,-2.89955,1.27059,-6.57126
0.209736,1.27059,1.27059,-6.57126
0.269261,1.79186,1.27059,-6.57126
0.301555,2.31312,1.27059,-6.57126
0.297849,2.83439,1.27059,-6.57126
0.300136,-3.94209,1.79186,-6.57126
0.266964,-3.42082,1.79186,-6.57126
0.0626374,0.228054,1.79186,-6.57126
0.140909,0.749321,1.79186,-6.57126
0.225755,1.27059,1.79186,-6.57126
0.291255,1.79186,1.79186,-6.57126
0.325792,2.31312,1.79186,-6.57126
0.335473,2.83439,1.79186,-6.57126
0.327817,-3.94209,2.31312,-6.57126
0.26428,-3.42082,2.31312,-6.57126
0.0618703,-1.33575,2.31312,-6.57126
0.0546247,-0.814481,2.31312,-6.57126
0.0434991,-0.293213,2.31312,-6.57126
0.0793472,0.228054,2.31312,-6.57126
0.135994,0.749321,2.31312,-6.57126
0.217318,1.27059,2.31312,-6.57126
0.292047,1.79186,2.31312,-6.57126
0.331336,2.31312,2.31312,-6.57126
0.34185,2.83439,2.31312,-6.57126
0.33915,3.35566,2.31312,-6.57126
0.340471,-3.94209,2.83439,-6.57126
0.242371,-3.42082,2.83439,-6.57126
0.071459,-1.33575,2.83439,-6.57126
