ScanName,DatePrepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),DiseaseType,Sex,Weight(G),Age(D)
MAL-006531_XV,2023-08-23-15:49:03.475248,14.7,0.39,0.262,39.16,21.23,26.1,WT,F,21.5,89
MAL-006524_XV,2023-08-23-15:53:24.209860,12.0,0.334,0.245,33.32,17.69,22.01,WT,M,29.0,88
MAL-006583_XV,2023-08-23-15:52:50.404602,16.9,0.276,0.134,53.12,17.51,40.23,WT,M,27.8,80
MAL-006504_XV,2023-08-23-15:53:56.931235,12.9,0.367,0.197,39.85,19.17,27.09,WT,F,20.0,97
MAL-006498_XV,2023-08-23-15:52:35.049030,16.2,0.337,0.342,43.74,18.83,30.9,B-ENaC,M,25.8,97
MAL-006502_XV,2023-08-23-15:54:34.799341,14.4,0.381,0.21,36.94,20.32,23.81,WT,F,20.3,97
MAL-006503_XV,2023-08-23-15:57:16.651112,17.6,0.345,0.268,43.5,21.84,26.53,B-ENaC,F,24.0,97
MAL-006527_XV,2023-08-23-15:43:35.312556,11.1,0.365,0.229,36.77,17.56,23.78,WT,F,22.3,90
MAL-006548_XV,2023-08-23-15:55:19.756459,17.4,0.328,0.246,46.01,20.55,31.05,B-ENaC,F,21.3,86
MAL-006529_XV,2023-08-23-15:52:10.296985,15.7,0.382,0.297,39.15,19.71,29.26,B-ENaC,F,22.8,90
MAL-006499_XV,2023-08-23-15:50:19.654930,11.2,0.333,0.239,30.29,17.12,18.41,WT,M,29.4,97
MAL-006533_XV,2023-08-23-15:53:32.639274,15.6,0.378,0.245,41.88,22.13,26.08,WT,F,21.0,90
MAL-006528_XV,2023-08-23-15:47:13.735430,9.79,0.378,0.238,32.59,16.92,19.78,WT,F,21.4,90
MAL-006519_XV,2023-08-23-15:49:18.552991,11.8,0.333,0.249,34.89,18.71,24.33,WT,M,28.4,90
MAL-006537_XV,2023-08-23-15:49:54.525923,13.3,0.356,0.251,38.23,20.18,24.3,WT,F,23.7,89
MAL-006523_XV,2023-08-23-15:46:36.739977,10.9,0.32,0.232,34.06,16.28,22.18,WT,M,31.1,88
MAL-006540_XV,2023-08-23-15:54:11.698720,16.0,0.315,0.333,40.15,19.28,29.08,B-ENaC,M,27.5,86
MAL-006500_XV,2023-08-23-15:49:34.883463,12.1,0.363,0.24,36.05,17.88,23.8,XV,F,25.2,97
MAL-006518_XV,2023-08-23-15:57:38.695466,17.0,0.329,0.366,42.69,18.73,32.01,B-ENaC,M,28.9,90
MAL-006521_XV,2023-08-23-15:52:58.624931,15.9,0.378,0.35,41.26,20.97,29.27,B-ENaC,F,21.7,91
MAL-006532_XV,2023-08-23-15:49:57.225032,16.7,0.349,0.264,43.77,21.27,30.36,B-ENaC,F,22.6,89
MAL-006520_XV,2023-08-23-15:50:07.415180,19.2,0.337,0.33,48.41,23.71,33.89,B-ENaC,F,24.6,91
MAL-006501_XV,2023-08-23-15:57:02.882290,15.3,0.357,0.289,40.31,20.36,24.88,B-ENaC,F,21.1,97
MAL-006517_XV,2023-08-23-15:51:03.272588,16.9,0.339,0.365,44.09,19.07,30.22,B-ENaC,M,27.4,90
MAL-006539_XV,2023-08-23-15:53:16.228402,15.0,0.354,0.259,43.9,20.06,30.14,B-ENaC,F,22.5,91
MAL-006547_XV,2023-08-23-15:52:35.859520,15.8,0.355,0.327,40.2,20.72,25.26,B-ENaC,F,19.3,86
MAL-006530_XV,2023-08-23-15:47:16.141657,15.5,0.369,0.265,41.48,21.1,25.35,B-ENaC,F,22.8,90
MAL-006536_XV,2023-08-23-15:46:38.176975,10.4,0.355,0.197,32.91,15.81,22.39,WT,F,21.5,89
