Specific Ventilation,x,y,z
0,-3.42576,0.228384,-9.0701
0.410195,0.750404,0.228384,-9.0701
0.419997,1.27242,0.228384,-9.0701
0.435582,1.79445,0.228384,-9.0701
0.336308,2.31647,0.228384,-9.0701
-0.145455,-3.42576,0.750404,-9.0701
0.865651,-0.815657,0.750404,-9.0701
0.617924,-0.293636,0.750404,-9.0701
0.544729,0.228384,0.750404,-9.0701
0.541113,0.750404,0.750404,-9.0701
0.524236,1.27242,0.750404,-9.0701
0.398846,1.79445,0.750404,-9.0701
0.272016,2.31647,0.750404,-9.0701
0.171511,3.36051,0.750404,-9.0701
0.844484,-0.815657,1.27242,-9.0701
0.923777,-0.293636,1.27242,-9.0701
0.7508,0.228384,1.27242,-9.0701
0.653458,0.750404,1.27242,-9.0701
0.577821,1.27242,1.27242,-9.0701
0.220024,1.79445,1.27242,-9.0701
0.164159,2.31647,1.27242,-9.0701
0.124044,-3.42576,-0.293636,-8.54808
0.226156,1.27242,-0.293636,-8.54808
0.370392,1.79445,-0.293636,-8.54808
0.367454,2.31647,-0.293636,-8.54808
0.256625,2.83849,-0.293636,-8.54808
0.124594,3.36051,-0.293636,-8.54808
0.357344,-3.94778,0.228384,-8.54808
0.20055,-3.42576,0.228384,-8.54808
0.925135,-1.33768,0.228384,-8.54808
0.923677,-0.815657,0.228384,-8.54808
0.434989,0.750404,0.228384,-8.54808
0.448279,1.27242,0.228384,-8.54808
0.440955,1.79445,0.228384,-8.54808
0.340178,2.31647,0.228384,-8.54808
0.229961,2.83849,0.228384,-8.54808
0.11691,3.36051,0.228384,-8.54808
0.0685032,3.88253,0.228384,-8.54808
0.418066,-3.94778,0.750404,-8.54808
0.264278,-3.42576,0.750404,-8.54808
0.65484,-1.33768,0.750404,-8.54808
0.79166,-0.815657,0.750404,-8.54808
0.673408,-0.293636,0.750404,-8.54808
0.631298,0.228384,0.750404,-8.54808
0.630441,0.750404,0.750404,-8.54808
0.599811,1.27242,0.750404,-8.54808
0.407777,1.79445,0.750404,-8.54808
0.2824,2.31647,0.750404,-8.54808
0.162836,2.83849,0.750404,-8.54808
0.0658612,3.36051,0.750404,-8.54808
0.0606521,3.88253,0.750404,-8.54808
0.312569,-3.94778,1.27242,-8.54808
0.659642,-0.815657,1.27242,-8.54808
0.757341,-0.293636,1.27242,-8.54808
0.673895,0.228384,1.27242,-8.54808
0.582317,1.27242,1.27242,-8.54808
0.168396,1.79445,1.27242,-8.54808
0.0254368,3.36051,1.27242,-8.54808
0.0613967,3.88253,1.27242,-8.54808
-0.0295721,-3.94778,1.79445,-8.54808
-0.0366281,3.36051,1.79445,-8.54808
0.0355504,3.88253,1.79445,-8.54808
0,-3.94778,2.31647,-8.54808
0.0762169,3.88253,2.31647,-8.54808
0.329739,2.31647,-1.33768,-8.02606
0.348846,2.83849,-1.33768,-8.02606
0.28943,-3.42576,-0.815657,-8.02606
0.190267,1.79445,-0.815657,-8.02606
0.264103,2.31647,-0.815657,-8.02606
0.230623,2.83849,-0.815657,-8.02606
0.129887,3.36051,-0.815657,-8.02606
0.0697759,3.88253,-0.815657,-8.02606
0.389441,-3.94778,-0.293636,-8.02606
0.293754,-3.42576,-0.293636,-8.02606
0.327347,1.27242,-0.293636,-8.02606
0.422903,1.79445,-0.293636,-8.02606
0.379315,2.31647,-0.293636,-8.02606
0.277586,2.83849,-0.293636,-8.02606
0.156522,3.36051,-0.293636,-8.02606
0.0741131,3.88253,-0.293636,-8.02606
0.506492,-3.94778,0.228384,-8.02606
0.349116,-3.42576,0.228384,-8.02606
0.978368,-1.33768,0.228384,-8.02606
0.799325,-0.815657,0.228384,-8.02606
0.545118,-0.293636,0.228384,-8.02606
0.447143,0.228384,0.228384,-8.02606
0.537269,0.750404,0.228384,-8.02606
0.539981,1.27242,0.228384,-8.02606
0.476086,1.79445,0.228384,-8.02606
0.360966,2.31647,0.228384,-8.02606
0.253768,2.83849,0.228384,-8.02606
0.137109,3.36051,0.228384,-8.02606
0.0636587,3.88253,0.228384,-8.02606
0.00361137,4.40455,0.228384,-8.02606
0.697721,-4.4698,0.750404,-8.02606
0.561347,-3.94778,0.750404,-8.02606
0.398039,-3.42576,0.750404,-8.02606
0.65352,-1.33768,0.750404,-8.02606
0.821303,-0.815657,0.750404,-8.02606
0.74527,-0.293636,0.750404,-8.02606
0.703322,0.228384,0.750404,-8.02606
0.708495,0.750404,0.750404,-8.02606
0.669553,1.27242,0.750404,-8.02606
0.433651,1.79445,0.750404,-8.02606
0.315194,2.31647,0.750404,-8.02606
0.198661,2.83849,0.750404,-8.02606
