ScanName,DatePrepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Genotype
474,2023-02-08-22:46:57.616572,10.5,0.32,0.144,38.94,14.35,29.99,MPS I
479,2023-02-08-22:10:00.609384,11.2,0.36,0.157,40.55,18.53,24.87,MPS I
448,2023-02-01-02:38:00.518173,11.2,0.34,0.163,40.4,16.35,26.45,WT
415,2023-01-19-22:53:53.501797,10.5,0.38,0.196,32.83,14.64,21.68,WT
496,2023-02-06-22:50:55.357456,12.1,0.34,0.155,41.64,16.84,29.73,MPS I
503,2023-01-26-22:02:35.905675,8.33,0.36,0.19,30.88,13.0,22.2,MPS I
472,2023-02-04-00:13:27.141463,9.04,0.42,0.191,34.44,16.71,21.48,WT
470,2023-02-03-22:29:29.731402,7.41,0.44,0.196,30.8,14.97,19.87,WT
499,2023-01-26-23:15:29.934389,8.46,0.39,0.208,31.27,15.68,24.24,MPS I
437,2023-01-24-00:59:40.320834,11.9,0.42,0.194,39.61,19.79,23.49,WT
438,2023-02-01-22:29:04.100987,18.3,0.34,0.145,52.66,20.82,35.56,MPS I
453,2023-02-10-01:39:10.206846,10.0,0.36,0.17,39.4,16.0,28.92,WT
465,2023-02-02-04:07:38.231316,9.28,0.39,0.194,33.54,16.2,22.33,MPS I
471,2023-02-09-01:31:26.048436,15.3,0.35,0.112,50.25,19.98,33.95,WT
461,2023-02-06-20:35:39.236404,10.0,0.36,0.157,36.99,16.64,22.89,WT
478,2023-02-08-22:22:46.269666,11.3,0.35,0.176,35.89,15.45,24.14,WT
419,2023-01-19-23:09:02.587818,16.9,0.35,0.21,46.85,22.41,32.85,MPS I
449,2023-02-01-20:58:09.574765,9.6,0.33,0.17,38.04,15.42,24.33,MPS I
452,2023-02-02-01:24:20.947250,11.8,0.37,0.161,42.5,17.12,27.46,MPS I
500,2023-02-06-21:13:09.846912,14.3,0.41,0.204,36.31,18.81,24.73,WT
454,2023-02-02-21:59:40.809711,6.76,0.38,0.195,30.96,12.93,21.57,WT
502,2023-01-26-22:34:32.501827,11.2,0.38,0.181,41.08,16.81,29.39,MPS I
497,2023-01-26-23:29:00.373344,11.0,0.33,0.186,36.08,17.59,25.01,MPS I
463,2023-02-03-03:40:08.092882,15.3,0.38,0.143,44.84,23.69,26.99,WT
445,2023-02-01-21:49:14.056937,19.5,0.28,0.149,60.73,22.42,46.1,MPS I
473,2023-02-03-22:42:06.247149,11.5,0.36,0.151,39.26,16.48,25.57,WT
429,2023-01-30-22:33:51.871216,14.3,0.35,0.144,45.87,18.02,33.44,WT
464,2023-02-03-02:32:56.848064,8.33,0.37,0.175,32.92,15.62,22.46,MPS I
462,2023-02-03-01:13:37.234409,14.8,0.3,0.147,50.3,17.41,33.32,MPS I
430,2023-01-19-23:06:21.710175,16.7,0.3,0.116,54.96,18.05,43.22,MPS I
495,2023-02-06-22:29:25.030190,9.92,0.37,0.172,33.37,15.03,20.53,WT
486,2023-02-07-00:08:09.379623,24.1,0.33,0.151,71.28,23.76,54.27,WT
447,2023-02-01-21:23:56.369964,17.7,0.32,0.147,51.24,18.78,37.48,WT
