Specific Ventilation,x,y,z
0.045951,-1.24185,-7.43501,-13.0798
-0.00178471,-0.725759,-6.91891,-13.0798
0.0354719,-2.79014,-6.40281,-13.0798
0.00976203,-2.27405,-6.40281,-13.0798
0.0696888,-3.30624,-5.88672,-13.0798
0.0549276,-2.79014,-5.88672,-13.0798
0.0739979,-2.27405,-5.88672,-13.0798
0.00805298,-3.30624,-5.37062,-13.0798
-0.00736407,-2.79014,-5.37062,-13.0798
0.127746,-1.75795,-7.9511,-12.5637
0.150319,-1.24185,-7.9511,-12.5637
0.100305,-1.75795,-7.43501,-12.5637
0.134854,-1.24185,-7.43501,-12.5637
0.129769,-1.24185,-6.91891,-12.5637
0.162547,-0.725759,-6.91891,-12.5637
0.0858983,-2.79014,-6.40281,-12.5637
0.0810023,-2.27405,-6.40281,-12.5637
0.144618,-0.725759,-6.40281,-12.5637
0.128451,-0.209663,-6.40281,-12.5637
0.13713,-3.30624,-5.88672,-12.5637
0.0971568,-2.79014,-5.88672,-12.5637
0.112794,-2.27405,-5.88672,-12.5637
0.00473806,-0.209663,-5.88672,-12.5637
0.0802493,-3.30624,-5.37062,-12.5637
0.0308781,-2.79014,-5.37062,-12.5637
0.131723,-2.27405,-7.9511,-12.0476
0.141481,-1.75795,-7.9511,-12.0476
0.167731,-1.24185,-7.9511,-12.0476
0.0973293,-2.27405,-7.43501,-12.0476
0.118821,-1.75795,-7.43501,-12.0476
0.154951,-1.24185,-7.43501,-12.0476
0.182805,-0.725759,-7.43501,-12.0476
0.106827,-2.27405,-6.91891,-12.0476
0.114395,-1.75795,-6.91891,-12.0476
0.149803,-1.24185,-6.91891,-12.0476
0.202866,-0.725759,-6.91891,-12.0476
0.0899348,-2.79014,-6.40281,-12.0476
0.0981935,-2.27405,-6.40281,-12.0476
0.279744,-0.725759,-6.40281,-12.0476
0.232117,-0.209663,-6.40281,-12.0476
0.0995355,-3.30624,-5.88672,-12.0476
0.103207,-2.79014,-5.88672,-12.0476
0.135611,-2.27405,-5.88672,-12.0476
0.136859,-0.209663,-5.88672,-12.0476
0.0749556,-3.30624,-5.37062,-12.0476
0.0744562,-2.79014,-5.37062,-12.0476
0.117958,-2.27405,-8.4672,-11.5315
0.110472,-1.75795,-8.4672,-11.5315
0.127169,-1.24185,-8.4672,-11.5315
0.112333,-2.79014,-7.9511,-11.5315
0.132046,-2.27405,-7.9511,-11.5315
0.152135,-1.75795,-7.9511,-11.5315
0.17994,-1.24185,-7.9511,-11.5315
0.191774,-0.725759,-7.9511,-11.5315
0.103053,-2.27405,-7.43501,-11.5315
0.136519,-1.75795,-7.43501,-11.5315
0.172942,-1.24185,-7.43501,-11.5315
0.196191,-0.725759,-7.43501,-11.5315
0.108488,-2.27405,-6.91891,-11.5315
0.12253,-1.75795,-6.91891,-11.5315
0.159583,-1.24185,-6.91891,-11.5315
0.203245,-0.725759,-6.91891,-11.5315
0.164343,-0.209663,-6.91891,-11.5315
0.0906606,-2.79014,-6.40281,-11.5315
0.110209,-2.27405,-6.40281,-11.5315
0.286413,-0.725759,-6.40281,-11.5315
0.262144,-0.209663,-6.40281,-11.5315
0.109064,-3.30624,-5.88672,-11.5315
0.112619,-2.79014,-5.88672,-11.5315
0.153827,-2.27405,-5.88672,-11.5315
0.261667,-0.209663,-5.88672,-11.5315
0.104964,-3.30624,-5.37062,-11.5315
0.0995099,-2.79014,-5.37062,-11.5315
0.130512,0.306433,-5.37062,-11.5315
0,0.306433,-4.85453,-11.5315
0.133183,-5.88672,-4.33843,-11.5315
0.121132,-5.88672,-3.82233,-11.5315
0.111864,-5.37062,-3.30624,-11.5315
0.0975066,-4.85453,-2.79014,-11.5315
0.0764853,-4.33843,-2.79014,-11.5315
0.0628513,-2.27405,-8.98329,-11.0154
0.06648,-1.75795,-8.98329,-11.0154
0.101465,-2.79014,-8.4672,-11.0154
0.114563,-2.27405,-8.4672,-11.0154
0.127854,-1.75795,-8.4672,-11.0154
0.153483,-1.24185,-8.4672,-11.0154
0.181807,-0.725759,-8.4672,-11.0154
0.104343,-2.79014,-7.9511,-11.0154
0.125129,-2.27405,-7.9511,-11.0154
0.15279,-1.75795,-7.9511,-11.0154
0.181547,-1.24185,-7.9511,-11.0154
0.202292,-0.725759,-7.9511,-11.0154
0.0776058,-2.79014,-7.43501,-11.0154
0.106121,-2.27405,-7.43501,-11.0154
0.136318,-1.75795,-7.43501,-11.0154
0.170705,-1.24185,-7.43501,-11.0154
0.198476,-0.725759,-7.43501,-11.0154
0.189322,-0.209663,-7.43501,-11.0154
0.090336,-2.79014,-6.91891,-11.0154
0.104632,-2.27405,-6.91891,-11.0154
0.113907,-1.75795,-6.91891,-11.0154
0.161783,-1.24185,-6.91891,-11.0154
0.203636,-0.725759,-6.91891,-11.0154
0.198971,-0.209663,-6.91891,-11.0154
0.0711977,-3.30624,-6.40281,-11.0154
0.0838203,-2.79014,-6.40281,-11.0154
0.10611,-2.27405,-6.40281,-11.0154
0.295544,-0.725759,-6.40281,-11.0154
0.281486,-0.209663,-6.40281,-11.0154
0.102583,-3.30624,-5.88672,-11.0154
0.102297,-2.79014,-5.88672,-11.0154
0.300124,-0.209663,-5.88672,-11.0154
0.24493,0.306433,-5.88672,-11.0154
0.0536272,-3.82233,-5.37062,-11.0154
0.101008,-3.30624,-5.37062,-11.0154
0.0894066,-2.79014,-5.37062,-11.0154
0.221081,0.306433,-5.37062,-11.0154
0.129959,-5.88672,-4.85453,-11.0154
0,0.306433,-4.85453,-11.0154
0.141594,-6.40281,-4.33843,-11.0154
0.124479,-5.88672,-4.33843,-11.0154
0.123408,-5.88672,-3.82233,-11.0154
0.120683,-5.37062,-3.82233,-11.0154
0.1201,-5.88672,-3.30624,-11.0154
0.133724,-5.37062,-3.30624,-11.0154
0.119219,-5.37062,-2.79014,-11.0154
0.139569,-4.85453,-2.79014,-11.0154
0.152616,-4.33843,-2.79014,-11.0154
0.0771097,-4.33843,-2.27405,-11.0154
0.0596602,-3.82233,-2.27405,-11.0154
0,-3.30624,-2.27405,-11.0154
