Specific Ventilation,x,y,z
-0.0262916,-2.25773,-3.28983,-9.98238
-0.00954938,-1.74167,-3.28983,-9.98238
-0.015307,-2.77378,-2.77378,-9.98238
-0.00616187,-2.25773,-2.77378,-9.98238
-0.00206107,-1.74167,-2.77378,-9.98238
-0.00311339,-1.22562,-2.77378,-9.98238
0.00317338,-2.25773,-2.25773,-9.98238
0.0124224,-1.74167,-2.25773,-9.98238
0.0354813,-1.22562,-4.83799,-9.46632
0.0903543,-0.709571,-4.83799,-9.46632
0.0918097,-0.709571,-4.32193,-9.46632
0.140042,-0.19352,-4.32193,-9.46632
0.119874,-0.19352,-3.80588,-9.46632
-0.0168009,-2.25773,-3.28983,-9.46632
0.01173,-1.74167,-3.28983,-9.46632
0.0242692,-2.77378,-2.77378,-9.46632
0.0271473,-2.25773,-2.77378,-9.46632
0.0406315,-1.74167,-2.77378,-9.46632
0.0607594,-1.22562,-2.77378,-9.46632
0.0546397,-2.25773,-2.25773,-9.46632
0.0611812,-1.74167,-2.25773,-9.46632
0,-4.83799,-1.22562,-9.46632
0.0876886,-1.22562,-5.35404,-8.95027
0.104408,-0.709571,-5.35404,-8.95027
0.0889756,-1.22562,-4.83799,-8.95027
0.127793,-0.709571,-4.83799,-8.95027
0.161267,-0.19352,-4.83799,-8.95027
0.0739618,-1.22562,-4.32193,-8.95027
0.1158,-0.709571,-4.32193,-8.95027
0.173261,-0.19352,-4.32193,-8.95027
0.0541884,-1.74167,-3.80588,-8.95027
0.0572667,-1.22562,-3.80588,-8.95027
0.0846213,-0.709571,-3.80588,-8.95027
0.142343,-0.19352,-3.80588,-8.95027
0.170112,0.322533,-3.80588,-8.95027
0.0187939,-2.25773,-3.28983,-8.95027
0.039773,-1.74167,-3.28983,-8.95027
0.0445848,-1.22562,-3.28983,-8.95027
0.119936,0.322533,-3.28983,-8.95027
0.0363109,-2.77378,-2.77378,-8.95027
0.0497482,-2.25773,-2.77378,-8.95027
0.0526597,-1.74167,-2.77378,-8.95027
0.122918,0.322533,-2.77378,-8.95027
0.0811646,-2.25773,-2.25773,-8.95027
0.0813555,-1.74167,-2.25773,-8.95027
0.190436,-5.35404,-1.22562,-8.95027
0.274752,-4.83799,-1.22562,-8.95027
0.109855,-5.35404,-0.709571,-8.95027
0.199699,-4.83799,-0.709571,-8.95027
0.0754373,-4.83799,-0.19352,-8.95027
0.200849,-4.32193,-0.19352,-8.95027
0.142152,-3.80588,0.322533,-8.95027
0.105312,-1.74167,-5.35404,-8.43422
0.129575,-1.22562,-5.35404,-8.43422
0.138269,-0.709571,-5.35404,-8.43422
0.136749,-0.19352,-5.35404,-8.43422
0.0811889,-1.74167,-4.83799,-8.43422
0.107367,-1.22562,-4.83799,-8.43422
0.136627,-0.709571,-4.83799,-8.43422
0.158395,-0.19352,-4.83799,-8.43422
0.0799696,-1.22562,-4.32193,-8.43422
0.112738,-0.709571,-4.32193,-8.43422
0.151129,-0.19352,-4.32193,-8.43422
0.0520573,-2.25773,-3.80588,-8.43422
0.0538851,-1.74167,-3.80588,-8.43422
0.0610104,-1.22562,-3.80588,-8.43422
0.0875605,-0.709571,-3.80588,-8.43422
0.12032,-0.19352,-3.80588,-8.43422
0.138257,0.322533,-3.80588,-8.43422
0.0437126,-2.25773,-3.28983,-8.43422
0.0510476,-1.74167,-3.28983,-8.43422
0.0472595,-1.22562,-3.28983,-8.43422
0.0768215,-0.19352,-3.28983,-8.43422
0.110929,0.322533,-3.28983,-8.43422
0.0705485,-2.77378,-2.77378,-8.43422
0.0676523,-2.25773,-2.77378,-8.43422
0.061065,-1.74167,-2.77378,-8.43422
0.0879231,0.322533,-2.77378,-8.43422
0.217179,-5.35404,-2.25773,-8.43422
0.111702,-2.77378,-2.25773,-8.43422
0.0990326,-2.25773,-2.25773,-8.43422
0.0846618,-1.74167,-2.25773,-8.43422
0,0.838584,-2.25773,-8.43422
0.177547,-5.35404,-1.74167,-8.43422
0.139322,-5.35404,-1.22562,-8.43422
0.164356,-4.83799,-1.22562,-8.43422
0.138257,-5.35404,-0.709571,-8.43422
0.168063,-4.83799,-0.709571,-8.43422
0.0613195,-5.35404,-0.19352,-8.43422
0.135298,-4.83799,-0.19352,-8.43422
0.219849,-4.32193,-0.19352,-8.43422
0.0885128,-4.32193,0.322533,-8.43422
0.16119,-3.80588,0.322533,-8.43422
0.142908,-3.28983,0.322533,-8.43422
0,-2.25773,0.838584,-8.43422
0.131496,-1.74167,-5.87009,-7.91817
0.145121,-1.22562,-5.87009,-7.91817
0.134643,-0.709571,-5.87009,-7.91817
0.0644322,-2.25773,-5.35404,-7.91817
0.122398,-1.74167,-5.35404,-7.91817
0.133183,-1.22562,-5.35404,-7.91817
0.144115,-0.709571,-5.35404,-7.91817
0.149467,-0.19352,-5.35404,-7.91817
0.0895404,-1.74167,-4.83799,-7.91817
0.111738,-1.22562,-4.83799,-7.91817
0.136434,-0.709571,-4.83799,-7.91817
0.154601,-0.19352,-4.83799,-7.91817
0.0678292,-1.74167,-4.32193,-7.91817
0.0803641,-1.22562,-4.32193,-7.91817
0.108763,-0.709571,-4.32193,-7.91817
0.139941,-0.19352,-4.32193,-7.91817
0.148685,0.322533,-4.32193,-7.91817
0.0624278,-2.25773,-3.80588,-7.91817
0.0570995,-1.74167,-3.80588,-7.91817
0.0605357,-1.22562,-3.80588,-7.91817
0.0839436,-0.709571,-3.80588,-7.91817
0.112347,-0.19352,-3.80588,-7.91817
0.13468,0.322533,-3.80588,-7.91817
0.0757895,-2.77378,-3.28983,-7.91817
0.0613987,-2.25773,-3.28983,-7.91817
0.048507,-1.74167,-3.28983,-7.91817
0.036672,-1.22562,-3.28983,-7.91817
0.0627197,-0.709571,-3.28983,-7.91817
0.0783353,-0.19352,-3.28983,-7.91817
