Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
-0.0444852,0.354904,-7.90471,-19.7726
-0.0228305,1.38736,-7.90471,-19.7726
-0.0295302,2.41981,-7.90471,-19.7726
0.0312817,6.54961,-7.90471,-19.7726
0.0816616,0.354904,-6.87225,-19.7726
0.066953,1.38736,-6.87225,-19.7726
0.0703902,2.41981,-6.87225,-19.7726
0.143151,6.54961,-6.87225,-19.7726
0.156737,1.38736,-5.8398,-19.7726
0.0334925,5.51716,-8.93716,-18.7401
0.0669077,6.54961,-8.93716,-18.7401
-7.19E-06,0.354904,-7.90471,-18.7401
0.0162943,1.38736,-7.90471,-18.7401
0.048812,2.41981,-7.90471,-18.7401
0.0681606,3.45226,-7.90471,-18.7401
0.0651569,4.48471,-7.90471,-18.7401
0.102357,5.51716,-7.90471,-18.7401
0.15524,6.54961,-7.90471,-18.7401
0.156789,7.58206,-7.90471,-18.7401
0.0900934,0.354904,-6.87225,-18.7401
0.0809089,1.38736,-6.87225,-18.7401
0.0750015,2.41981,-6.87225,-18.7401
0.182394,6.54961,-6.87225,-18.7401
0.190483,7.58206,-6.87225,-18.7401
0.24782,6.54961,-5.8398,-18.7401
0.28274,7.58206,-5.8398,-18.7401
0.291206,6.54961,-4.80735,-18.7401
0.0353462,5.51716,-9.96961,-17.7077
0.0561129,6.54961,-9.96961,-17.7077
0.109482,5.51716,-8.93716,-17.7077
0.148552,6.54961,-8.93716,-17.7077
0.150613,7.58206,-8.93716,-17.7077
0.0218622,0.354904,-7.90471,-17.7077
0.0317779,1.38736,-7.90471,-17.7077
0.0532145,2.41981,-7.90471,-17.7077
0.0635638,3.45226,-7.90471,-17.7077
0.0829511,4.48471,-7.90471,-17.7077
0.125558,5.51716,-7.90471,-17.7077
0.184186,6.54961,-7.90471,-17.7077
0.202022,7.58206,-7.90471,-17.7077
0.0770662,0.354904,-6.87225,-17.7077
0.0727095,1.38736,-6.87225,-17.7077
0.0508591,2.41981,-6.87225,-17.7077
0.00263796,3.45226,-6.87225,-17.7077
0.124645,5.51716,-6.87225,-17.7077
0.194685,6.54961,-6.87225,-17.7077
0.215902,7.58206,-6.87225,-17.7077
0.211505,6.54961,-5.8398,-17.7077
0.237481,7.58206,-5.8398,-17.7077
0.230881,6.54961,-4.80735,-17.7077
0.254804,7.58206,-4.80735,-17.7077
0.231533,6.54961,-3.7749,-17.7077
-0.0853062,5.51716,-11.0021,-16.6752
0.071646,5.51716,-9.96961,-16.6752
0.0932348,6.54961,-9.96961,-16.6752
0.0756015,7.58206,-9.96961,-16.6752
0.0495663,2.41981,-8.93716,-16.6752
0.0857006,4.48471,-8.93716,-16.6752
0.121792,5.51716,-8.93716,-16.6752
0.15612,6.54961,-8.93716,-16.6752
0.155778,7.58206,-8.93716,-16.6752
0.168138,-5.8398,-7.90471,-16.6752
0.0460728,0.354904,-7.90471,-16.6752
0.0434591,1.38736,-7.90471,-16.6752
0.0621904,2.41981,-7.90471,-16.6752
0.0669674,3.45226,-7.90471,-16.6752
0.0874591,4.48471,-7.90471,-16.6752
0.136257,5.51716,-7.90471,-16.6752
0.179388,6.54961,-7.90471,-16.6752
0.190591,7.58206,-7.90471,-16.6752
0.222656,8.61451,-7.90471,-16.6752
0.114136,-5.8398,-6.87225,-16.6752
0.0829814,0.354904,-6.87225,-16.6752
0.0641142,1.38736,-6.87225,-16.6752
0.0398548,2.41981,-6.87225,-16.6752
0.125607,5.51716,-6.87225,-16.6752
0.180571,6.54961,-6.87225,-16.6752
0.195121,7.58206,-6.87225,-16.6752
0.224285,8.61451,-6.87225,-16.6752
0.0730644,-5.8398,-5.8398,-16.6752
0.127203,5.51716,-5.8398,-16.6752
0.186405,6.54961,-5.8398,-16.6752
0.194363,7.58206,-5.8398,-16.6752
0.185831,-5.8398,-4.80735,-16.6752
0.190153,-4.80735,-4.80735,-16.6752
0.184831,6.54961,-4.80735,-16.6752
0.187527,7.58206,-4.80735,-16.6752
0.135788,-4.80735,-3.7749,-16.6752
0.191688,6.54961,-3.7749,-16.6752
0.171957,6.54961,-2.74245,-16.6752
-0.00191178,5.51716,-11.0021,-15.6428
-0.00785162,6.54961,-11.0021,-15.6428
0.0727888,4.48471,-9.96961,-15.6428
0.107596,5.51716,-9.96961,-15.6428
0.122366,6.54961,-9.96961,-15.6428
0.112975,7.58206,-9.96961,-15.6428
0.196706,-5.8398,-8.93716,-15.6428
0.15231,-4.80735,-8.93716,-15.6428
0.0525957,2.41981,-8.93716,-15.6428
0.076451,3.45226,-8.93716,-15.6428
0.0996617,4.48471,-8.93716,-15.6428
0.13515,5.51716,-8.93716,-15.6428
0.162005,6.54961,-8.93716,-15.6428
0.164252,7.58206,-8.93716,-15.6428
0.178843,8.61451,-8.93716,-15.6428
0.237431,-5.8398,-7.90471,-15.6428
-0.0341473,-0.677547,-7.90471,-15.6428
0.0364663,0.354904,-7.90471,-15.6428
0.034322,1.38736,-7.90471,-15.6428
0.0577985,2.41981,-7.90471,-15.6428
0.0728389,3.45226,-7.90471,-15.6428
0.0932435,4.48471,-7.90471,-15.6428
0.139319,5.51716,-7.90471,-15.6428
0.174581,6.54961,-7.90471,-15.6428
0.184761,7.58206,-7.90471,-15.6428
0.225699,8.61451,-7.90471,-15.6428
0.174426,-5.8398,-6.87225,-15.6428
0.00469109,-0.677547,-6.87225,-15.6428
0.0729205,0.354904,-6.87225,-15.6428
0.0569404,1.38736,-6.87225,-15.6428
0.0366386,2.41981,-6.87225,-15.6428
0.121,5.51716,-6.87225,-15.6428
0.167895,6.54961,-6.87225,-15.6428
0.184361,7.58206,-6.87225,-15.6428
0.221583,8.61451,-6.87225,-15.6428
0.170234,-5.8398,-5.8398,-15.6428
0.10802,5.51716,-5.8398,-15.6428
0.162724,6.54961,-5.8398,-15.6428
0.173453,7.58206,-5.8398,-15.6428
0.195749,8.61451,-5.8398,-15.6428
0.206275,-5.8398,-4.80735,-15.6428
0.0948404,-4.80735,-4.80735,-15.6428
0.147966,6.54961,-4.80735,-15.6428
0.154059,7.58206,-4.80735,-15.6428
0.332385,-5.8398,-3.7749,-15.6428
0.197159,-4.80735,-3.7749,-15.6428
0.146681,6.54961,-3.7749,-15.6428
0.152668,7.58206,-3.7749,-15.6428
0.333278,-4.80735,-2.74245,-15.6428
0.156265,6.54961,-2.74245,-15.6428
0.152625,6.54961,-1.71,-15.6428
0.0174513,4.48471,-11.0021,-14.6103
0.0575963,5.51716,-11.0021,-14.6103
0.0587113,6.54961,-11.0021,-14.6103
0.0417776,7.58206,-11.0021,-14.6103
0.023738,8.61451,-11.0021,-14.6103
0.128182,-5.8398,-9.96961,-14.6103
0.169583,-4.80735,-9.96961,-14.6103
0.103166,4.48471,-9.96961,-14.6103
0.130867,5.51716,-9.96961,-14.6103
0.138461,6.54961,-9.96961,-14.6103
0.135862,7.58206,-9.96961,-14.6103
0.13847,8.61451,-9.96961,-14.6103
0.194986,-6.87225,-8.93716,-14.6103
0.187933,-5.8398,-8.93716,-14.6103
0.137618,-4.80735,-8.93716,-14.6103
0.0679571,2.41981,-8.93716,-14.6103
0.0892113,3.45226,-8.93716,-14.6103
0.11231,4.48471,-8.93716,-14.6103
0.141206,5.51716,-8.93716,-14.6103
0.151821,6.54961,-8.93716,-14.6103
0.155858,7.58206,-8.93716,-14.6103
0.170901,8.61451,-8.93716,-14.6103
0.187249,-6.87225,-7.90471,-14.6103
0.187745,-5.8398,-7.90471,-14.6103
-0.00959492,-0.677547,-7.90471,-14.6103
0.0194698,0.354904,-7.90471,-14.6103
0.0359337,1.38736,-7.90471,-14.6103
0.063201,2.41981,-7.90471,-14.6103
0.0709011,3.45226,-7.90471,-14.6103
0.0960843,4.48471,-7.90471,-14.6103
0.13615,5.51716,-7.90471,-14.6103
0.157759,6.54961,-7.90471,-14.6103
0.164856,7.58206,-7.90471,-14.6103
0.18927,8.61451,-7.90471,-14.6103
0.167963,-6.87225,-6.87225,-14.6103
0.140511,-5.8398,-6.87225,-14.6103
0.0328586,-4.80735,-6.87225,-14.6103
-0.000697535,-0.677547,-6.87225,-14.6103
0.0581523,0.354904,-6.87225,-14.6103
0.0725788,1.38736,-6.87225,-14.6103
0.0590653,2.41981,-6.87225,-14.6103
0.129154,5.51716,-6.87225,-14.6103
0.152486,6.54961,-6.87225,-14.6103
0.162801,7.58206,-6.87225,-14.6103
0.189541,8.61451,-6.87225,-14.6103
0.168922,-6.87225,-5.8398,-14.6103
0.132667,-5.8398,-5.8398,-14.6103
0.126551,5.51716,-5.8398,-14.6103
0.142441,6.54961,-5.8398,-14.6103
0.148181,7.58206,-5.8398,-14.6103
0.172343,8.61451,-5.8398,-14.6103
0.183801,-6.87225,-4.80735,-14.6103
0.150327,-5.8398,-4.80735,-14.6103
0.0562473,-4.80735,-4.80735,-14.6103
0.178044,5.51716,-4.80735,-14.6103
0.139712,6.54961,-4.80735,-14.6103
0.145757,7.58206,-4.80735,-14.6103
0.16305,8.61451,-4.80735,-14.6103
0.204026,-5.8398,-3.7749,-14.6103
0.127073,-4.80735,-3.7749,-14.6103
0.172679,5.51716,-3.7749,-14.6103
0.13752,6.54961,-3.7749,-14.6103
0.142592,7.58206,-3.7749,-14.6103
0.355536,-5.8398,-2.74245,-14.6103
0.237196,-4.80735,-2.74245,-14.6103
0.144586,6.54961,-2.74245,-14.6103
0.152929,7.58206,-2.74245,-14.6103
0.310609,-4.80735,-1.71,-14.6103
0.239311,-3.7749,-1.71,-14.6103
0.143512,6.54961,-1.71,-14.6103
0.231698,5.51716,-0.677547,-14.6103
0.0220198,5.51716,-12.0345,-13.5779
0.0276019,6.54961,-12.0345,-13.5779
0.0843998,-4.80735,-11.0021,-13.5779
0.0943936,4.48471,-11.0021,-13.5779
0.112605,5.51716,-11.0021,-13.5779
0.112784,6.54961,-11.0021,-13.5779
0.106301,7.58206,-11.0021,-13.5779
0.0888233,8.61451,-11.0021,-13.5779
0.129715,-6.87225,-9.96961,-13.5779
0.151141,-5.8398,-9.96961,-13.5779
0.148496,-4.80735,-9.96961,-13.5779
0.126789,4.48471,-9.96961,-13.5779
0.13975,5.51716,-9.96961,-13.5779
0.146926,6.54961,-9.96961,-13.5779
0.150894,7.58206,-9.96961,-13.5779
0.156759,8.61451,-9.96961,-13.5779
0.184654,-6.87225,-8.93716,-13.5779
0.173083,-5.8398,-8.93716,-13.5779
0.0759342,2.41981,-8.93716,-13.5779
0.097964,3.45226,-8.93716,-13.5779
0.117048,4.48471,-8.93716,-13.5779
0.132525,5.51716,-8.93716,-13.5779
0.143197,6.54961,-8.93716,-13.5779
0.150186,7.58206,-8.93716,-13.5779
0.16761,8.61451,-8.93716,-13.5779
0.107405,-7.90471,-7.90471,-13.5779
0.173034,-6.87225,-7.90471,-13.5779
0.176051,-5.8398,-7.90471,-13.5779
0.0126833,-0.677547,-7.90471,-13.5779
0.0226822,0.354904,-7.90471,-13.5779
0.0332212,1.38736,-7.90471,-13.5779
0.0487974,2.41981,-7.90471,-13.5779
0.0707952,3.45226,-7.90471,-13.5779
0.0963123,4.48471,-7.90471,-13.5779
0.121537,5.51716,-7.90471,-13.5779
0.143776,6.54961,-7.90471,-13.5779
0.15756,7.58206,-7.90471,-13.5779
0.186135,8.61451,-7.90471,-13.5779
0.156514,-6.87225,-6.87225,-13.5779
0.136912,-5.8398,-6.87225,-13.5779
0.0471922,-4.80735,-6.87225,-13.5779
0.0120059,-0.677547,-6.87225,-13.5779
0.0474839,0.354904,-6.87225,-13.5779
0.0545595,1.38736,-6.87225,-13.5779
0.122983,5.51716,-6.87225,-13.5779
0.142085,6.54961,-6.87225,-13.5779
0.156818,7.58206,-6.87225,-13.5779
0.188046,8.61451,-6.87225,-13.5779
0.150775,-6.87225,-5.8398,-13.5779
0.120042,-5.8398,-5.8398,-13.5779
0.0181968,-4.80735,-5.8398,-13.5779
0.149421,5.51716,-5.8398,-13.5779
0.151485,6.54961,-5.8398,-13.5779
0.158877,7.58206,-5.8398,-13.5779
0.185351,8.61451,-5.8398,-13.5779
0.151744,-6.87225,-4.80735,-13.5779
0.12839,-5.8398,-4.80735,-13.5779
0.05845,-4.80735,-4.80735,-13.5779
0.215532,5.51716,-4.80735,-13.5779
0.171266,6.54961,-4.80735,-13.5779
0.173828,7.58206,-4.80735,-13.5779
0.191775,8.61451,-4.80735,-13.5779
0.164684,-5.8398,-3.7749,-13.5779
0.0861141,-4.80735,-3.7749,-13.5779
0.222858,5.51716,-3.7749,-13.5779
0.178523,6.54961,-3.7749,-13.5779
0.176648,7.58206,-3.7749,-13.5779
0.179902,8.61451,-3.7749,-13.5779
0.226703,-5.8398,-2.74245,-13.5779
0.145389,-4.80735,-2.74245,-13.5779
0.170446,6.54961,-2.74245,-13.5779
0.174404,7.58206,-2.74245,-13.5779
