Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0617382,2.41955,-13.0656,-20.7493
0.0506753,3.45189,-13.0656,-20.7493
0.0559009,2.41955,-12.0332,-20.7493
0.0391795,3.45189,-12.0332,-20.7493
0.0247233,1.38721,-13.0656,-19.717
0.0507479,2.41955,-13.0656,-19.717
0.0560008,3.45189,-13.0656,-19.717
0.0270769,1.38721,-12.0332,-19.717
0.0470346,2.41955,-12.0332,-19.717
0.0777193,3.45189,-12.0332,-19.717
0.0707892,4.48424,-12.0332,-19.717
0.0975,5.51658,-12.0332,-19.717
0.113522,6.54892,-12.0332,-19.717
0.137567,6.54892,-11.0009,-19.717
0.176963,6.54892,-9.96856,-19.717
0.284447,-2.74216,-16.1626,-18.6846
0.429072,-3.77451,-15.1303,-18.6846
0.555053,-2.74216,-15.1303,-18.6846
0.428105,-4.80685,-14.0979,-18.6846
0.562047,-3.77451,-14.0979,-18.6846
0.162111,6.54892,-14.0979,-18.6846
0.215617,7.58127,-14.0979,-18.6846
0.35453,-4.80685,-13.0656,-18.6846
0.0479758,1.38721,-13.0656,-18.6846
0.0775563,2.41955,-13.0656,-18.6846
0.0705254,3.45189,-13.0656,-18.6846
0.0853262,4.48424,-13.0656,-18.6846
0.105755,5.51658,-13.0656,-18.6846
0.152429,6.54892,-13.0656,-18.6846
0.199991,7.58127,-13.0656,-18.6846
0.0675028,1.38721,-12.0332,-18.6846
0.0835009,2.41955,-12.0332,-18.6846
0.0569963,3.45189,-12.0332,-18.6846
0.0841863,4.48424,-12.0332,-18.6846
0.1082,5.51658,-12.0332,-18.6846
0.154635,6.54892,-12.0332,-18.6846
0.195415,7.58127,-12.0332,-18.6846
0.18846,6.54892,-11.0009,-18.6846
0.230931,7.58127,-11.0009,-18.6846
0.272945,6.54892,-9.96856,-18.6846
0.179964,-3.77451,-16.1626,-17.6523
0.253131,-2.74216,-16.1626,-17.6523
0.238764,-4.80685,-15.1303,-17.6523
0.318649,-3.77451,-15.1303,-17.6523
0.381516,-2.74216,-15.1303,-17.6523
0.160691,6.54892,-15.1303,-17.6523
0.21939,7.58127,-15.1303,-17.6523
0.316394,-4.80685,-14.0979,-17.6523
0.374683,-3.77451,-14.0979,-17.6523
0.112665,5.51658,-14.0979,-17.6523
0.154957,6.54892,-14.0979,-17.6523
0.207638,7.58127,-14.0979,-17.6523
0.376249,-4.80685,-13.0656,-17.6523
0.0717203,1.38721,-13.0656,-17.6523
0.0923414,2.41955,-13.0656,-17.6523
0.0767668,3.45189,-13.0656,-17.6523
0.0844697,4.48424,-13.0656,-17.6523
0.102675,5.51658,-13.0656,-17.6523
0.147765,6.54892,-13.0656,-17.6523
0.202845,7.58127,-13.0656,-17.6523
0.219653,8.61361,-13.0656,-17.6523
0.474402,-4.80685,-12.0332,-17.6523
0.0413891,1.38721,-12.0332,-17.6523
0.0660484,2.41955,-12.0332,-17.6523
0.0579057,3.45189,-12.0332,-17.6523
0.0882038,4.48424,-12.0332,-17.6523
0.107527,5.51658,-12.0332,-17.6523
0.151831,6.54892,-12.0332,-17.6523
0.200826,7.58127,-12.0332,-17.6523
0.177422,6.54892,-11.0009,-17.6523
0.226029,7.58127,-11.0009,-17.6523
0.235472,6.54892,-9.96856,-17.6523
0.253847,6.54892,-8.93622,-17.6523
0.128534,-3.77451,-17.195,-16.62
0.146004,-2.74216,-17.195,-16.62
0.121831,-1.70982,-17.195,-16.62
0.173107,-4.80685,-16.1626,-16.62
0.19029,-3.77451,-16.1626,-16.62
0.214354,-2.74216,-16.1626,-16.62
0.202358,-1.70982,-16.1626,-16.62
0.13362,6.54892,-16.1626,-16.62
0.17952,7.58127,-16.1626,-16.62
0.240977,-4.80685,-15.1303,-16.62
0.269176,-3.77451,-15.1303,-16.62
0.264053,-2.74216,-15.1303,-16.62
0.11052,5.51658,-15.1303,-16.62
0.154082,6.54892,-15.1303,-16.62
0.202634,7.58127,-15.1303,-16.62
0.223278,8.61361,-15.1303,-16.62
0.314493,-5.83919,-14.0979,-16.62
0.27276,-4.80685,-14.0979,-16.62
0.306916,-3.77451,-14.0979,-16.62
0.0684778,3.45189,-14.0979,-16.62
0.100998,4.48424,-14.0979,-16.62
0.11016,5.51658,-14.0979,-16.62
0.145286,6.54892,-14.0979,-16.62
0.188909,7.58127,-14.0979,-16.62
0.210475,8.61361,-14.0979,-16.62
0.3095,-4.80685,-13.0656,-16.62
-0.00361024,0.354868,-13.0656,-16.62
0.0696864,1.38721,-13.0656,-16.62
0.0860395,2.41955,-13.0656,-16.62
0.0753464,3.45189,-13.0656,-16.62
0.0849609,4.48424,-13.0656,-16.62
0.0974766,5.51658,-13.0656,-16.62
0.136027,6.54892,-13.0656,-16.62
0.181451,7.58127,-13.0656,-16.62
0.199083,8.61361,-13.0656,-16.62
0.272965,-4.80685,-12.0332,-16.62
0.0455014,1.38721,-12.0332,-16.62
0.0640423,2.41955,-12.0332,-16.62
0.0576078,3.45189,-12.0332,-16.62
0.0911858,4.48424,-12.0332,-16.62
0.105454,5.51658,-12.0332,-16.62
0.144541,6.54892,-12.0332,-16.62
0.183817,7.58127,-12.0332,-16.62
0.191125,8.61361,-12.0332,-16.62
0.229844,-4.80685,-11.0009,-16.62
0.127541,5.51658,-11.0009,-16.62
0.16588,6.54892,-11.0009,-16.62
0.203159,7.58127,-11.0009,-16.62
0.214026,6.54892,-9.96856,-16.62
0.238192,7.58127,-9.96856,-16.62
0.226478,6.54892,-8.93622,-16.62
0.127578,-3.77451,-17.195,-15.5876
0.134054,-2.74216,-17.195,-15.5876
0.108337,-1.70982,-17.195,-15.5876
0.165971,-4.80685,-16.1626,-15.5876
0.175319,-3.77451,-16.1626,-15.5876
0.17914,-2.74216,-16.1626,-15.5876
0.16357,-1.70982,-16.1626,-15.5876
0.156722,6.54892,-16.1626,-15.5876
0.198839,7.58127,-16.1626,-15.5876
0.220978,8.61361,-16.1626,-15.5876
0.232976,-5.83919,-15.1303,-15.5876
0.212634,-4.80685,-15.1303,-15.5876
0.231236,-3.77451,-15.1303,-15.5876
0.117374,5.51658,-15.1303,-15.5876
0.147892,6.54892,-15.1303,-15.5876
0.185534,7.58127,-15.1303,-15.5876
0.214312,8.61361,-15.1303,-15.5876
0.263582,-5.83919,-14.0979,-15.5876
0.227557,-4.80685,-14.0979,-15.5876
0.253702,-3.77451,-14.0979,-15.5876
0.064657,3.45189,-14.0979,-15.5876
0.0903909,4.48424,-14.0979,-15.5876
0.102915,5.51658,-14.0979,-15.5876
0.132649,6.54892,-14.0979,-15.5876
0.168377,7.58127,-14.0979,-15.5876
0.19355,8.61361,-14.0979,-15.5876
0.285299,-5.83919,-13.0656,-15.5876
0.270582,-4.80685,-13.0656,-15.5876
-0.000445729,0.354868,-13.0656,-15.5876
0.0649542,1.38721,-13.0656,-15.5876
0.0724402,2.41955,-13.0656,-15.5876
0.0669814,3.45189,-13.0656,-15.5876
0.0777864,4.48424,-13.0656,-15.5876
0.0899379,5.51658,-13.0656,-15.5876
0.121087,6.54892,-13.0656,-15.5876
0.156769,7.58127,-13.0656,-15.5876
0.177421,8.61361,-13.0656,-15.5876
0.28516,-5.83919,-12.0332,-15.5876
0.244722,-4.80685,-12.0332,-15.5876
0.0613176,1.38721,-12.0332,-15.5876
0.0610541,2.41955,-12.0332,-15.5876
0.0431554,3.45189,-12.0332,-15.5876
0.10103,5.51658,-12.0332,-15.5876
0.132481,6.54892,-12.0332,-15.5876
0.161516,7.58127,-12.0332,-15.5876
0.170736,8.61361,-12.0332,-15.5876
0.215775,-4.80685,-11.0009,-15.5876
0.162574,6.54892,-11.0009,-15.5876
0.188243,7.58127,-11.0009,-15.5876
0.187593,8.61361,-11.0009,-15.5876
0.254426,-4.80685,-9.96856,-15.5876
0.20321,6.54892,-9.96856,-15.5876
0.220027,7.58127,-9.96856,-15.5876
0.198995,6.54892,-8.93622,-15.5876
0.142008,6.54892,-7.90388,-15.5876
0.142957,-4.80685,-17.195,-14.5553
0.138094,-3.77451,-17.195,-14.5553
0.146407,-2.74216,-17.195,-14.5553
0.151612,-1.70982,-17.195,-14.5553
0.179156,-5.83919,-16.1626,-14.5553
0.174569,-4.80685,-16.1626,-14.5553
0.181997,-3.77451,-16.1626,-14.5553
0.182096,-2.74216,-16.1626,-14.5553
0.155333,6.54892,-16.1626,-14.5553
0.192366,7.58127,-16.1626,-14.5553
0.219454,8.61361,-16.1626,-14.5553
0.21437,-5.83919,-15.1303,-14.5553
0.20672,-4.80685,-15.1303,-14.5553
