Specific Ventilation,x,y,z
0,8.60821,-6.86722,-27.1787
0.0362329,8.60821,-5.83553,-27.1787
0.0378584,9.6399,-5.83553,-27.1787
0.0372039,8.60821,-4.80383,-27.1787
0.0485893,9.6399,-4.80383,-27.1787
0.137849,11.7033,-3.77214,-27.1787
0.184595,10.6716,-2.74044,-27.1787
0.199076,11.7033,-2.74044,-27.1787
0.132868,8.60821,-1.70875,-27.1787
0.192414,9.6399,-1.70875,-27.1787
0.240682,10.6716,-1.70875,-27.1787
0.242514,11.7033,-1.70875,-27.1787
0.0104199,7.57652,-0.67705,-27.1787
0.15452,8.60821,-0.67705,-27.1787
0.21396,9.6399,-0.67705,-27.1787
0.0716355,7.57652,-6.86722,-26.147
0.0567024,8.60821,-6.86722,-26.147
0.0440646,8.60821,-5.83553,-26.147
0.0588753,9.6399,-5.83553,-26.147
0.0416571,8.60821,-4.80383,-26.147
0.0590996,9.6399,-4.80383,-26.147
0.0933179,10.6716,-4.80383,-26.147
0.096335,11.7033,-4.80383,-26.147
0.160209,12.735,-4.80383,-26.147
0.13794,10.6716,-3.77214,-26.147
0.1568,11.7033,-3.77214,-26.147
0.182114,12.735,-3.77214,-26.147
0.195535,10.6716,-2.74044,-26.147
0.206248,11.7033,-2.74044,-26.147
0.19828,12.735,-2.74044,-26.147
0.14647,8.60821,-1.70875,-26.147
0.233149,9.6399,-1.70875,-26.147
0.254207,10.6716,-1.70875,-26.147
0.251859,11.7033,-1.70875,-26.147
0.106093,7.57652,-0.67705,-26.147
0.199154,8.60821,-0.67705,-26.147
0.250108,9.6399,-0.67705,-26.147
0.263156,10.6716,-0.67705,-26.147
0.120583,5.51312,-12.0257,-25.1153
0.105581,3.44973,-10.994,-25.1153
0.0291302,4.48143,-10.994,-25.1153
0.0598152,3.44973,-9.96231,-25.1153
0.163282,2.41804,-8.93061,-25.1153
0,1.38634,-6.86722,-25.1153
0.0741964,7.57652,-6.86722,-25.1153
0.0614065,8.60821,-6.86722,-25.1153
0.0492399,8.60821,-5.83553,-25.1153
0.0514426,9.6399,-5.83553,-25.1153
0.0607072,9.6399,-4.80383,-25.1153
0.0842947,10.6716,-4.80383,-25.1153
0.097526,11.7033,-4.80383,-25.1153
0.156755,12.735,-4.80383,-25.1153
0.165204,13.7667,-4.80383,-25.1153
0.0877205,9.6399,-3.77214,-25.1153
0.121228,10.6716,-3.77214,-25.1153
0.144356,11.7033,-3.77214,-25.1153
0.17495,12.735,-3.77214,-25.1153
0.168047,13.7667,-3.77214,-25.1153
0.145227,9.6399,-2.74044,-25.1153
0.171011,10.6716,-2.74044,-25.1153
0.184316,11.7033,-2.74044,-25.1153
0.186458,12.735,-2.74044,-25.1153
0.160266,13.7667,-2.74044,-25.1153
0.173188,8.60821,-1.70875,-25.1153
0.219763,9.6399,-1.70875,-25.1153
0.224471,10.6716,-1.70875,-25.1153
0.216638,11.7033,-1.70875,-25.1153
0.193004,12.735,-1.70875,-25.1153
0.139276,7.57652,-0.67705,-25.1153
0.214964,8.60821,-0.67705,-25.1153
0.247367,9.6399,-0.67705,-25.1153
0.240664,10.6716,-0.67705,-25.1153
0.0758907,6.54482,0.354645,-25.1153
0.156598,7.57652,0.354645,-25.1153
0.209175,8.60821,0.354645,-25.1153
0.161285,4.48143,-12.0257,-24.0836
0.135247,5.51312,-12.0257,-24.0836
0.130597,6.54482,-12.0257,-24.0836
0.168917,3.44973,-10.994,-24.0836
0.100834,4.48143,-10.994,-24.0836
0.0625117,5.51312,-10.994,-24.0836
0.256488,2.41804,-9.96231,-24.0836
0.126651,3.44973,-9.96231,-24.0836
0.218043,2.41804,-8.93061,-24.0836
0.318852,1.38634,-7.89892,-24.0836
0.194247,2.41804,-7.89892,-24.0836
0.275303,1.38634,-6.86722,-24.0836
0.0462317,7.57652,-6.86722,-24.0836
0.0584163,8.60821,-6.86722,-24.0836
0.0495651,9.6399,-6.86722,-24.0836
0.0482187,8.60821,-5.83553,-24.0836
0.0521385,9.6399,-5.83553,-24.0836
0.0718003,10.6716,-5.83553,-24.0836
0.121074,12.735,-5.83553,-24.0836
0.122897,13.7667,-5.83553,-24.0836
0.0617284,9.6399,-4.80383,-24.0836
0.0810906,10.6716,-4.80383,-24.0836
0.10741,11.7033,-4.80383,-24.0836
0.156106,12.735,-4.80383,-24.0836
0.165424,13.7667,-4.80383,-24.0836
0.0774035,9.6399,-3.77214,-24.0836
0.110232,10.6716,-3.77214,-24.0836
0.14009,11.7033,-3.77214,-24.0836
0.172753,12.735,-3.77214,-24.0836
0.169511,13.7667,-3.77214,-24.0836
0.135976,9.6399,-2.74044,-24.0836
0.158705,10.6716,-2.74044,-24.0836
0.174092,11.7033,-2.74044,-24.0836
0.18248,12.735,-2.74044,-24.0836
0.166961,13.7667,-2.74044,-24.0836
0.172318,8.60821,-1.70875,-24.0836
0.206316,9.6399,-1.70875,-24.0836
0.202732,10.6716,-1.70875,-24.0836
0.195988,11.7033,-1.70875,-24.0836
0.187823,12.735,-1.70875,-24.0836
0.168904,13.7667,-1.70875,-24.0836
0.17116,7.57652,-0.67705,-24.0836
0.212216,8.60821,-0.67705,-24.0836
0.230052,9.6399,-0.67705,-24.0836
0.22075,10.6716,-0.67705,-24.0836
0.201919,11.7033,-0.67705,-24.0836
0,5.51312,0.354645,-24.0836
0.121001,6.54482,0.354645,-24.0836
0.160437,7.57652,0.354645,-24.0836
0.193678,8.60821,0.354645,-24.0836
0.204862,9.6399,0.354645,-24.0836
0.17085,4.48143,-13.0574,-23.0519
0.157475,5.51312,-13.0574,-23.0519
0.173574,6.54482,-13.0574,-23.0519
0.193916,3.44973,-12.0257,-23.0519
0.154104,4.48143,-12.0257,-23.0519
0.139658,5.51312,-12.0257,-23.0519
0.160349,6.54482,-12.0257,-23.0519
0.270002,2.41804,-10.994,-23.0519
0.180769,3.44973,-10.994,-23.0519
0.13307,4.48143,-10.994,-23.0519
0.102967,5.51312,-10.994,-23.0519
0.245144,2.41804,-9.96231,-23.0519
0.149035,3.44973,-9.96231,-23.0519
0.0734738,4.48143,-9.96231,-23.0519
0.302892,1.38634,-8.93061,-23.0519
0.227433,2.41804,-8.93061,-23.0519
0.139531,3.44973,-8.93061,-23.0519
0.306842,1.38634,-7.89892,-23.0519
0.190069,2.41804,-7.89892,-23.0519
0.273685,1.38634,-6.86722,-23.0519
0.0320399,7.57652,-6.86722,-23.0519
0.0422801,8.60821,-6.86722,-23.0519
