Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.032315,1.45465,-8.88955,-19.7115
-0.00765093,2.48907,-8.88955,-19.7115
0.121385,6.62675,-8.88955,-19.7115
-0.0368793,1.45465,-7.85513,-19.7115
-0.0805433,2.48907,-7.85513,-19.7115
0.12841,6.62675,-7.85513,-19.7115
0.129452,6.62675,-6.82071,-19.7115
0.147236,5.59233,-9.92397,-18.6771
0.197322,6.62675,-9.92397,-18.6771
0.129842,0.420235,-8.88955,-18.6771
0.0877253,1.45465,-8.88955,-18.6771
0.0664871,2.48907,-8.88955,-18.6771
0.101806,3.52349,-8.88955,-18.6771
0.06858,4.55791,-8.88955,-18.6771
0.138061,5.59233,-8.88955,-18.6771
0.179175,6.62675,-8.88955,-18.6771
0.201753,7.66118,-8.88955,-18.6771
0.186526,0.420235,-7.85513,-18.6771
0.143987,1.45465,-7.85513,-18.6771
0.072476,2.48907,-7.85513,-18.6771
0.124588,5.59233,-7.85513,-18.6771
0.15062,6.62675,-7.85513,-18.6771
0.172311,7.66118,-7.85513,-18.6771
0.135336,6.62675,-6.82071,-18.6771
0.16548,6.62675,-5.78629,-18.6771
0.238683,6.62675,-4.75187,-18.6771
0.141357,5.59233,-10.9584,-17.6427
0.203496,6.62675,-10.9584,-17.6427
0.151842,5.59233,-9.92397,-17.6427
0.203319,6.62675,-9.92397,-17.6427
0.241871,7.66118,-9.92397,-17.6427
0.102437,0.420235,-8.88955,-17.6427
0.074187,1.45465,-8.88955,-17.6427
0.0668908,2.48907,-8.88955,-17.6427
0.0777746,3.52349,-8.88955,-17.6427
0.0856662,4.55791,-8.88955,-17.6427
0.143557,5.59233,-8.88955,-17.6427
0.189041,6.62675,-8.88955,-17.6427
0.218522,7.66118,-8.88955,-17.6427
0.133264,0.420235,-7.85513,-17.6427
0.0906609,1.45465,-7.85513,-17.6427
0.0609365,2.48907,-7.85513,-17.6427
0.0735036,3.52349,-7.85513,-17.6427
0.0616771,4.55791,-7.85513,-17.6427
0.131137,5.59233,-7.85513,-17.6427
0.165044,6.62675,-7.85513,-17.6427
0.188519,7.66118,-7.85513,-17.6427
0.201938,8.6956,-7.85513,-17.6427
0.145408,5.59233,-6.82071,-17.6427
0.162434,6.62675,-6.82071,-17.6427
0.170654,7.66118,-6.82071,-17.6427
0.199628,5.59233,-5.78629,-17.6427
0.180492,6.62675,-5.78629,-17.6427
0.196827,7.66118,-5.78629,-17.6427
0.208822,5.59233,-4.75187,-17.6427
0.232034,6.62675,-4.75187,-17.6427
0.21536,5.59233,-3.71745,-17.6427
0.0445025,5.59233,-11.9928,-16.6083
0.0915445,6.62675,-11.9928,-16.6083
0.160493,5.59233,-10.9584,-16.6083
0.213974,6.62675,-10.9584,-16.6083
0.212607,7.66118,-10.9584,-16.6083
0.0947599,2.48907,-9.92397,-16.6083
0.114832,4.55791,-9.92397,-16.6083
0.152488,5.59233,-9.92397,-16.6083
0.19835,6.62675,-9.92397,-16.6083
0.215937,7.66118,-9.92397,-16.6083
0.201852,8.6956,-9.92397,-16.6083
0.0834371,0.420235,-8.88955,-16.6083
0.077264,1.45465,-8.88955,-16.6083
0.0681341,2.48907,-8.88955,-16.6083
0.0688724,3.52349,-8.88955,-16.6083
0.093808,4.55791,-8.88955,-16.6083
0.133547,5.59233,-8.88955,-16.6083
0.178725,6.62675,-8.88955,-16.6083
0.194308,7.66118,-8.88955,-16.6083
0.179196,8.6956,-8.88955,-16.6083
0.0761213,0.420235,-7.85513,-16.6083
0.0684893,1.45465,-7.85513,-16.6083
0.044955,2.48907,-7.85513,-16.6083
0.0660552,3.52349,-7.85513,-16.6083
0.0790398,4.55791,-7.85513,-16.6083
0.126269,5.59233,-7.85513,-16.6083
0.165496,6.62675,-7.85513,-16.6083
0.179839,7.66118,-7.85513,-16.6083
0.17429,8.6956,-7.85513,-16.6083
0.147835,5.59233,-6.82071,-16.6083
0.170603,6.62675,-6.82071,-16.6083
0.172254,7.66118,-6.82071,-16.6083
0.155093,8.6956,-6.82071,-16.6083
0.203616,5.59233,-5.78629,-16.6083
0.194092,6.62675,-5.78629,-16.6083
0.204223,7.66118,-5.78629,-16.6083
0.194546,5.59233,-4.75187,-16.6083
0.228457,6.62675,-4.75187,-16.6083
0.213851,5.59233,-3.71745,-16.6083
0.319172,6.62675,-3.71745,-16.6083
0.196492,5.59233,-2.68303,-16.6083
0.111583,5.59233,-11.9928,-15.5739
0.122971,6.62675,-11.9928,-15.5739
0.0836767,7.66118,-11.9928,-15.5739
0.111393,4.55791,-10.9584,-15.5739
0.152319,5.59233,-10.9584,-15.5739
0.188825,6.62675,-10.9584,-15.5739
0.199524,7.66118,-10.9584,-15.5739
0.18837,8.6956,-10.9584,-15.5739
0.0620166,2.48907,-9.92397,-15.5739
0.0751851,3.52349,-9.92397,-15.5739
0.105182,4.55791,-9.92397,-15.5739
0.140747,5.59233,-9.92397,-15.5739
0.174433,6.62675,-9.92397,-15.5739
0.194208,7.66118,-9.92397,-15.5739
0.196517,8.6956,-9.92397,-15.5739
0.033981,0.420235,-8.88955,-15.5739
0.0484511,1.45465,-8.88955,-15.5739
0.046767,2.48907,-8.88955,-15.5739
0.0552019,3.52349,-8.88955,-15.5739
0.0810674,4.55791,-8.88955,-15.5739
0.118506,5.59233,-8.88955,-15.5739
0.155753,6.62675,-8.88955,-15.5739
0.173483,7.66118,-8.88955,-15.5739
0.171281,8.6956,-8.88955,-15.5739
0.0306272,-0.614185,-7.85513,-15.5739
0.0431636,0.420235,-7.85513,-15.5739
0.0571848,1.45465,-7.85513,-15.5739
0.0341592,2.48907,-7.85513,-15.5739
0.0740051,4.55791,-7.85513,-15.5739
