Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
-0.0794204,5.62228,-8.85348,-17.3842
-0.0940834,6.65626,-8.85348,-17.3842
-0.00353434,-0.581617,-7.8195,-17.3842
-0.000129084,0.452368,-7.8195,-17.3842
0.047369,1.48635,-7.8195,-17.3842
-0.0885649,5.62228,-7.8195,-17.3842
-0.119866,6.65626,-7.8195,-17.3842
-0.0133253,-0.581617,-6.78551,-17.3842
0.00317942,0.452368,-6.78551,-17.3842
0.00736143,1.48635,-6.78551,-17.3842
-0.114786,5.62228,-6.78551,-17.3842
-0.170268,6.65626,-6.78551,-17.3842
0.0227749,0.452368,-5.75153,-17.3842
-0.0495493,5.62228,-5.75153,-17.3842
-0.0844282,6.65626,-5.75153,-17.3842
0.0446447,5.62228,-4.71755,-17.3842
0.0888047,5.62228,-3.68357,-17.3842
-0.0697215,-6.78551,-9.88746,-16.3502
0.0260911,4.5883,-9.88746,-16.3502
0.0429541,5.62228,-9.88746,-16.3502
0.0300967,6.65626,-9.88746,-16.3502
-0.130445,-7.8195,-8.85348,-16.3502
-0.0891256,-6.78551,-8.85348,-16.3502
0.0802318,4.5883,-8.85348,-16.3502
0.0866116,5.62228,-8.85348,-16.3502
0.0857815,6.65626,-8.85348,-16.3502
-0.148052,-7.8195,-7.8195,-16.3502
-0.0408418,-1.6156,-7.8195,-16.3502
-0.00367175,-0.581617,-7.8195,-16.3502
0.0204243,0.452368,-7.8195,-16.3502
0.0410189,1.48635,-7.8195,-16.3502
0.070269,4.5883,-7.8195,-16.3502
0.0988865,5.62228,-7.8195,-16.3502
0.0975313,6.65626,-7.8195,-16.3502
0.111692,7.69024,-7.8195,-16.3502
-0.0472525,-7.8195,-6.78551,-16.3502
-0.0136176,-0.581617,-6.78551,-16.3502
0.00974378,0.452368,-6.78551,-16.3502
0.0198375,1.48635,-6.78551,-16.3502
0.0678083,4.5883,-6.78551,-16.3502
0.0828778,5.62228,-6.78551,-16.3502
0.0793207,6.65626,-6.78551,-16.3502
0.0908415,7.69024,-6.78551,-16.3502
0.105314,5.62228,-5.75153,-16.3502
0.103437,6.65626,-5.75153,-16.3502
0.136646,4.5883,-4.71755,-16.3502
0.163363,5.62228,-4.71755,-16.3502
0.162529,6.65626,-4.71755,-16.3502
0.107835,4.5883,-3.68357,-16.3502
0.16343,5.62228,-3.68357,-16.3502
0.0310638,4.5883,-2.64958,-16.3502
0.19135,5.62228,-2.64958,-16.3502
-0.0898626,4.5883,-1.6156,-16.3502
-0.00548476,-6.78551,-10.9214,-15.3162
