Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.270929,6.47744,-7.60941,-18.6643
-0.0357217,1.44642,-6.60321,-18.6643
0.000464704,2.45262,-6.60321,-18.6643
0.180083,6.47744,-6.60321,-18.6643
0.0583068,0.440216,-5.59701,-18.6643
-0.0139622,1.44642,-5.59701,-18.6643
-0.00749904,2.45262,-5.59701,-18.6643
0.13595,6.47744,-5.59701,-18.6643
0.0592713,7.48364,-5.59701,-18.6643
0.0643168,0.440216,-4.5908,-18.6643
0.00779734,1.44642,-4.5908,-18.6643
-0.00395427,2.45262,-4.5908,-18.6643
0.106849,6.47744,-4.5908,-18.6643
0.0859002,6.47744,-3.5846,-18.6643
-0.0444126,6.47744,-2.5784,-18.6643
0.293619,5.47123,-8.61562,-17.6581
0.269332,6.47744,-8.61562,-17.6581
0.158978,5.47123,-7.60941,-17.6581
0.187717,6.47744,-7.60941,-17.6581
0.179617,7.48364,-7.60941,-17.6581
0.00110227,1.44642,-6.60321,-17.6581
-0.0254599,2.45262,-6.60321,-17.6581
0.0817965,4.46503,-6.60321,-17.6581
0.147319,5.47123,-6.60321,-17.6581
0.183067,6.47744,-6.60321,-17.6581
0.179263,7.48364,-6.60321,-17.6581
0.000443742,0.440216,-5.59701,-17.6581
-0.00393669,1.44642,-5.59701,-17.6581
-0.0138488,2.45262,-5.59701,-17.6581
0.00746219,3.45882,-5.59701,-17.6581
0.0541119,4.46503,-5.59701,-17.6581
0.13758,5.47123,-5.59701,-17.6581
0.172116,6.47744,-5.59701,-17.6581
0.173903,7.48364,-5.59701,-17.6581
-0.00336218,0.440216,-4.5908,-17.6581
-0.00897557,1.44642,-4.5908,-17.6581
0.164915,5.47123,-4.5908,-17.6581
0.190407,6.47744,-4.5908,-17.6581
0.197644,7.48364,-4.5908,-17.6581
0.215291,6.47744,-3.5846,-17.6581
0.235833,7.48364,-3.5846,-17.6581
0.242419,6.47744,-2.5784,-17.6581
0.0653875,5.47123,-1.57219,-17.6581
0.203363,6.47744,-1.57219,-17.6581
0.0692057,4.46503,-8.61562,-16.6519
0.117518,5.47123,-8.61562,-16.6519
0.128461,6.47744,-8.61562,-16.6519
0.12041,-5.59701,-7.60941,-16.6519
0.0701375,4.46503,-7.60941,-16.6519
0.0973067,5.47123,-7.60941,-16.6519
0.134053,6.47744,-7.60941,-16.6519
0.143323,7.48364,-7.60941,-16.6519
0.230129,-6.60321,-6.60321,-16.6519
0.0964723,-5.59701,-6.60321,-16.6519
0.00925171,1.44642,-6.60321,-16.6519
0.00741246,2.45262,-6.60321,-16.6519
0.027521,3.45882,-6.60321,-16.6519
0.0618078,4.46503,-6.60321,-16.6519
0.0940388,5.47123,-6.60321,-16.6519
0.133553,6.47744,-6.60321,-16.6519
0.148035,7.48364,-6.60321,-16.6519
0.148596,8.48985,-6.60321,-16.6519
0.196801,-6.60321,-5.59701,-16.6519
0.0569798,-5.59701,-5.59701,-16.6519
0.00556884,-0.565989,-5.59701,-16.6519
0.0195193,0.440216,-5.59701,-16.6519
0.0134335,1.44642,-5.59701,-16.6519
0.00861679,2.45262,-5.59701,-16.6519
0.0254697,3.45882,-5.59701,-16.6519
0.0449294,4.46503,-5.59701,-16.6519
0.08639,5.47123,-5.59701,-16.6519
0.129483,6.47744,-5.59701,-16.6519
0.146769,7.48364,-5.59701,-16.6519
0.109832,-6.60321,-4.5908,-16.6519
0.0202027,0.440216,-4.5908,-16.6519
0.1256,5.47123,-4.5908,-16.6519
0.154261,6.47744,-4.5908,-16.6519
0.167784,7.48364,-4.5908,-16.6519
0.21171,-6.60321,-3.5846,-16.6519
0.161294,5.47123,-3.5846,-16.6519
0.175596,6.47744,-3.5846,-16.6519
0.18655,7.48364,-3.5846,-16.6519
0.158433,5.47123,-2.5784,-16.6519
0.199537,6.47744,-2.5784,-16.6519
0.232036,7.48364,-2.5784,-16.6519
0.142936,5.47123,-1.57219,-16.6519
0.225404,6.47744,-1.57219,-16.6519
0.180846,6.47744,-0.565989,-16.6519
0.0920468,5.47123,-9.62182,-15.6457
0.0513403,6.47744,-9.62182,-15.6457
0.0902495,4.46503,-8.61562,-15.6457
0.118877,5.47123,-8.61562,-15.6457
0.127205,6.47744,-8.61562,-15.6457
0.103953,7.48364,-8.61562,-15.6457
0.152664,-6.60321,-7.60941,-15.6457
0.0909709,-5.59701,-7.60941,-15.6457
0.0803799,4.46503,-7.60941,-15.6457
0.101404,5.47123,-7.60941,-15.6457
0.127107,6.47744,-7.60941,-15.6457
0.128013,7.48364,-7.60941,-15.6457
0.102308,8.48985,-7.60941,-15.6457
0.130974,-6.60321,-6.60321,-15.6457
