Specific Ventilation,x,y,z
0.0506573,-10.8855,-0.54912,-25.1627
0.0531436,-6.75096,2.5518,-25.1627
-0.0287273,-7.7846,3.58544,-25.1627
0.00839364,-6.75096,3.58544,-25.1627
0.033835,-5.71732,3.58544,-25.1627
-0.0491952,-6.75096,4.61908,-25.1627
-0.0237538,-5.71732,4.61908,-25.1627
0.4824,-8.81824,-2.6164,-24.129
0.218504,-10.8855,-1.58276,-24.129
0.251707,-9.85187,-1.58276,-24.129
0.140088,-11.9192,-0.54912,-24.129
0.161118,-10.8855,-0.54912,-24.129
0.197122,-9.85187,-0.54912,-24.129
0.0804634,-11.9192,0.484522,-24.129
0.0782143,-10.8855,0.484522,-24.129
0.0202006,-10.8855,1.51816,-24.129
0.081025,-6.75096,2.5518,-24.129
0.0154116,-7.7846,3.58544,-24.129
0.0364171,-6.75096,3.58544,-24.129
0.0522346,-5.71732,3.58544,-24.129
-0.0128219,-6.75096,4.61908,-24.129
0.00299549,-5.71732,4.61908,-24.129
0.0223979,-4.68368,4.61908,-24.129
-0.0567054,-5.71732,5.65272,-24.129
0.465055,-7.7846,-3.65004,-23.0954
0.586419,-6.75096,-3.65004,-23.0954
0.283451,-9.85187,-2.6164,-23.0954
0.265287,-8.81824,-2.6164,-23.0954
0.271048,-7.7846,-2.6164,-23.0954
0.151496,-11.9192,-1.58276,-23.0954
0.194127,-10.8855,-1.58276,-23.0954
0.185323,-9.85187,-1.58276,-23.0954
0.212478,-8.81824,-1.58276,-23.0954
0.12881,-11.9192,-0.54912,-23.0954
0.142671,-10.8855,-0.54912,-23.0954
0.126802,-9.85187,-0.54912,-23.0954
0.114387,-12.9528,0.484522,-23.0954
0.111054,-11.9192,0.484522,-23.0954
0.114549,-10.8855,0.484522,-23.0954
0.0950615,-11.9192,1.51816,-23.0954
0.100662,-10.8855,1.51816,-23.0954
0.00451377,-11.9192,2.5518,-23.0954
0.0692242,-6.75096,2.5518,-23.0954
0.00612696,-7.7846,3.58544,-23.0954
0.0336445,-6.75096,3.58544,-23.0954
0.0520636,-5.71732,3.58544,-23.0954
-0.00932059,-6.75096,4.61908,-23.0954
0.00909858,-5.71732,4.61908,-23.0954
0.0206827,-4.68368,4.61908,-23.0954
-0.0435782,-5.71732,5.65272,-23.0954
0.124811,0.484522,8.75364,-23.0954
0.0792696,-0.54912,9.78728,-23.0954
0.331108,-6.75096,-4.68368,-22.0617
0.272127,-8.81824,-3.65004,-22.0617
0.270864,-7.7846,-3.65004,-22.0617
0.22806,-6.75096,-3.65004,-22.0617
0.210037,-10.8855,-2.6164,-22.0617
0.213671,-9.85187,-2.6164,-22.0617
0.196621,-8.81824,-2.6164,-22.0617
0.146282,-7.7846,-2.6164,-22.0617
0.155298,-11.9192,-1.58276,-22.0617
0.177075,-10.8855,-1.58276,-22.0617
0.171734,-9.85187,-1.58276,-22.0617
0.171282,-8.81824,-1.58276,-22.0617
0.131053,-12.9528,-0.54912,-22.0617
0.131285,-11.9192,-0.54912,-22.0617
0.138108,-10.8855,-0.54912,-22.0617
0.124758,-9.85187,-0.54912,-22.0617
0.0848264,-12.9528,0.484522,-22.0617
0.107993,-11.9192,0.484522,-22.0617
0.125516,-10.8855,0.484522,-22.0617
0.0744508,-12.9528,1.51816,-22.0617
0.104068,-11.9192,1.51816,-22.0617
0.108726,-10.8855,1.51816,-22.0617
0.0356565,-12.9528,2.5518,-22.0617
0.0504035,-11.9192,2.5518,-22.0617
0.039419,-10.8855,2.5518,-22.0617
0.0293488,-7.7846,3.58544,-22.0617
0.0317308,-6.75096,3.58544,-22.0617
0.0426872,-5.71732,3.58544,-22.0617
0.0117169,-6.75096,4.61908,-22.0617
0.0184894,-5.71732,4.61908,-22.0617
0.0242007,-4.68368,4.61908,-22.0617
-0.0140787,-5.71732,5.65272,-22.0617
0.409384,2.5518,6.68636,-22.0617
0.0963526,1.51816,7.72,-22.0617
0.214285,0.484522,8.75364,-22.0617
0.29536,-1.58276,9.78728,-22.0617
0.328936,-0.54912,9.78728,-22.0617
0.243545,0.484522,9.78728,-22.0617
0.283484,-2.6164,10.8209,-22.0617
0.192848,-1.58276,10.8209,-22.0617
0.319299,-7.7846,-4.68368,-21.0281
0.339829,-6.75096,-4.68368,-21.0281
0.239887,-9.85187,-3.65004,-21.0281
0.230192,-8.81824,-3.65004,-21.0281
0.237014,-7.7846,-3.65004,-21.0281
0.145318,-11.9192,-2.6164,-21.0281
0.1597,-10.8855,-2.6164,-21.0281
0.176687,-9.85187,-2.6164,-21.0281
0.169293,-8.81824,-2.6164,-21.0281
0.164127,-7.7846,-2.6164,-21.0281
0.127688,-11.9192,-1.58276,-21.0281
0.14489,-10.8855,-1.58276,-21.0281
0.146367,-9.85187,-1.58276,-21.0281
0.144201,-8.81824,-1.58276,-21.0281
0.100468,-12.9528,-0.54912,-21.0281
0.109455,-11.9192,-0.54912,-21.0281
0.118193,-10.8855,-0.54912,-21.0281
0.106027,-9.85187,-0.54912,-21.0281
0.0566117,-12.9528,0.484522,-21.0281
0.0904487,-11.9192,0.484522,-21.0281
0.110066,-10.8855,0.484522,-21.0281
0.0628908,-12.9528,1.51816,-21.0281
0.0906326,-11.9192,1.51816,-21.0281
0.0881355,-10.8855,1.51816,-21.0281
0.0570169,-12.9528,2.5518,-21.0281
0.0801106,-11.9192,2.5518,-21.0281
0.0577562,-10.8855,2.5518,-21.0281
0.0583719,-11.9192,3.58544,-21.0281
0.0450264,-10.8855,3.58544,-21.0281
-0.0133281,-7.7846,3.58544,-21.0281
0.0122111,-6.75096,3.58544,-21.0281
0.028996,-5.71732,3.58544,-21.0281
0.00354873,-6.75096,4.61908,-21.0281
0.0153615,-5.71732,4.61908,-21.0281
0.024492,-4.68368,4.61908,-21.0281
-0.00201113,-5.71732,5.65272,-21.0281
0.0814966,2.5518,6.68636,-21.0281
0.171305,1.51816,7.72,-21.0281
-0.0533022,2.5518,7.72,-21.0281
0.288449,-0.54912,8.75364,-21.0281
0.202698,0.484522,8.75364,-21.0281
