ScanName,DatePrepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Genotype,BatchType,Sex,Weight,Age
4627,2023-08-09-01:40:46.817952,16.7,0.119,1.207,51.44,21.59,32.3,WT,21,M,561,113
3549,2021-10-11-03:51:30.887225,14.8,0.17,0.119,49.33,19.63,41.12,WT,7,N/A,-1,-1
3557,2021-10-14-19:08:05.562148,18.2,0.18,0.114,52.73,17.75,40.79,KO,7,N/A,-1,-1
4322,2023-05-12-01:45:19.221067,13.7,0.151,1.304,43.21,17.45,31.62,WT,7,N/A,-1,-1
4580,2023-08-09-01:41:43.754457,15.1,0.2,1.199,43.52,19.3,32.13,WT,21,F,292,138
4637,2023-08-09-01:42:40.415477,13.4,0.2,1.325,41.6,17.04,28.0,KO,7,F,210,93
4283,2023-08-09-01:43:04.222036,15.9,0.162,1.205,49.02,17.84,39.38,WT,14,M,392,97
4626,2023-06-13-10:49:59.977927,15.1,0.128,1.28,45.73,19.36,27.74,WT,21,M,546,113
3972,2022-06-30-21:11:48.584130,14.2,0.17,0.142,41.54,20.26,29.21,WT,21,F,257,107
3720,2021-12-02-23:02:46.716411,19.0,0.16,0.137,52.99,21.65,40.37,WT,14,F,284,93
3558,2021-10-09-05:28:32.269461,16.7,0.17,0.118,50.41,17.5,35.85,KO,7,N/A,-1,-1
3951,2022-07-13-00:46:27.367299,12.8,0.1,0.091,41.72,16.78,31.38,WT,7,N/A,-1,-1
4616,2023-06-13-10:19:34.018869,13.7,0.134,1.329,42.96,15.86,31.17,KO,21,M,414,122
3555,2021-10-10-03:30:08.670565,13.7,0.17,0.117,45.4,18.46,34.68,KO,7,N/A,-1,-1
3710,2021-11-29-01:40:54.174145,12.6,0.2,0.132,41.34,18.07,28.73,CF,14,F,219,96
4630,2023-06-29-05:34:45.345602,17.7,0.177,1.22,50.73,24.44,32.9,CF,21,F,264,113
3964,2022-07-31-13:03:08.407351,14.4,0.14,0.139,43.57,19.73,31.67,CF,21,M,435,108
3546,2021-10-16-02:04:35.884082,14.5,0.18,0.117,46.77,19.23,36.75,WT,7,N/A,-1,-1
4004,2022-07-12-21:27:37.921070,13.4,0.11,0.089,42.56,18.93,24.97,CF,7,N/A,-1,-1
4581,2023-08-09-01:43:33.623903,13.3,0.177,1.283,37.7,17.32,24.76,KO,21,F,262,138
3699,2021-12-01-02:28:21.266301,18.3,0.15,0.127,52.87,23.13,38.64,KO,14,M,337,96
4661,2023-05-15-04:31:54.311264,13.5,0.209,1.162,41.5,17.29,31.9,KO,7,F,203,86
4662,2023-08-09-01:41:43.119608,15.3,0.195,1.179,44.62,19.94,32.79,KO,7,F,213,86
3961,2022-07-01-20:08:20.313785,20.3,0.18,0.127,61.03,20.42,49.87,WT,21,F,264,109
4268,2023-05-12-02:01:50.390390,17.7,0.139,1.32,51.18,21.9,38.67,WT,14,M,481,98
3566,2021-10-09-03:03:54.561825,16.1,0.12,0.134,47.1,20.45,29.7,CF,7,N/A,-1,-1
S54,2023-05-15-04:30:25.161836,11.0,0.123,1.265,40.82,15.98,32.78,WT,7,M,474,87
4286,2023-02-28-19:34:36.799069,14.7,0.16,1.015,43.32,20.66,32.62,WT,14,M,415,97
4388,2023-02-27-19:47:55.315921,11.8,0.18,1.082,40.05,18.98,25.61,CF,7,F,222,77
3705,2021-11-20-00:04:45.281092,18.5,0.19,0.116,54.63,20.12,42.05,KO,-1,F,216,96
4326,2023-05-12-02:06:55.291720,15.2,0.155,1.248,46.57,18.56,33.36,WT,7,M,352,77
3719,2021-11-29-01:42:42.214357,19.8,0.17,0.13,55.57,25.4,37.11,WT,14,F,252,93
