Specific Ventilation,x,y,z
0.0484844,-0.710422,-5.36045,-4.82763
0.193063,-2.26043,-4.32711,-4.82763
0.153502,-1.74376,-4.32711,-4.82763
0.229601,-2.7771,-3.81044,-4.82763
0.180554,-2.26043,-3.81044,-4.82763
0.131508,-1.74376,-3.81044,-4.82763
0.150767,-2.7771,-3.29377,-4.82763
0.101721,-2.26043,-3.29377,-4.82763
0.0667475,-1.22709,-5.87712,-4.31096
0.0596968,-0.710422,-5.87712,-4.31096
0.0648487,-1.22709,-5.36045,-4.31096
0.0496146,-0.710422,-5.36045,-4.31096
0.0528503,-0.193752,-5.36045,-4.31096
0.125856,-0.193752,-4.84378,-4.31096
0.0941003,-2.26043,-4.32711,-4.31096
0.096168,-1.74376,-4.32711,-4.31096
0.157929,-2.7771,-3.81044,-4.31096
0.106082,-2.26043,-3.81044,-4.31096
0.0542356,-1.74376,-3.81044,-4.31096
0.0952452,-2.7771,-3.29377,-4.31096
0.0379182,-1.22709,-6.39379,-3.79429
0.0431115,-0.710422,-6.39379,-3.79429
0.0325903,-1.74376,-5.87712,-3.79429
0.0427311,-1.22709,-5.87712,-3.79429
0.0518128,-0.710422,-5.87712,-3.79429
0.0586085,-0.193752,-5.87712,-3.79429
0.0366187,-1.22709,-5.36045,-3.79429
0.0407175,-0.710422,-5.36045,-3.79429
0.0580618,-0.193752,-5.36045,-3.79429
0.0891786,-0.193752,-4.84378,-3.79429
0.129676,0.322917,-4.84378,-3.79429
0.0664434,-2.26043,-4.32711,-3.79429
0.0645731,-1.74376,-4.32711,-3.79429
0.102669,-2.7771,-3.81044,-3.79429
0.0865627,-2.26043,-3.81044,-3.79429
0.0756416,-1.74376,-3.81044,-3.79429
0.0912973,-2.7771,-3.29377,-3.79429
0.0393709,-2.26043,-3.29377,-3.79429
0.269379,-4.84378,-1.74376,-3.79429
0.172103,-4.84378,-1.22709,-3.79429
0.385497,-4.32711,-1.22709,-3.79429
0.284233,-3.81044,-0.710422,-3.79429
0.0313523,-2.26043,-6.39379,-3.27762
0.0297461,-1.74376,-6.39379,-3.27762
0.0270669,-1.22709,-6.39379,-3.27762
0.0374987,-0.710422,-6.39379,-3.27762
0.0499867,-0.193752,-6.39379,-3.27762
0.0196904,-1.74376,-5.87712,-3.27762
0.0232986,-1.22709,-5.87712,-3.27762
0.0388561,-0.710422,-5.87712,-3.27762
0.0575438,-0.193752,-5.87712,-3.27762
0.0272652,-1.74376,-5.36045,-3.27762
0.0223766,-1.22709,-5.36045,-3.27762
0.0388242,-0.710422,-5.36045,-3.27762
0.0667711,-0.193752,-5.36045,-3.27762
0.0979761,0.322917,-5.36045,-3.27762
0.0848486,-0.193752,-4.84378,-3.27762
0.105344,0.322917,-4.84378,-3.27762
0.0612498,-2.26043,-4.32711,-3.27762
0.0397396,-1.74376,-4.32711,-3.27762
0.122714,0.322917,-4.32711,-3.27762
0.0604494,0.839587,-4.32711,-3.27762
0.116789,-2.7771,-3.81044,-3.27762
0.0695218,-2.26043,-3.81044,-3.27762
0.118782,0.839587,-3.81044,-3.27762
0.105275,-2.7771,-3.29377,-3.27762
0.0503618,-2.26043,-3.29377,-3.27762
0.313226,-5.36045,-2.26043,-3.27762
0.381528,-4.84378,-2.26043,-3.27762
0.264436,-5.36045,-1.74376,-3.27762
0.310162,-4.84378,-1.74376,-3.27762
0.342412,-4.84378,-1.22709,-3.27762
0.304111,-4.32711,-1.22709,-3.27762
