Specific Ventilation,x,y,z
0.271668,-0.209668,-4.85463,-11.0157
0.216481,-0.209668,-4.33852,-11.0157
0.231394,0.306438,-4.33852,-11.0157
-0.027718,-2.2741,-3.82242,-11.0157
0.00717083,-1.75799,-3.82242,-11.0157
0.152417,0.306438,-3.82242,-11.0157
0,-2.2741,-3.30631,-11.0157
0.00474397,-1.75799,-3.30631,-11.0157
0.104103,0.822545,-3.30631,-11.0157
0,-2.2741,-2.7902,-11.0157
0,0.822545,-2.7902,-11.0157
0.0848103,-1.24188,-5.37074,-10.4995
0.132677,-0.725776,-5.37074,-10.4995
0.171789,-0.209668,-5.37074,-10.4995
0.148144,-0.725776,-4.85463,-10.4995
0.211755,-0.209668,-4.85463,-10.4995
0.31113,0.306438,-4.85463,-10.4995
0.00786617,-1.24188,-4.33852,-10.4995
0.151664,-0.209668,-4.33852,-10.4995
0.239896,0.306438,-4.33852,-10.4995
0.294064,0.822545,-4.33852,-10.4995
-6.31E-05,-2.2741,-3.82242,-10.4995
0.0331046,-1.75799,-3.82242,-10.4995
0.166728,0.306438,-3.82242,-10.4995
0.208738,0.822545,-3.82242,-10.4995
0.0152829,-2.2741,-3.30631,-10.4995
0.0302078,-1.75799,-3.30631,-10.4995
0.224201,0.822545,-3.30631,-10.4995
0.0399721,-2.2741,-2.7902,-10.4995
0.266709,0.822545,-2.7902,-10.4995
0.146064,1.33865,-2.7902,-10.4995
0.18503,1.33865,-2.2741,-10.4995
0.160488,-1.24188,-5.88684,-9.98344
0.161302,-0.725776,-5.88684,-9.98344
0.098508,-1.24188,-5.37074,-9.98344
0.140529,-0.725776,-5.37074,-9.98344
0.160372,-0.209668,-5.37074,-9.98344
0.0595045,-1.24188,-4.85463,-9.98344
0.108566,-0.725776,-4.85463,-9.98344
0.156328,-0.209668,-4.85463,-9.98344
0.184376,0.306438,-4.85463,-9.98344
0.0185124,-1.75799,-4.33852,-9.98344
0.016906,-1.24188,-4.33852,-9.98344
0.0657366,-0.725776,-4.33852,-9.98344
0.131503,-0.209668,-4.33852,-9.98344
0.171136,0.306438,-4.33852,-9.98344
0.124065,0.822545,-4.33852,-9.98344
-0.00439792,-2.2741,-3.82242,-9.98344
0.0279575,-1.75799,-3.82242,-9.98344
