Specific Ventilation,x,y,z
0,-4.3267,-5.35994,-8.96014
0,-3.81008,-5.35994,-8.96014
0,-1.7436,-5.35994,-8.96014
0,-4.3267,-4.84332,-8.96014
0,-3.81008,-4.84332,-8.96014
0.10898,-3.29346,-6.9098,-8.44352
0.231566,-2.77684,-6.9098,-8.44352
0.127452,-2.77684,-6.39318,-8.44352
0.170364,-2.26022,-6.39318,-8.44352
0.170287,-2.26022,-5.87656,-8.44352
0.216463,-1.7436,-5.87656,-8.44352
0.0319773,-4.3267,-5.35994,-8.44352
0.0514225,-3.81008,-5.35994,-8.44352
0.221149,-1.7436,-5.35994,-8.44352
0.0711892,-4.3267,-4.84332,-8.44352
0.0795874,-3.81008,-4.84332,-8.44352
0,-1.22697,-4.3267,-8.44352
0.198149,-3.81008,-7.42642,-7.9269
0.228534,-3.29346,-7.42642,-7.9269
0.264562,-2.77684,-7.42642,-7.9269
0.0934953,-3.81008,-6.9098,-7.9269
0.17813,-3.29346,-6.9098,-7.9269
0.24124,-2.77684,-6.9098,-7.9269
0.279741,-2.26022,-6.9098,-7.9269
0.111093,-3.29346,-6.39318,-7.9269
0.152657,-2.77684,-6.39318,-7.9269
0.220635,-2.26022,-6.39318,-7.9269
0.2259,-1.7436,-6.39318,-7.9269
0.0538145,-3.81008,-5.87656,-7.9269
0.0785403,-3.29346,-5.87656,-7.9269
0.116051,-2.77684,-5.87656,-7.9269
0.225697,-2.26022,-5.87656,-7.9269
0.269156,-1.7436,-5.87656,-7.9269
0.0225923,-4.3267,-5.35994,-7.9269
0.0591648,-3.81008,-5.35994,-7.9269
0.325917,-1.7436,-5.35994,-7.9269
0.216098,-1.22697,-5.35994,-7.9269
0.0755629,-4.3267,-4.84332,-7.9269
0.0889262,-3.81008,-4.84332,-7.9269
0.379584,-1.22697,-4.84332,-7.9269
0,-1.22697,-4.3267,-7.9269
0,-5.87656,-2.26022,-7.9269
0.171523,-3.81008,-7.42642,-7.41028
0.194455,-3.29346,-7.42642,-7.41028
0.218289,-2.77684,-7.42642,-7.41028
0.219972,-2.26022,-7.42642,-7.41028
0.107128,-3.81008,-6.9098,-7.41028
0.154809,-3.29346,-6.9098,-7.41028
0.199571,-2.77684,-6.9098,-7.41028
0.233493,-2.26022,-6.9098,-7.41028
0.0745976,-3.81008,-6.39318,-7.41028
0.102683,-3.29346,-6.39318,-7.41028
0.146369,-2.77684,-6.39318,-7.41028
0.200904,-2.26022,-6.39318,-7.41028
0.222051,-1.7436,-6.39318,-7.41028
0.0525575,-3.81008,-5.87656,-7.41028
0.0747618,-3.29346,-5.87656,-7.41028
0.111118,-2.77684,-5.87656,-7.41028
0.211656,-2.26022,-5.87656,-7.41028
0.260447,-1.7436,-5.87656,-7.41028
0.0255431,-4.3267,-5.35994,-7.41028
0.0615684,-3.81008,-5.35994,-7.41028
0.337807,-1.7436,-5.35994,-7.41028
0.246939,-1.22697,-5.35994,-7.41028
0.0794818,-4.3267,-4.84332,-7.41028
0.0919474,-3.81008,-4.84332,-7.41028
0.405325,-1.22697,-4.84332,-7.41028
0.125204,-4.3267,-4.3267,-7.41028
0.358153,-1.22697,-4.3267,-7.41028
0.159851,-6.9098,-3.81008,-7.41028
0.169131,-6.9098,-3.29346,-7.41028
0.189985,-6.9098,-2.77684,-7.41028
0.190658,-6.39318,-2.77684,-7.41028
0.18114,-6.39318,-2.26022,-7.41028
0.223473,-5.87656,-2.26022,-7.41028
0,-5.35994,-1.7436,-7.41028
0.160582,-3.81008,-7.94304,-6.89365
0.176731,-3.29346,-7.94304,-6.89365
0.184584,-2.77684,-7.94304,-6.89365
0.124157,-4.3267,-7.42642,-6.89365
0.170265,-3.81008,-7.42642,-6.89365
0.183833,-3.29346,-7.42642,-6.89365
0.200602,-2.77684,-7.42642,-6.89365
0.218478,-2.26022,-7.42642,-6.89365
0.116159,-3.81008,-6.9098,-6.89365
0.141375,-3.29346,-6.9098,-6.89365
0.177941,-2.77684,-6.9098,-6.89365
0.216674,-2.26022,-6.9098,-6.89365
0.241443,-1.7436,-6.9098,-6.89365
0.0757171,-3.81008,-6.39318,-6.89365
0.0868583,-3.29346,-6.39318,-6.89365
0.124048,-2.77684,-6.39318,-6.89365
0.175602,-2.26022,-6.39318,-6.89365
0.226186,-1.7436,-6.39318,-6.89365
0.0514515,-4.3267,-5.87656,-6.89365
0.0518519,-3.81008,-5.87656,-6.89365
0.0596936,-3.29346,-5.87656,-6.89365
0.0868768,-2.77684,-5.87656,-6.89365
0.172587,-2.26022,-5.87656,-6.89365
0.241282,-1.7436,-5.87656,-6.89365
0.171459,-1.22697,-5.87656,-6.89365
0.0407122,-4.3267,-5.35994,-6.89365
0.0615578,-3.81008,-5.35994,-6.89365
0.328092,-1.7436,-5.35994,-6.89365
0.302015,-1.22697,-5.35994,-6.89365
0.0915893,-4.3267,-4.84332,-6.89365
0.0934371,-3.81008,-4.84332,-6.89365
0.430485,-1.22697,-4.84332,-6.89365
0.283808,-6.9098,-4.3267,-6.89365
0.084173,-4.84332,-4.3267,-6.89365
0.137082,-4.3267,-4.3267,-6.89365
0.482332,-0.710354,-4.3267,-6.89365
0.280363,-7.42642,-3.81008,-6.89365
0.231756,-6.9098,-3.81008,-6.89365
0,-0.710354,-3.81008,-6.89365
0.202466,-7.42642,-3.29346,-6.89365
0.186115,-6.9098,-3.29346,-6.89365
0.191229,-6.9098,-2.77684,-6.89365
0.202837,-6.39318,-2.77684,-6.89365
0.221564,-6.39318,-2.26022,-6.89365
0.243934,-5.87656,-2.26022,-6.89365
0.261398,-5.87656,-1.7436,-6.89365
0.377343,-5.35994,-1.7436,-6.89365
0.111409,-3.29346,-8.45966,-6.37703
0.1535,-4.3267,-7.94304,-6.37703
0.191024,-3.81008,-7.94304,-6.37703
0.1897,-3.29346,-7.94304,-6.37703
0.190252,-2.77684,-7.94304,-6.37703
0.217192,-2.26022,-7.94304,-6.37703
0.163001,-4.3267,-7.42642,-6.37703
0.179033,-3.81008,-7.42642,-6.37703
0.18135,-3.29346,-7.42642,-6.37703
0.192493,-2.77684,-7.42642,-6.37703
0.210319,-2.26022,-7.42642,-6.37703
0.110585,-4.3267,-6.9098,-6.37703
0.128289,-3.81008,-6.9098,-6.37703
0.135297,-3.29346,-6.9098,-6.37703
0.164033,-2.77684,-6.9098,-6.37703
0.197757,-2.26022,-6.9098,-6.37703
0.234602,-1.7436,-6.9098,-6.37703
0.0834951,-3.81008,-6.39318,-6.37703
0.0822192,-3.29346,-6.39318,-6.37703
0.107753,-2.77684,-6.39318,-6.37703
0.15843,-2.26022,-6.39318,-6.37703
0.209052,-1.7436,-6.39318,-6.37703
0.18819,-1.22697,-6.39318,-6.37703
0.0607464,-4.3267,-5.87656,-6.37703
0.0543455,-3.81008,-5.87656,-6.37703
0.0519091,-3.29346,-5.87656,-6.37703
0.060071,-2.77684,-5.87656,-6.37703
0.141272,-2.26022,-5.87656,-6.37703
0.212339,-1.7436,-5.87656,-6.37703
0.227093,-1.22697,-5.87656,-6.37703
0.0531392,-4.3267,-5.35994,-6.37703
0.0583424,-3.81008,-5.35994,-6.37703
0.297163,-1.7436,-5.35994,-6.37703
0.314364,-1.22697,-5.35994,-6.37703
0.0967261,-4.3267,-4.84332,-6.37703
0.0843958,-3.81008,-4.84332,-6.37703
0.387639,-1.22697,-4.84332,-6.37703
0.370854,-0.710354,-4.84332,-6.37703
0.231421,-7.42642,-4.3267,-6.37703
0.192093,-6.9098,-4.3267,-6.37703
0.103215,-4.84332,-4.3267,-6.37703
0.148387,-4.3267,-4.3267,-6.37703
0.465033,-0.710354,-4.3267,-6.37703
0.214798,-7.42642,-3.81008,-6.37703
0.165689,-6.9098,-3.81008,-6.37703
0,-0.710354,-3.81008,-6.37703
0.182877,-7.42642,-3.29346,-6.37703
0.170638,-6.9098,-3.29346,-6.37703
0.185247,-7.42642,-2.77684,-6.37703
0.175221,-6.9098,-2.77684,-6.37703
0.177803,-6.39318,-2.77684,-6.37703
0.184813,-6.9098,-2.26022,-6.37703
0.213749,-6.39318,-2.26022,-6.37703
0.248883,-5.87656,-2.26022,-6.37703
0.235662,-6.39318,-1.7436,-6.37703
0.281355,-5.87656,-1.7436,-6.37703
0.380168,-5.35994,-1.7436,-6.37703
0.601745,-4.84332,-1.22697,-6.37703
0.152384,-3.81008,-8.45966,-5.86041
0.150832,-3.29346,-8.45966,-5.86041
0.144659,-2.77684,-8.45966,-5.86041
0.165389,-4.3267,-7.94304,-5.86041
0.196315,-3.81008,-7.94304,-5.86041
0.187445,-3.29346,-7.94304,-5.86041
0.177825,-2.77684,-7.94304,-5.86041
0.187797,-2.26022,-7.94304,-5.86041
0.168706,-4.3267,-7.42642,-5.86041
