Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.168697,7.11595,-10.9866,-11.8832
0.0605618,0.446608,-10.0338,-11.8832
0.0279017,1.39937,-10.0338,-11.8832
0.017687,2.35214,-10.0338,-11.8832
0.137197,7.11595,-10.0338,-11.8832
0.11158,0.446608,-9.08103,-11.8832
0.0708911,1.39937,-9.08103,-11.8832
0.0409972,2.35214,-9.08103,-11.8832
0.127624,6.16319,-11.9393,-10.9304
0.123728,7.11595,-11.9393,-10.9304
0.0354031,0.446608,-10.9866,-10.9304
0.166972,6.16319,-10.9866,-10.9304
0.195727,7.11595,-10.9866,-10.9304
0.0559408,0.446608,-10.0338,-10.9304
0.0501018,1.39937,-10.0338,-10.9304
0.025303,2.35214,-10.0338,-10.9304
0.0222089,3.3049,-10.0338,-10.9304
0.146513,6.16319,-10.0338,-10.9304
0.199691,7.11595,-10.0338,-10.9304
0.0678989,1.39937,-9.08103,-10.9304
0.0314118,2.35214,-9.08103,-10.9304
0.105369,6.16319,-9.08103,-10.9304
0.158784,7.11595,-9.08103,-10.9304
0.0935327,6.16319,-8.12826,-10.9304
0.14755,7.11595,-8.12826,-10.9304
0.136126,6.16319,-7.1755,-10.9304
0.0809581,5.21043,-12.8921,-9.97768
0.113138,6.16319,-12.8921,-9.97768
0.0827824,7.11595,-12.8921,-9.97768
0.314511,-6.22274,-11.9393,-9.97768
0.102661,5.21043,-11.9393,-9.97768
0.183653,6.16319,-11.9393,-9.97768
0.177903,7.11595,-11.9393,-9.97768
0.059167,0.446608,-10.9866,-9.97768
0.0584044,1.39937,-10.9866,-9.97768
0.0489678,2.35214,-10.9866,-9.97768
0.0816381,4.25766,-10.9866,-9.97768
0.115855,5.21043,-10.9866,-9.97768
0.1998,6.16319,-10.9866,-9.97768
0.207781,7.11595,-10.9866,-9.97768
0.199136,8.06872,-10.9866,-9.97768
0.0635688,0.446608,-10.0338,-9.97768
0.0577967,1.39937,-10.0338,-9.97768
0.0398579,2.35214,-10.0338,-9.97768
0.0444341,3.3049,-10.0338,-9.97768
0.0535516,4.25766,-10.0338,-9.97768
0.104709,5.21043,-10.0338,-9.97768
0.192332,6.16319,-10.0338,-9.97768
0.212698,7.11595,-10.0338,-9.97768
0.220307,8.06872,-10.0338,-9.97768
0.0571891,1.39937,-9.08103,-9.97768
0.0341533,2.35214,-9.08103,-9.97768
0.0866722,5.21043,-9.08103,-9.97768
0.170482,6.16319,-9.08103,-9.97768
0.205767,7.11595,-9.08103,-9.97768
0.17003,6.16319,-8.12826,-9.97768
0.20769,7.11595,-8.12826,-9.97768
0.219039,6.16319,-7.1755,-9.97768
0.262738,5.21043,-6.22274,-9.97768
0.327716,6.16319,-6.22274,-9.97768
0.421977,5.21043,-5.26997,-9.97768
0.0958506,-6.22274,-13.8448,-9.02491
0.0915247,-5.26997,-13.8448,-9.02491
0.141096,-6.22274,-12.8921,-9.02491
0.122945,5.21043,-12.8921,-9.02491
0.136253,6.16319,-12.8921,-9.02491
0.122039,7.11595,-12.8921,-9.02491
0.080997,8.06872,-12.8921,-9.02491
0.193285,-6.22274,-11.9393,-9.02491
0.126016,5.21043,-11.9393,-9.02491
0.177949,6.16319,-11.9393,-9.02491
0.177658,7.11595,-11.9393,-9.02491
0.150951,8.06872,-11.9393,-9.02491
0.119807,-6.22274,-10.9866,-9.02491
