Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.135727,7.51218,-9.87771,-18.3652
0.169519,8.53511,-9.87771,-18.3652
0.0474341,3.42044,-8.85478,-18.3652
0.0688812,4.44337,-8.85478,-18.3652
0.161563,8.53511,-8.85478,-18.3652
0.0841701,3.42044,-7.83184,-18.3652
0.0957511,8.53511,-7.83184,-18.3652
0.156878,7.51218,-11.9236,-17.3423
0.102165,6.48924,-10.9006,-17.3423
0.163629,7.51218,-10.9006,-17.3423
0.182031,8.53511,-10.9006,-17.3423
-0.0616356,3.42044,-9.87771,-17.3423
0.0966725,6.48924,-9.87771,-17.3423
0.154339,7.51218,-9.87771,-17.3423
0.173395,8.53511,-9.87771,-17.3423
-0.0359186,2.3975,-8.85478,-17.3423
-0.0180085,3.42044,-8.85478,-17.3423
-0.00299981,4.44337,-8.85478,-17.3423
0.142738,7.51218,-8.85478,-17.3423
0.170426,8.53511,-8.85478,-17.3423
0.00583621,2.3975,-7.83184,-17.3423
0.0160337,3.42044,-7.83184,-17.3423
0.113961,7.51218,-7.83184,-17.3423
0.134973,8.53511,-7.83184,-17.3423
0.0985873,7.51218,-6.80891,-17.3423
0.0938473,8.53511,-6.80891,-17.3423
0.0668647,7.51218,-5.78597,-17.3423
0.0638973,7.51218,-4.76304,-17.3423
0.137249,6.48924,-11.9236,-16.3194
0.150178,7.51218,-11.9236,-16.3194
0.148173,8.53511,-11.9236,-16.3194
0.0221703,-3.7401,-10.9006,-16.3194
0.0908439,6.48924,-10.9006,-16.3194
0.138887,7.51218,-10.9006,-16.3194
0.153564,8.53511,-10.9006,-16.3194
0.0411227,-3.7401,-9.87771,-16.3194
-0.00952855,3.42044,-9.87771,-16.3194
0.0401654,5.46631,-9.87771,-16.3194
0.0843703,6.48924,-9.87771,-16.3194
0.132119,7.51218,-9.87771,-16.3194
0.152392,8.53511,-9.87771,-16.3194
0.179569,9.55805,-9.87771,-16.3194
0.117381,-4.76304,-8.85478,-16.3194
0.0572188,-3.7401,-8.85478,-16.3194
-0.0241689,2.3975,-8.85478,-16.3194
-0.0109316,3.42044,-8.85478,-16.3194
-0.001582,4.44337,-8.85478,-16.3194
0.0330668,5.46631,-8.85478,-16.3194
0.0619161,6.48924,-8.85478,-16.3194
0.124318,7.51218,-8.85478,-16.3194
0.155025,8.53511,-8.85478,-16.3194
0.187196,9.55805,-8.85478,-16.3194
0.0818497,-4.76304,-7.83184,-16.3194
-0.0234302,-3.7401,-7.83184,-16.3194
0.0191617,2.3975,-7.83184,-16.3194
0.019115,3.42044,-7.83184,-16.3194
0.115987,7.51218,-7.83184,-16.3194
0.142873,8.53511,-7.83184,-16.3194
0.0742711,-4.76304,-6.80891,-16.3194
-0.0343073,-3.7401,-6.80891,-16.3194
0.114675,7.51218,-6.80891,-16.3194
0.119893,8.53511,-6.80891,-16.3194
-0.00133545,-3.7401,-5.78597,-16.3194
0.0895206,7.51218,-5.78597,-16.3194
0.137485,8.53511,-5.78597,-16.3194
0.0772452,7.51218,-4.76304,-16.3194
0.131139,8.53511,-4.76304,-16.3194
0.0919294,7.51218,-3.7401,-16.3194
0.14615,7.51218,-2.71717,-16.3194
0.199555,6.48924,-12.9465,-15.2964
