Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
-0.012239,3.42532,-12.0856,-21.2448
-0.0715633,7.56155,-12.0856,-21.2448
-0.0110137,3.42532,-11.0515,-21.2448
-0.016202,4.45937,-11.0515,-21.2448
-0.0546036,7.56155,-11.0515,-21.2448
-0.105443,7.56155,-10.0174,-21.2448
-0.195314,7.56155,-8.98338,-21.2448
0.110095,6.52749,-13.1196,-20.2108
0.188218,7.56155,-13.1196,-20.2108
0.0317844,2.39126,-12.0856,-20.2108
0.0458499,3.42532,-12.0856,-20.2108
0.0460599,4.45937,-12.0856,-20.2108
0.0435718,5.49343,-12.0856,-20.2108
0.0820916,6.52749,-12.0856,-20.2108
0.165469,7.56155,-12.0856,-20.2108
0.214959,8.59561,-12.0856,-20.2108
0.035087,2.39126,-11.0515,-20.2108
0.0085497,3.42532,-11.0515,-20.2108
0.0421583,4.45937,-11.0515,-20.2108
0.00744444,5.49343,-11.0515,-20.2108
0.0738374,6.52749,-11.0515,-20.2108
0.153481,7.56155,-11.0515,-20.2108
0.208865,8.59561,-11.0515,-20.2108
0.0953227,6.52749,-10.0174,-20.2108
0.180244,7.56155,-10.0174,-20.2108
0.199419,7.56155,-8.98338,-20.2108
0.114487,6.52749,-7.94932,-20.2108
0.194521,7.56155,-7.94932,-20.2108
0.109793,6.52749,-6.91526,-20.2108
0.156487,6.52749,-14.1537,-19.1767
0.211182,7.56155,-14.1537,-19.1767
0.133445,6.52749,-13.1196,-19.1767
0.216539,7.56155,-13.1196,-19.1767
0.244262,8.59561,-13.1196,-19.1767
0.0167758,2.39126,-12.0856,-19.1767
0.0295023,3.42532,-12.0856,-19.1767
0.0430757,4.45937,-12.0856,-19.1767
0.0629513,5.49343,-12.0856,-19.1767
0.118312,6.52749,-12.0856,-19.1767
0.201517,7.56155,-12.0856,-19.1767
0.234985,8.59561,-12.0856,-19.1767
0.0186003,2.39126,-11.0515,-19.1767
0.00587398,3.42532,-11.0515,-19.1767
0.0412107,4.45937,-11.0515,-19.1767
0.0494876,5.49343,-11.0515,-19.1767
0.124427,6.52749,-11.0515,-19.1767
0.203919,7.56155,-11.0515,-19.1767
0.237842,8.59561,-11.0515,-19.1767
0.158855,6.52749,-10.0174,-19.1767
0.239556,7.56155,-10.0174,-19.1767
0.271996,8.59561,-10.0174,-19.1767
0.201755,6.52749,-8.98338,-19.1767
0.285079,7.56155,-8.98338,-19.1767
0.254868,6.52749,-7.94932,-19.1767
0.317661,7.56155,-7.94932,-19.1767
0.322798,6.52749,-6.91526,-19.1767
0.37173,5.49343,-5.88121,-19.1767
0.498596,6.52749,-5.88121,-19.1767
0.206223,6.52749,-15.1877,-18.1426
0.216324,7.56155,-15.1877,-18.1426
0.17008,6.52749,-14.1537,-18.1426
0.220604,7.56155,-14.1537,-18.1426
