Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0648345,1.32359,-14.1721,-19.1585
0.0297135,2.35664,-14.1721,-19.1585
0.0676121,3.38969,-14.1721,-19.1585
0.105076,4.42274,-14.1721,-19.1585
0.164351,5.45578,-14.1721,-19.1585
0.186451,6.48883,-14.1721,-19.1585
0.0216504,1.32359,-13.1391,-19.1585
-0.0249337,2.35664,-13.1391,-19.1585
0.0153936,3.38969,-13.1391,-19.1585
0.0744164,4.42274,-13.1391,-19.1585
0.129215,5.45578,-13.1391,-19.1585
0.127091,6.48883,-13.1391,-19.1585
-0.060174,2.35664,-12.106,-19.1585
-0.00990362,4.42274,-12.106,-19.1585
0.050554,5.45578,-12.106,-19.1585
0.0780741,5.45578,-11.073,-19.1585
0.126893,5.45578,-10.0399,-19.1585
0.210779,5.45578,-15.2052,-18.1255
0.256904,6.48883,-15.2052,-18.1255
0.0752387,1.32359,-14.1721,-18.1255
0.0730821,2.35664,-14.1721,-18.1255
0.108162,3.38969,-14.1721,-18.1255
0.156054,4.42274,-14.1721,-18.1255
0.227361,5.45578,-14.1721,-18.1255
0.281646,6.48883,-14.1721,-18.1255
0.043134,1.32359,-13.1391,-18.1255
0.0405839,2.35664,-13.1391,-18.1255
0.060823,3.38969,-13.1391,-18.1255
0.121897,4.42274,-13.1391,-18.1255
0.197243,5.45578,-13.1391,-18.1255
0.251366,6.48883,-13.1391,-18.1255
0.0971052,4.42274,-12.106,-18.1255
0.171064,5.45578,-12.106,-18.1255
0.203027,6.48883,-12.106,-18.1255
0.225793,5.45578,-11.073,-18.1255
0.249441,6.48883,-11.073,-18.1255
0.26719,4.42274,-10.0399,-18.1255
0.312758,5.45578,-10.0399,-18.1255
0.392962,4.42274,-9.00688,-18.1255
0.122448,5.45578,-16.2382,-17.0925
0.180507,6.48883,-16.2382,-17.0925
-0.00333243,-3.84164,-15.2052,-17.0925
0.207734,5.45578,-15.2052,-17.0925
0.262575,6.48883,-15.2052,-17.0925
0.296838,7.52188,-15.2052,-17.0925
0.0797276,-4.87469,-14.1721,-17.0925
0.0929005,0.290546,-14.1721,-17.0925
0.0813261,1.32359,-14.1721,-17.0925
0.0611118,2.35664,-14.1721,-17.0925
0.0892456,3.38969,-14.1721,-17.0925
0.135624,4.42274,-14.1721,-17.0925
0.20273,5.45578,-14.1721,-17.0925
0.255774,6.48883,-14.1721,-17.0925
0.300444,7.52188,-14.1721,-17.0925
0.0404217,1.32359,-13.1391,-17.0925
0.0334396,2.35664,-13.1391,-17.0925
0.0514972,3.38969,-13.1391,-17.0925
0.107157,4.42274,-13.1391,-17.0925
0.181203,5.45578,-13.1391,-17.0925
0.233461,6.48883,-13.1391,-17.0925
0.273524,7.52188,-13.1391,-17.0925
0.106487,4.42274,-12.106,-17.0925
0.175798,5.45578,-12.106,-17.0925
0.217135,6.48883,-12.106,-17.0925
0.251564,7.52188,-12.106,-17.0925
0.167043,4.42274,-11.073,-17.0925
0.223642,5.45578,-11.073,-17.0925
0.250268,6.48883,-11.073,-17.0925
0.256671,4.42274,-10.0399,-17.0925
0.28283,5.45578,-10.0399,-17.0925
0.341849,4.42274,-9.00688,-17.0925
0.385604,5.45578,-9.00688,-17.0925
0.427514,4.42274,-7.97383,-17.0925
0.255968,-2.8086,-17.2713,-16.0594
0.184201,-3.84164,-16.2382,-16.0594
0.198643,-2.8086,-16.2382,-16.0594
0.163624,5.45578,-16.2382,-16.0594
0.209464,6.48883,-16.2382,-16.0594
0.218524,7.52188,-16.2382,-16.0594
0.182553,-4.87469,-15.2052,-16.0594
0.195418,-3.84164,-15.2052,-16.0594
0.130823,4.42274,-15.2052,-16.0594
0.193256,5.45578,-15.2052,-16.0594
0.243888,6.48883,-15.2052,-16.0594
0.277529,7.52188,-15.2052,-16.0594
0.216801,-4.87469,-14.1721,-16.0594
0.0289367,0.290546,-14.1721,-16.0594
0.0474767,1.32359,-14.1721,-16.0594
0.051916,2.35664,-14.1721,-16.0594
