Specific Ventilation,x,y,z
0,-3.29365,-4.32695,-4.82746
0,-2.777,-4.32695,-4.82746
0,-3.29365,-3.8103,-4.82746
0,-2.777,-3.8103,-4.82746
0.184311,-2.26035,-6.39356,-4.31081
0.191097,-1.7437,-6.39356,-4.31081
0.11039,-2.26035,-5.87691,-4.31081
0.180219,-1.7437,-5.87691,-4.31081
0.22205,-1.22705,-5.87691,-4.31081
0.204344,-1.22705,-5.36026,-4.31081
0.238121,-0.710396,-5.36026,-4.31081
0.229225,-0.193745,-4.84361,-4.31081
0.147172,-3.29365,-4.32695,-4.31081
0.102419,-2.777,-4.32695,-4.31081
0.0777294,-3.29365,-3.8103,-4.31081
0.0799398,-2.777,-3.8103,-4.31081
0.221912,-2.777,-6.39356,-3.79416
0.242229,-2.26035,-6.39356,-3.79416
0.251426,-1.7437,-6.39356,-3.79416
0.266511,-1.22705,-6.39356,-3.79416
0.163926,-2.26035,-5.87691,-3.79416
0.215179,-1.7437,-5.87691,-3.79416
0.26097,-1.22705,-5.87691,-3.79416
0.279104,-0.710396,-5.87691,-3.79416
0.118043,-2.26035,-5.36026,-3.79416
0.176804,-1.7437,-5.36026,-3.79416
0.24418,-1.22705,-5.36026,-3.79416
0.28617,-0.710396,-5.36026,-3.79416
0.079747,-2.777,-4.84361,-3.79416
0.311977,-0.710396,-4.84361,-3.79416
0.303411,-0.193745,-4.84361,-3.79416
0.0846469,-3.29365,-4.32695,-3.79416
0.079527,-2.777,-4.32695,-3.79416
0.0998572,-3.29365,-3.8103,-3.79416
0.09429,-2.777,-3.8103,-3.79416
0.334188,-5.36026,-1.7437,-3.79416
0.176395,-4.84361,-1.22705,-3.79416
0,-3.8103,-0.710396,-3.79416
0,-3.29365,-0.710396,-3.79416
0.253206,-2.777,-6.91021,-3.27751
0.228909,-2.26035,-6.91021,-3.27751
0.217366,-1.7437,-6.91021,-3.27751
0.221704,-1.22705,-6.91021,-3.27751
0.220473,-2.777,-6.39356,-3.27751
0.203593,-2.26035,-6.39356,-3.27751
0.207887,-1.7437,-6.39356,-3.27751
0.22223,-1.22705,-6.39356,-3.27751
0.224842,-0.710396,-6.39356,-3.27751
0.14307,-2.26035,-5.87691,-3.27751
0.173778,-1.7437,-5.87691,-3.27751
0.214155,-1.22705,-5.87691,-3.27751
0.224716,-0.710396,-5.87691,-3.27751
0.0956106,-2.26035,-5.36026,-3.27751
0.13874,-1.7437,-5.36026,-3.27751
0.191386,-1.22705,-5.36026,-3.27751
0.230395,-0.710396,-5.36026,-3.27751
0.221479,-0.193745,-5.36026,-3.27751
0.0658491,-2.777,-4.84361,-3.27751
0.26362,-0.710396,-4.84361,-3.27751
0.252744,-0.193745,-4.84361,-3.27751
0.0759438,-3.29365,-4.32695,-3.27751
0.0562731,-2.777,-4.32695,-3.27751
0.282925,-0.193745,-4.32695,-3.27751
0.254347,0.322906,-4.32695,-3.27751
0.0947087,-3.29365,-3.8103,-3.27751
0.0637644,-2.777,-3.8103,-3.27751
0.225127,0.322906,-3.8103,-3.27751
0.0792198,-3.29365,-3.29365,-3.27751
0.328136,-5.87691,-2.26035,-3.27751
0.331241,-5.36026,-2.26035,-3.27751
0.294776,-5.87691,-1.7437,-3.27751
0.324312,-5.36026,-1.7437,-3.27751
0.379627,-5.36026,-1.22705,-3.27751
0.294523,-4.84361,-1.22705,-3.27751
