Specific Ventilation,x,y,z
0,-2.25794,-3.29013,-11.5316
0.170769,-1.74184,-3.29013,-11.5316
0,-2.25794,-2.77403,-11.5316
0,-1.74184,-2.77403,-11.5316
0.0836277,-0.193539,-4.32233,-11.0155
0.149233,0.322561,-4.32233,-11.0155
0.023294,-1.74184,-3.80623,-11.0155
0.201829,-0.193539,-3.80623,-11.0155
0.306314,0.322561,-3.80623,-11.0155
0.0214667,-2.25794,-3.29013,-11.0155
0.0652029,-1.74184,-3.29013,-11.0155
0.202486,0.322561,-3.29013,-11.0155
0.232852,0.83866,-3.29013,-11.0155
0.0960628,-2.25794,-2.77403,-11.0155
0.133493,-1.74184,-2.77403,-11.0155
0.117343,0.83866,-2.77403,-11.0155
0.153323,0.83866,-2.25794,-11.0155
-0.018246,0.83866,-1.74184,-11.0155
0.156692,-0.709638,-5.35453,-10.4994
0.0905533,-0.709638,-4.83843,-10.4994
0.188245,-0.193539,-4.83843,-10.4994
-0.011055,-1.22574,-4.32233,-10.4994
0.0867978,-0.709638,-4.32233,-10.4994
0.159803,-0.193539,-4.32233,-10.4994
0.187963,0.322561,-4.32233,-10.4994
-0.0438012,-2.25794,-3.80623,-10.4994
-0.0243359,-1.74184,-3.80623,-10.4994
0.0142663,-1.22574,-3.80623,-10.4994
0.178446,-0.193539,-3.80623,-10.4994
0.227571,0.322561,-3.80623,-10.4994
0.183099,0.83866,-3.80623,-10.4994
-0.0363067,-2.77403,-3.29013,-10.4994
0.0143688,-2.25794,-3.29013,-10.4994
0.0424952,-1.74184,-3.29013,-10.4994
0.206336,0.322561,-3.29013,-10.4994
0.177734,0.83866,-3.29013,-10.4994
0.0693793,-2.25794,-2.77403,-10.4994
0.10151,-1.74184,-2.77403,-10.4994
0.153969,0.322561,-2.77403,-10.4994
0.12846,0.83866,-2.77403,-10.4994
0.0740265,0.83866,-2.25794,-10.4994
0.0636735,0.83866,-1.74184,-10.4994
0.0396018,0.83866,-1.22574,-10.4994
0,0.83866,-0.709638,-10.4994
-0.036568,-1.22574,-5.35453,-9.9833
0.128244,-0.709638,-5.35453,-9.9833
0.164449,-0.193539,-5.35453,-9.9833
0.060432,-1.22574,-4.83843,-9.9833
0.126269,-0.709638,-4.83843,-9.9833
0.199931,-0.193539,-4.83843,-9.9833
0.230185,0.322561,-4.83843,-9.9833
0.0543412,-1.22574,-4.32233,-9.9833
0.122012,-0.709638,-4.32233,-9.9833
0.182023,-0.193539,-4.32233,-9.9833
0.224032,0.322561,-4.32233,-9.9833
-0.0205931,-2.25794,-3.80623,-9.9833
0.00995303,-1.74184,-3.80623,-9.9833
0.0440897,-1.22574,-3.80623,-9.9833
0.10266,-0.709638,-3.80623,-9.9833
0.150038,-0.193539,-3.80623,-9.9833
0.208859,0.322561,-3.80623,-9.9833
0.196555,0.83866,-3.80623,-9.9833
0.0241857,-2.25794,-3.29013,-9.9833
0.0347117,-1.74184,-3.29013,-9.9833
0.116666,-0.193539,-3.29013,-9.9833
0.177235,0.322561,-3.29013,-9.9833
0.184165,0.83866,-3.29013,-9.9833
0.0705553,-2.25794,-2.77403,-9.9833
0.0649274,-1.74184,-2.77403,-9.9833
0.142856,0.322561,-2.77403,-9.9833
0.16239,0.83866,-2.77403,-9.9833
0.155236,1.35476,-2.77403,-9.9833
0.11875,0.83866,-2.25794,-9.9833
0.137159,1.35476,-2.25794,-9.9833
0.0573166,0.83866,-1.74184,-9.9833
0.0730429,1.35476,-1.74184,-9.9833
0.0277314,0.83866,-1.22574,-9.9833
-0.0910483,1.35476,-1.22574,-9.9833
0,0.83866,-0.709638,-9.9833
0,0.83866,-0.193539,-9.9833
0.120353,-1.22574,-5.87063,-9.4672
0.169681,-0.709638,-5.87063,-9.4672
0.18773,-0.193539,-5.87063,-9.4672
0.100923,-1.22574,-5.35453,-9.4672
0.152903,-0.709638,-5.35453,-9.4672
0.177517,-0.193539,-5.35453,-9.4672
