Specific Ventilation,x,y,z
0.050405,-3.3101,-6.41029,-8.46094
0.128326,-2.7934,-6.41029,-8.46094
0.0241602,-3.3101,-5.89359,-8.46094
0.0533467,-2.7934,-5.89359,-8.46094
0.139022,-2.2767,-5.89359,-8.46094
0.00675314,-4.3435,-5.37689,-8.46094
0.0219968,-3.8268,-5.37689,-8.46094
0.155626,-2.2767,-5.37689,-8.46094
0.0202554,-4.3435,-4.8602,-8.46094
0.0198819,-3.8268,-4.8602,-8.46094
0.169732,-1.76,-4.8602,-8.46094
0,-4.8602,-4.3435,-8.46094
0.0342699,-4.3435,-4.3435,-8.46094
0.15962,-3.8268,-6.92699,-7.94424
0.21088,-3.3101,-6.92699,-7.94424
0.268727,-2.7934,-6.92699,-7.94424
0.147152,-3.3101,-6.41029,-7.94424
0.231578,-2.7934,-6.41029,-7.94424
0.305588,-2.2767,-6.41029,-7.94424
0.081211,-3.8268,-5.89359,-7.94424
0.111083,-3.3101,-5.89359,-7.94424
0.182062,-2.7934,-5.89359,-7.94424
0.285198,-2.2767,-5.89359,-7.94424
0.0223497,-4.3435,-5.37689,-7.94424
0.0702894,-3.8268,-5.37689,-7.94424
0.0927792,-3.3101,-5.37689,-7.94424
0.175292,-2.7934,-5.37689,-7.94424
0.315341,-2.2767,-5.37689,-7.94424
0.335914,-1.76,-5.37689,-7.94424
0.0460985,-4.3435,-4.8602,-7.94424
0.0746024,-3.8268,-4.8602,-7.94424
0.309848,-2.2767,-4.8602,-7.94424
0.406508,-1.76,-4.8602,-7.94424
0.0277733,-4.8602,-4.3435,-7.94424
0.0822037,-4.3435,-4.3435,-7.94424
0.297991,-1.76,-4.3435,-7.94424
0.165155,-1.24331,-3.8268,-7.94424
0,-1.24331,-3.3101,-7.94424
0.200195,-3.8268,-7.44369,-7.42754
0.209989,-3.3101,-7.44369,-7.42754
0.234538,-2.7934,-7.44369,-7.42754
0.17305,-3.8268,-6.92699,-7.42754
0.207144,-3.3101,-6.92699,-7.42754
0.246052,-2.7934,-6.92699,-7.42754
0.276235,-2.2767,-6.92699,-7.42754
0.106756,-3.8268,-6.41029,-7.42754
0.152994,-3.3101,-6.41029,-7.42754
0.213125,-2.7934,-6.41029,-7.42754
0.273441,-2.2767,-6.41029,-7.42754
0.0907613,-3.8268,-5.89359,-7.42754
0.115191,-3.3101,-5.89359,-7.42754
0.178301,-2.7934,-5.89359,-7.42754
0.268138,-2.2767,-5.89359,-7.42754
0.303417,-1.76,-5.89359,-7.42754
0.0353086,-4.3435,-5.37689,-7.42754
0.0776848,-3.8268,-5.37689,-7.42754
0.0913319,-3.3101,-5.37689,-7.42754
0.174852,-2.7934,-5.37689,-7.42754
0.29462,-2.2767,-5.37689,-7.42754
0.351467,-1.76,-5.37689,-7.42754
0.0646771,-4.3435,-4.8602,-7.42754
0.0861544,-3.8268,-4.8602,-7.42754
0.315243,-2.2767,-4.8602,-7.42754
0.417056,-1.76,-4.8602,-7.42754
0.0545093,-4.8602,-4.3435,-7.42754
0.100213,-4.3435,-4.3435,-7.42754
0.397899,-1.76,-4.3435,-7.42754
0.409468,-1.24331,-4.3435,-7.42754
0.345127,-1.24331,-3.8268,-7.42754
0.0535752,-7.44369,-3.3101,-7.42754
0,-1.24331,-3.3101,-7.42754
0.122984,-6.92699,-2.7934,-7.42754
0,-1.24331,-2.7934,-7.42754
0.185244,-4.3435,-7.44369,-6.91084
0.178601,-3.8268,-7.44369,-6.91084
0.182178,-3.3101,-7.44369,-6.91084
0.200173,-2.7934,-7.44369,-6.91084
0.143551,-4.3435,-6.92699,-6.91084
0.158012,-3.8268,-6.92699,-6.91084
0.175724,-3.3101,-6.92699,-6.91084
0.202937,-2.7934,-6.92699,-6.91084
0.235618,-2.2767,-6.92699,-6.91084
0.112334,-3.8268,-6.41029,-6.91084
0.143996,-3.3101,-6.41029,-6.91084
0.186136,-2.7934,-6.41029,-6.91084
0.235971,-2.2767,-6.41029,-6.91084
0.259174,-1.76,-6.41029,-6.91084
0.0929175,-3.8268,-5.89359,-6.91084
0.107426,-3.3101,-5.89359,-6.91084
0.16074,-2.7934,-5.89359,-6.91084
0.23527,-2.2767,-5.89359,-6.91084
0.291907,-1.76,-5.89359,-6.91084
0.0502353,-4.3435,-5.37689,-6.91084
0.0821297,-3.8268,-5.37689,-6.91084
0.0790236,-3.3101,-5.37689,-6.91084
0.152956,-2.7934,-5.37689,-6.91084
0.25122,-2.2767,-5.37689,-6.91084
0.315047,-1.76,-5.37689,-6.91084
0.029916,-4.8602,-4.8602,-6.91084
0.0783196,-4.3435,-4.8602,-6.91084
0.0951391,-3.8268,-4.8602,-6.91084
0.280936,-2.2767,-4.8602,-6.91084
0.371368,-1.76,-4.8602,-6.91084
0.365895,-1.24331,-4.8602,-6.91084
0,-7.44369,-4.3435,-6.91084
0.0170813,-5.37689,-4.3435,-6.91084
0.0733602,-4.8602,-4.3435,-6.91084
0.110163,-4.3435,-4.3435,-6.91084
0.342839,-1.76,-4.3435,-6.91084
0.422031,-1.24331,-4.3435,-6.91084
0.199965,-7.44369,-3.8268,-6.91084
0.311955,-1.76,-3.8268,-6.91084
0.383472,-1.24331,-3.8268,-6.91084
0.20306,-7.44369,-3.3101,-6.91084
0.183939,-6.92699,-3.3101,-6.91084
0.216258,-1.24331,-3.3101,-6.91084
0.275513,-7.44369,-2.7934,-6.91084
0.223173,-6.92699,-2.7934,-6.91084
0,-1.24331,-2.7934,-6.91084
0.252139,-6.92699,-2.2767,-6.91084
0,-6.41029,-1.76,-6.91084
0.146147,-3.8268,-7.96039,-6.39414
0.131757,-3.3101,-7.96039,-6.39414
0.149802,-4.3435,-7.44369,-6.39414
0.144248,-3.8268,-7.44369,-6.39414
0.144079,-3.3101,-7.44369,-6.39414
0.158916,-2.7934,-7.44369,-6.39414
0.181203,-2.2767,-7.44369,-6.39414
0.141035,-4.3435,-6.92699,-6.39414
0.138857,-3.8268,-6.92699,-6.39414
0.144146,-3.3101,-6.92699,-6.39414
0.161287,-2.7934,-6.92699,-6.39414
0.188591,-2.2767,-6.92699,-6.39414
0.221196,-1.76,-6.92699,-6.39414
0.0955485,-4.3435,-6.41029,-6.39414
0.105363,-3.8268,-6.41029,-6.39414
0.120014,-3.3101,-6.41029,-6.39414
0.148426,-2.7934,-6.41029,-6.39414
0.187091,-2.2767,-6.41029,-6.39414
0.223567,-1.76,-6.41029,-6.39414
0.0829108,-3.8268,-5.89359,-6.39414
0.082775,-3.3101,-5.89359,-6.39414
0.122611,-2.7934,-5.89359,-6.39414
0.180026,-2.2767,-5.89359,-6.39414
0.237008,-1.76,-5.89359,-6.39414
0.0549183,-4.3435,-5.37689,-6.39414
0.0722356,-3.8268,-5.37689,-6.39414
0.0495742,-3.3101,-5.37689,-6.39414
0.106915,-2.7934,-5.37689,-6.39414
0.190428,-2.2767,-5.37689,-6.39414
0.250934,-1.76,-5.37689,-6.39414
0.251963,-1.24331,-5.37689,-6.39414
0.0398162,-4.8602,-4.8602,-6.39414
0.0732958,-4.3435,-4.8602,-6.39414
0.0773548,-3.8268,-4.8602,-6.39414
0.218415,-2.2767,-4.8602,-6.39414
0.301597,-1.76,-4.8602,-6.39414
0.331765,-1.24331,-4.8602,-6.39414
0.103889,-7.44369,-4.3435,-6.39414
0.0395617,-5.37689,-4.3435,-6.39414
0.0797565,-4.8602,-4.3435,-6.39414
0.0904877,-4.3435,-4.3435,-6.39414
0.282441,-1.76,-4.3435,-6.39414
0.378644,-1.24331,-4.3435,-6.39414
0.209401,-7.96039,-3.8268,-6.39414
0.201952,-7.44369,-3.8268,-6.39414
0.111755,-4.8602,-3.8268,-6.39414
0.314297,-1.24331,-3.8268,-6.39414
0.224891,-7.96039,-3.3101,-6.39414
0.223894,-7.44369,-3.3101,-6.39414
0.196841,-1.24331,-3.3101,-6.39414
0.264504,-7.96039,-2.7934,-6.39414
0.268127,-7.44369,-2.7934,-6.39414
0.228089,-6.92699,-2.7934,-6.39414
0.290701,-7.44369,-2.2767,-6.39414
0.28285,-6.92699,-2.2767,-6.39414
0.265851,-6.41029,-1.76,-6.39414
0,-5.89359,-1.24331,-6.39414
0.116264,-3.8268,-7.96039,-5.87744
0.107238,-3.3101,-7.96039,-5.87744
0.116463,-2.7934,-7.96039,-5.87744
0.132733,-4.3435,-7.44369,-5.87744
0.122137,-3.8268,-7.44369,-5.87744
0.118999,-3.3101,-7.44369,-5.87744
0.13064,-2.7934,-7.44369,-5.87744
0.153611,-2.2767,-7.44369,-5.87744
