Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0327435,1.32294,-13.1326,-13.7119
0.0152557,2.35548,-13.1326,-13.7119
0.0221331,3.38802,-13.1326,-13.7119
0.0913161,5.4531,-13.1326,-13.7119
0.133828,6.48564,-13.1326,-13.7119
0.0367437,1.32294,-12.1001,-13.7119
-0.0259389,2.35548,-12.1001,-13.7119
0.00604401,3.38802,-12.1001,-13.7119
0.0802689,5.4531,-12.1001,-13.7119
0.132829,6.48564,-12.1001,-13.7119
0.11654,6.48564,-11.0675,-13.7119
0.0908587,6.48564,-10.035,-13.7119
0.153879,5.4531,-14.1651,-12.6794
0.2028,6.48564,-14.1651,-12.6794
-0.00804396,0.290401,-13.1326,-12.6794
0.0313172,1.32294,-13.1326,-12.6794
0.0318208,2.35548,-13.1326,-12.6794
0.0632611,3.38802,-13.1326,-12.6794
0.0950862,4.42056,-13.1326,-12.6794
0.155703,5.4531,-13.1326,-12.6794
0.212499,6.48564,-13.1326,-12.6794
0.218994,7.51818,-13.1326,-12.6794
0.00989504,0.290401,-12.1001,-12.6794
0.0334024,1.32294,-12.1001,-12.6794
0.00425883,2.35548,-12.1001,-12.6794
0.0420136,3.38802,-12.1001,-12.6794
0.0744444,4.42056,-12.1001,-12.6794
0.151423,5.4531,-12.1001,-12.6794
0.216687,6.48564,-12.1001,-12.6794
0.232704,7.51818,-12.1001,-12.6794
0.15646,5.4531,-11.0675,-12.6794
0.223561,6.48564,-11.0675,-12.6794
0.24742,7.51818,-11.0675,-12.6794
0.170797,5.4531,-10.035,-12.6794
0.25276,6.48564,-10.035,-12.6794
0.16336,5.4531,-9.00245,-12.6794
0.237612,6.48564,-9.00245,-12.6794
0.132079,5.4531,-15.1977,-11.6468
0.159494,6.48564,-15.1977,-11.6468
0.0962181,-4.87229,-14.1651,-11.6468
0.109092,4.42056,-14.1651,-11.6468
0.158161,5.4531,-14.1651,-11.6468
0.197897,6.48564,-14.1651,-11.6468
0.204874,7.51818,-14.1651,-11.6468
0.100924,-4.87229,-13.1326,-11.6468
0.00351813,0.290401,-13.1326,-11.6468
0.0240482,1.32294,-13.1326,-11.6468
0.0342878,2.35548,-13.1326,-11.6468
0.0667662,3.38802,-13.1326,-11.6468
0.104476,4.42056,-13.1326,-11.6468
0.161677,5.4531,-13.1326,-11.6468
0.210328,6.48564,-13.1326,-11.6468
0.223688,7.51818,-13.1326,-11.6468
0.017354,-4.87229,-12.1001,-11.6468
0.0253358,0.290401,-12.1001,-11.6468
0.0282685,1.32294,-12.1001,-11.6468
0.0185696,2.35548,-12.1001,-11.6468
0.0426595,3.38802,-12.1001,-11.6468
0.0860984,4.42056,-12.1001,-11.6468
0.155735,5.4531,-12.1001,-11.6468
0.213611,6.48564,-12.1001,-11.6468
0.237013,7.51818,-12.1001,-11.6468
0.166838,5.4531,-11.0675,-11.6468
0.223389,6.48564,-11.0675,-11.6468
0.253698,7.51818,-11.0675,-11.6468
0.187574,5.4531,-10.035,-11.6468
0.253706,6.48564,-10.035,-11.6468
0.285241,7.51818,-10.035,-11.6468
0.227441,5.4531,-9.00245,-11.6468
0.299778,6.48564,-9.00245,-11.6468
0.251772,5.4531,-7.96991,-11.6468
0.361356,6.48564,-7.96991,-11.6468
0.28531,5.4531,-6.93737,-11.6468
0.213274,-3.83975,-16.2302,-10.6143
0.127904,5.4531,-16.2302,-10.6143
0.112474,6.48564,-16.2302,-10.6143
0.180458,-4.87229,-15.1977,-10.6143
0.208236,-3.83975,-15.1977,-10.6143
0.116236,4.42056,-15.1977,-10.6143
0.167836,5.4531,-15.1977,-10.6143
0.181003,6.48564,-15.1977,-10.6143
0.172968,7.51818,-15.1977,-10.6143
0.18832,-5.90483,-14.1651,-10.6143
0.198401,-4.87229,-14.1651,-10.6143
0.227155,-3.83975,-14.1651,-10.6143
0.0924797,3.38802,-14.1651,-10.6143
0.121117,4.42056,-14.1651,-10.6143
0.168856,5.4531,-14.1651,-10.6143
0.198737,6.48564,-14.1651,-10.6143
0.209756,7.51818,-14.1651,-10.6143
0.213119,8.55072,-14.1651,-10.6143
0.207133,-5.90483,-13.1326,-10.6143
0.196357,-4.87229,-13.1326,-10.6143
0.0058444,0.290401,-13.1326,-10.6143
0.0223639,1.32294,-13.1326,-10.6143
0.0350499,2.35548,-13.1326,-10.6143
0.0660292,3.38802,-13.1326,-10.6143
0.109991,4.42056,-13.1326,-10.6143
0.164929,5.4531,-13.1326,-10.6143
0.205006,6.48564,-13.1326,-10.6143
0.223469,7.51818,-13.1326,-10.6143
0.249033,8.55072,-13.1326,-10.6143
