Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0785999,6.16201,-12.8896,-10.5416
0.0907466,7.11459,-12.8896,-10.5416
-0.0471453,1.3991,-11.937,-10.5416
-0.0647994,2.35168,-11.937,-10.5416
0.0662279,6.16201,-11.937,-10.5416
0.0759425,7.11459,-11.937,-10.5416
-0.0249955,1.3991,-10.9845,-10.5416
-0.0444516,2.35168,-10.9845,-10.5416
0.063679,6.16201,-10.9845,-10.5416
0.0705053,7.11459,-10.9845,-10.5416
0.0455676,7.11459,-10.0319,-10.5416
0.160766,-5.26897,-14.7948,-9.58901
0.27512,-6.22155,-13.8422,-9.58901
0.0694235,6.16201,-13.8422,-9.58901
0.0743509,7.11459,-13.8422,-9.58901
0.126351,-6.22155,-12.8896,-9.58901
0.0773873,6.16201,-12.8896,-9.58901
0.0804163,7.11459,-12.8896,-9.58901
-0.147142,-6.22155,-11.937,-9.58901
0.0280352,0.446522,-11.937,-9.58901
0.0174305,1.3991,-11.937,-9.58901
0.012992,2.35168,-11.937,-9.58901
0.0412929,5.20943,-11.937,-9.58901
0.0766818,6.16201,-11.937,-9.58901
0.0805725,7.11459,-11.937,-9.58901
0.0837929,8.06717,-11.937,-9.58901
0.0382201,0.446522,-10.9845,-9.58901
0.0234763,1.3991,-10.9845,-9.58901
0.0499719,2.35168,-10.9845,-9.58901
0.0721921,6.16201,-10.9845,-9.58901
0.0793522,7.11459,-10.9845,-9.58901
0.0595015,6.16201,-10.0319,-9.58901
0.0671167,7.11459,-10.0319,-9.58901
0.0491831,6.16201,-9.07929,-9.58901
0.0424736,6.16201,-8.12671,-9.58901
0.201914,-5.26897,-15.7474,-8.63643
0.131574,-4.31639,-15.7474,-8.63643
0.270564,-6.22155,-14.7948,-8.63643
0.384583,-5.26897,-14.7948,-8.63643
0.062324,6.16201,-14.7948,-8.63643
0.382085,-6.22155,-13.8422,-8.63643
0.0425175,5.20943,-13.8422,-8.63643
0.0662513,6.16201,-13.8422,-8.63643
0.0683193,7.11459,-13.8422,-8.63643
0.0679306,8.06717,-13.8422,-8.63643
0.387548,-6.22155,-12.8896,-8.63643
0.0521278,5.20943,-12.8896,-8.63643
0.0718614,6.16201,-12.8896,-8.63643
0.0739587,7.11459,-12.8896,-8.63643
0.0747506,8.06717,-12.8896,-8.63643
0.349881,-6.22155,-11.937,-8.63643
0.0515702,0.446522,-11.937,-8.63643
0.0489175,1.3991,-11.937,-8.63643
0.0360743,2.35168,-11.937,-8.63643
0.0274266,3.30427,-11.937,-8.63643
0.045316,4.25685,-11.937,-8.63643
0.0614441,5.20943,-11.937,-8.63643
0.0800864,6.16201,-11.937,-8.63643
0.0813886,7.11459,-11.937,-8.63643
0.0832593,8.06717,-11.937,-8.63643
0.164236,-6.22155,-10.9845,-8.63643
0.0657158,0.446522,-10.9845,-8.63643
0.0574554,1.3991,-10.9845,-8.63643
0.0520159,2.35168,-10.9845,-8.63643
0.0750781,6.16201,-10.9845,-8.63643
0.0822417,7.11459,-10.9845,-8.63643
0.0882002,8.06717,-10.9845,-8.63643
0.212742,-6.22155,-10.0319,-8.63643
0.0588944,6.16201,-10.0319,-8.63643
0.0694933,7.11459,-10.0319,-8.63643
0.0514876,6.16201,-9.07929,-8.63643
0.061241,7.11459,-9.07929,-8.63643
0.0455726,5.20943,-8.12671,-8.63643
0.0510318,6.16201,-8.12671,-8.63643
0.0408766,5.20943,-7.17413,-8.63643
0.175903,-6.22155,-15.7474,-7.68385
0.223978,-5.26897,-15.7474,-7.68385
0.218933,-4.31639,-15.7474,-7.68385
0.293501,-6.22155,-14.7948,-7.68385
0.366592,-5.26897,-14.7948,-7.68385
0.0476533,6.16201,-14.7948,-7.68385
0.0452214,7.11459,-14.7948,-7.68385
0.29591,-7.17413,-13.8422,-7.68385
0.354096,-6.22155,-13.8422,-7.68385
0.467136,-5.26897,-13.8422,-7.68385
0.0421543,5.20943,-13.8422,-7.68385
0.0548605,6.16201,-13.8422,-7.68385
0.053622,7.11459,-13.8422,-7.68385
0.0477722,8.06717,-13.8422,-7.68385
0.264523,-7.17413,-12.8896,-7.68385
0.322347,-6.22155,-12.8896,-7.68385
0.0452601,4.25685,-12.8896,-7.68385
0.0565387,5.20943,-12.8896,-7.68385
0.0663821,6.16201,-12.8896,-7.68385
0.0655061,7.11459,-12.8896,-7.68385
0.0604227,8.06717,-12.8896,-7.68385
0.315976,-7.17413,-11.937,-7.68385
0.321499,-6.22155,-11.937,-7.68385
0.0347559,-0.50606,-11.937,-7.68385
0.0547939,0.446522,-11.937,-7.68385
0.059112,1.3991,-11.937,-7.68385
0.0553618,2.35168,-11.937,-7.68385
0.0523054,3.30427,-11.937,-7.68385
0.0578696,4.25685,-11.937,-7.68385
0.0673707,5.20943,-11.937,-7.68385
0.078307,6.16201,-11.937,-7.68385
0.0770909,7.11459,-11.937,-7.68385
0.0739705,8.06717,-11.937,-7.68385
0.242925,-7.17413,-10.9845,-7.68385
0.241446,-6.22155,-10.9845,-7.68385
0.0595133,0.446522,-10.9845,-7.68385
0.0652978,1.3991,-10.9845,-7.68385
0.0693905,2.35168,-10.9845,-7.68385
0.0613456,5.20943,-10.9845,-7.68385
0.0767012,6.16201,-10.9845,-7.68385
0.0808891,7.11459,-10.9845,-7.68385
0.0830185,8.06717,-10.9845,-7.68385
0.253624,-6.22155,-10.0319,-7.68385
0.0630914,6.16201,-10.0319,-7.68385
0.0691034,7.11459,-10.0319,-7.68385
0.0785986,8.06717,-10.0319,-7.68385
0.339183,-6.22155,-9.07929,-7.68385
0.328888,-5.26897,-9.07929,-7.68385
0.0464744,6.16201,-9.07929,-7.68385
0.0513145,7.11459,-9.07929,-7.68385
0.520487,-5.26897,-8.12671,-7.68385
0.0310645,5.20943,-8.12671,-7.68385
0.0317553,6.16201,-8.12671,-7.68385
0.0268808,5.20943,-7.17413,-7.68385
0.032711,6.16201,-7.17413,-7.68385
0.0585495,5.20943,-6.22155,-7.68385
0.0646036,-5.26897,-16.6999,-6.73127
0.124734,-4.31639,-16.6999,-6.73127
0.191583,-7.17413,-15.7474,-6.73127
0.187967,-6.22155,-15.7474,-6.73127
0.236557,-5.26897,-15.7474,-6.73127
0.271935,-4.31639,-15.7474,-6.73127
0.263261,-7.17413,-14.7948,-6.73127
0.285326,-6.22155,-14.7948,-6.73127
0.345789,-5.26897,-14.7948,-6.73127
0.0218561,5.20943,-14.7948,-6.73127
0.0329439,6.16201,-14.7948,-6.73127
0.0267739,7.11459,-14.7948,-6.73127
0.0207479,8.06717,-14.7948,-6.73127
0.255581,-7.17413,-13.8422,-6.73127
0.31908,-6.22155,-13.8422,-6.73127
0.434166,-5.26897,-13.8422,-6.73127
0.0299285,4.25685,-13.8422,-6.73127
0.0401086,5.20943,-13.8422,-6.73127
0.0466216,6.16201,-13.8422,-6.73127
0.0418868,7.11459,-13.8422,-6.73127
0.0328976,8.06717,-13.8422,-6.73127
0.00999526,9.01975,-13.8422,-6.73127
0.220804,-7.17413,-12.8896,-6.73127
0.325829,-6.22155,-12.8896,-6.73127
0.0197272,0.446522,-12.8896,-6.73127
0.0203714,2.35168,-12.8896,-6.73127
0.0479953,3.30427,-12.8896,-6.73127
0.0505185,4.25685,-12.8896,-6.73127
0.0551179,5.20943,-12.8896,-6.73127
0.0603641,6.16201,-12.8896,-6.73127
0.0559936,7.11459,-12.8896,-6.73127
0.0469934,8.06717,-12.8896,-6.73127
0.020182,9.01975,-12.8896,-6.73127
0.246138,-7.17413,-11.937,-6.73127
0.378977,-6.22155,-11.937,-6.73127
0.0341647,-0.50606,-11.937,-6.73127
0.0512397,0.446522,-11.937,-6.73127
0.0603351,1.3991,-11.937,-6.73127
0.0643529,2.35168,-11.937,-6.73127
0.0636626,3.30427,-11.937,-6.73127
0.0640783,4.25685,-11.937,-6.73127
0.0661156,5.20943,-11.937,-6.73127
0.0724667,6.16201,-11.937,-6.73127
0.0674453,7.11459,-11.937,-6.73127
0.0598577,8.06717,-11.937,-6.73127
0.0306543,9.01975,-11.937,-6.73127
0.232308,-7.17413,-10.9845,-6.73127
0.320853,-6.22155,-10.9845,-6.73127
0.0655286,5.20943,-10.9845,-6.73127
0.074642,6.16201,-10.9845,-6.73127
0.073631,7.11459,-10.9845,-6.73127
0.070996,8.06717,-10.9845,-6.73127
0.324043,-7.17413,-10.0319,-6.73127
0.28356,-6.22155,-10.0319,-6.73127
0.0470095,5.20943,-10.0319,-6.73127
0.0632693,6.16201,-10.0319,-6.73127
0.0622858,7.11459,-10.0319,-6.73127
0.06678,8.06717,-10.0319,-6.73127
0.362651,-6.22155,-9.07929,-6.73127
0.0800605,-5.26897,-9.07929,-6.73127
0.0558176,5.20943,-9.07929,-6.73127
0.0427557,6.16201,-9.07929,-6.73127
0.0431205,7.11459,-9.07929,-6.73127
0.180041,-5.26897,-8.12671,-6.73127
0.0289509,5.20943,-8.12671,-6.73127
0.0231226,6.16201,-8.12671,-6.73127
0.0296399,7.11459,-8.12671,-6.73127
0.0202998,5.20943,-7.17413,-6.73127
0.0239812,6.16201,-7.17413,-6.73127
0.0211403,4.25685,-6.22155,-6.73127
0.0463323,5.20943,-6.22155,-6.73127
0.0292344,4.25685,-5.26897,-6.73127
0.0555756,-6.22155,-16.6999,-5.77869
0.118847,-5.26897,-16.6999,-5.77869
0.166975,-4.31639,-16.6999,-5.77869
0.0423465,-3.36381,-16.6999,-5.77869
0.142849,-7.17413,-15.7474,-5.77869
0.195822,-6.22155,-15.7474,-5.77869
0.262236,-5.26897,-15.7474,-5.77869
0.313085,-4.31639,-15.7474,-5.77869
-0.00375014,5.20943,-15.7474,-5.77869
0.0126419,6.16201,-15.7474,-5.77869
0.0169502,7.11459,-15.7474,-5.77869
0.218924,-7.17413,-14.7948,-5.77869
0.282125,-6.22155,-14.7948,-5.77869
0.356887,-5.26897,-14.7948,-5.77869
-0.0131459,4.25685,-14.7948,-5.77869
0.0149221,5.20943,-14.7948,-5.77869
0.0268301,6.16201,-14.7948,-5.77869
0.0259436,7.11459,-14.7948,-5.77869
0.027209,8.06717,-14.7948,-5.77869
0.228197,-7.17413,-13.8422,-5.77869
0.308406,-6.22155,-13.8422,-5.77869
0.431437,-5.26897,-13.8422,-5.77869
0.0292872,4.25685,-13.8422,-5.77869
0.0384346,5.20943,-13.8422,-5.77869
0.041864,6.16201,-13.8422,-5.77869
0.0387394,7.11459,-13.8422,-5.77869
0.0327396,8.06717,-13.8422,-5.77869
0.0222945,9.01975,-13.8422,-5.77869
0.201945,-7.17413,-12.8896,-5.77869
0.298842,-6.22155,-12.8896,-5.77869
-0.0002141,-0.50606,-12.8896,-5.77869
0.0149783,0.446522,-12.8896,-5.77869
0.0138757,1.3991,-12.8896,-5.77869
0.0279156,2.35168,-12.8896,-5.77869
0.0461619,3.30427,-12.8896,-5.77869
0.0496668,4.25685,-12.8896,-5.77869
0.0546169,5.20943,-12.8896,-5.77869
0.0573428,6.16201,-12.8896,-5.77869
0.0523109,7.11459,-12.8896,-5.77869
0.0439861,8.06717,-12.8896,-5.77869
0.0248859,9.01975,-12.8896,-5.77869
0.222448,-7.17413,-11.937,-5.77869
0.331597,-6.22155,-11.937,-5.77869
0.0327421,-0.50606,-11.937,-5.77869
0.0506482,0.446522,-11.937,-5.77869
0.0629175,1.3991,-11.937,-5.77869
0.0661482,2.35168,-11.937,-5.77869
0.0629803,3.30427,-11.937,-5.77869
0.0627282,4.25685,-11.937,-5.77869
0.0654528,5.20943,-11.937,-5.77869
0.0695381,6.16201,-11.937,-5.77869
0.0625426,7.11459,-11.937,-5.77869
0.0533955,8.06717,-11.937,-5.77869
0.0295617,9.01975,-11.937,-5.77869
0.219808,-7.17413,-10.9845,-5.77869
0.361906,-6.22155,-10.9845,-5.77869
0.0680104,5.20943,-10.9845,-5.77869
0.0738207,6.16201,-10.9845,-5.77869
0.0693748,7.11459,-10.9845,-5.77869
0.0637337,8.06717,-10.9845,-5.77869
0.0363467,9.01975,-10.9845,-5.77869
0.256848,-7.17413,-10.0319,-5.77869
0.326881,-6.22155,-10.0319,-5.77869
0.0572675,5.20943,-10.0319,-5.77869
0.0656998,6.16201,-10.0319,-5.77869
0.0605443,7.11459,-10.0319,-5.77869
0.0592364,8.06717,-10.0319,-5.77869
0.395504,-7.17413,-9.07929,-5.77869
0.340862,-6.22155,-9.07929,-5.77869
0.0643753,5.20943,-9.07929,-5.77869
0.0452996,6.16201,-9.07929,-5.77869
0.0392024,7.11459,-9.07929,-5.77869
0.0440497,8.06717,-9.07929,-5.77869
0.464185,-6.22155,-8.12671,-5.77869
0.162827,-5.26897,-8.12671,-5.77869
0.0398566,5.20943,-8.12671,-5.77869
0.0233837,6.16201,-8.12671,-5.77869
0.0174178,7.11459,-8.12671,-5.77869
0.382741,-5.26897,-7.17413,-5.77869
0.0251536,5.20943,-7.17413,-5.77869
0.01193,6.16201,-7.17413,-5.77869
0.932543,-5.26897,-6.22155,-5.77869
0.0396674,4.25685,-6.22155,-5.77869
0.0492311,5.20943,-6.22155,-5.77869
0.076963,4.25685,-5.26897,-5.77869
0.0291823,-6.22155,-17.6525,-4.82611
0.107265,-5.26897,-17.6525,-4.82611
0.125945,-4.31639,-17.6525,-4.82611
0.108113,-7.17413,-16.6999,-4.82611
0.14925,-6.22155,-16.6999,-4.82611
0.171676,-5.26897,-16.6999,-4.82611
0.207272,-4.31639,-16.6999,-4.82611
0.108337,-3.36381,-16.6999,-4.82611
0.174778,-7.17413,-15.7474,-4.82611
0.22455,-6.22155,-15.7474,-4.82611
0.265464,-5.26897,-15.7474,-4.82611
0.30886,-4.31639,-15.7474,-4.82611
0.00372858,5.20943,-15.7474,-4.82611
0.0206261,6.16201,-15.7474,-4.82611
0.0290021,7.11459,-15.7474,-4.82611
0.222118,-8.12671,-14.7948,-4.82611
0.2285,-7.17413,-14.7948,-4.82611
0.279062,-6.22155,-14.7948,-4.82611
0.336511,-5.26897,-14.7948,-4.82611
-0.0125277,4.25685,-14.7948,-4.82611
0.0154375,5.20943,-14.7948,-4.82611
0.0270138,6.16201,-14.7948,-4.82611
0.0304053,7.11459,-14.7948,-4.82611
0.0332326,8.06717,-14.7948,-4.82611
0.0433023,9.01975,-14.7948,-4.82611
0.200194,-8.12671,-13.8422,-4.82611
0.23388,-7.17413,-13.8422,-4.82611
0.297214,-6.22155,-13.8422,-4.82611
0.384483,-5.26897,-13.8422,-4.82611
0.0151482,3.30427,-13.8422,-4.82611
0.0265945,4.25685,-13.8422,-4.82611
0.0406167,5.20943,-13.8422,-4.82611
