Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0878839,5.45788,-17.2779,-18.9516
0.0195394,2.35754,-16.2444,-18.9516
0.0479212,5.45788,-16.2444,-18.9516
0.0428358,6.49132,-16.2444,-18.9516
0.0374025,2.35754,-15.211,-18.9516
0.0750905,6.49132,-15.211,-18.9516
0.0491105,5.45788,-18.3113,-17.9181
0.0378211,5.45788,-17.2779,-17.9181
0.043501,6.49132,-17.2779,-17.9181
0.0180422,1.3241,-16.2444,-17.9181
0.0373889,2.35754,-16.2444,-17.9181
0.0268239,4.42443,-16.2444,-17.9181
0.0235226,5.45788,-16.2444,-17.9181
0.0377325,6.49132,-16.2444,-17.9181
0.0105682,0.290657,-15.211,-17.9181
0.0538539,1.3241,-15.211,-17.9181
0.0467533,2.35754,-15.211,-17.9181
0.0502658,6.49132,-15.211,-17.9181
0.0949511,6.49132,-14.1776,-17.9181
0.050924,4.42443,-18.3113,-16.8847
0.066629,5.45788,-18.3113,-16.8847
0.0855763,6.49132,-18.3113,-16.8847
0.0419589,4.42443,-17.2779,-16.8847
0.0492654,5.45788,-17.2779,-16.8847
0.0702108,6.49132,-17.2779,-16.8847
-0.00398126,0.290657,-16.2444,-16.8847
0.0246899,1.3241,-16.2444,-16.8847
0.0283121,2.35754,-16.2444,-16.8847
0.0182599,3.39099,-16.2444,-16.8847
0.0203599,4.42443,-16.2444,-16.8847
0.0197955,5.45788,-16.2444,-16.8847
0.0461521,6.49132,-16.2444,-16.8847
0.0539999,7.52477,-16.2444,-16.8847
0.0177635,0.290657,-15.211,-16.8847
0.0520918,1.3241,-15.211,-16.8847
0.0297306,2.35754,-15.211,-16.8847
0.02877,5.45788,-15.211,-16.8847
0.0484562,6.49132,-15.211,-16.8847
0.0543626,7.52477,-15.211,-16.8847
0.0888568,6.49132,-14.1776,-16.8847
0.130332,6.49132,-13.1441,-16.8847
0.0383762,-4.87656,-19.3448,-15.8512
0.0409825,5.45788,-19.3448,-15.8512
0.0846586,-5.91001,-18.3113,-15.8512
0.122648,-4.87656,-18.3113,-15.8512
0.0596001,4.42443,-18.3113,-15.8512
