Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0634421,7.15058,-10.9642,-16.6244
0.0667307,7.15058,-10.0108,-16.6244
0.0483606,7.15058,-9.0574,-16.6244
0.0583987,7.15058,-8.10399,-16.6244
0.385478,-4.29035,-12.871,-15.671
0.474165,-5.24376,-11.9176,-15.671
0.13033,7.15058,-11.9176,-15.671
0.400954,-5.24376,-10.9642,-15.671
0.00417854,1.43012,-10.9642,-15.671
-0.00106657,2.38353,-10.9642,-15.671
-0.00297845,3.33694,-10.9642,-15.671
0.132199,7.15058,-10.9642,-15.671
0.124216,8.10399,-10.9642,-15.671
0.0222335,0.476706,-10.0108,-15.671
0.0262432,1.43012,-10.0108,-15.671
0.0117877,2.38353,-10.0108,-15.671
0.123187,7.15058,-10.0108,-15.671
0.115944,8.10399,-10.0108,-15.671
0.0979544,7.15058,-9.0574,-15.671
0.0453326,6.19717,-8.10399,-15.671
0.0686936,7.15058,-8.10399,-15.671
0.0491863,6.19717,-7.15058,-15.671
0.0734795,5.24376,-6.19717,-15.671
0.0131491,6.19717,-6.19717,-15.671
0.174336,-4.29035,-13.8245,-14.7175
0.226294,-3.33694,-13.8245,-14.7175
0.3134,-5.24376,-12.871,-14.7175
0.322588,-4.29035,-12.871,-14.7175
0.0422205,6.19717,-12.871,-14.7175
0.0681707,7.15058,-12.871,-14.7175
0.085414,8.10399,-12.871,-14.7175
0.442096,-5.24376,-11.9176,-14.7175
0.431492,-4.29035,-11.9176,-14.7175
0.0768063,6.19717,-11.9176,-14.7175
0.0965643,7.15058,-11.9176,-14.7175
0.105066,8.10399,-11.9176,-14.7175
0.535539,-5.24376,-10.9642,-14.7175
-0.00817087,0.476706,-10.9642,-14.7175
0.0108542,1.43012,-10.9642,-14.7175
0.0215195,2.38353,-10.9642,-14.7175
0.00727074,3.33694,-10.9642,-14.7175
0.0978068,6.19717,-10.9642,-14.7175
0.105604,7.15058,-10.9642,-14.7175
0.111876,8.10399,-10.9642,-14.7175
0.553657,-5.24376,-10.0108,-14.7175
0.0265029,0.476706,-10.0108,-14.7175
0.0368226,1.43012,-10.0108,-14.7175
0.018744,2.38353,-10.0108,-14.7175
0.0229974,3.33694,-10.0108,-14.7175
0.0512564,5.24376,-10.0108,-14.7175
0.10029,6.19717,-10.0108,-14.7175
0.105743,7.15058,-10.0108,-14.7175
0.10572,8.10399,-10.0108,-14.7175
0.075455,6.19717,-9.0574,-14.7175
0.0845516,7.15058,-9.0574,-14.7175
0.0839539,8.10399,-9.0574,-14.7175
0.0475173,6.19717,-8.10399,-14.7175
0.0502085,7.15058,-8.10399,-14.7175
0.0275337,6.19717,-7.15058,-14.7175
0.0102961,7.15058,-7.15058,-14.7175
0.0562852,5.24376,-6.19717,-14.7175
0.0015788,6.19717,-6.19717,-14.7175
0.106363,5.24376,-5.24376,-14.7175
