Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.170651,4.38866,-16.2639,-17.4829
0.0567542,1.29078,-15.2312,-17.4829
0.147441,4.38866,-15.2312,-17.4829
0.163071,5.42129,-15.2312,-17.4829
0.0449295,1.29078,-14.1986,-17.4829
0.175555,4.38866,-14.1986,-17.4829
0.197169,3.35604,-17.2965,-16.4502
0.232001,4.38866,-17.2965,-16.4502
0.199369,-5.9376,-16.2639,-16.4502
0.160389,3.35604,-16.2639,-16.4502
0.201447,4.38866,-16.2639,-16.4502
0.210253,5.42129,-16.2639,-16.4502
0.165527,-5.9376,-15.2312,-16.4502
0.034829,-0.774471,-15.2312,-16.4502
0.06106,0.258156,-15.2312,-16.4502
0.0842326,1.29078,-15.2312,-16.4502
0.103041,2.32341,-15.2312,-16.4502
0.119436,3.35604,-15.2312,-16.4502
0.177909,4.38866,-15.2312,-16.4502
0.189611,5.42129,-15.2312,-16.4502
0.0741637,-0.774471,-14.1986,-16.4502
0.0673917,0.258156,-14.1986,-16.4502
0.0489937,1.29078,-14.1986,-16.4502
0.192893,4.38866,-14.1986,-16.4502
0.204199,5.42129,-14.1986,-16.4502
0.265298,4.38866,-13.166,-16.4502
0.268769,5.42129,-13.166,-16.4502
0.19564,3.35604,-18.3291,-15.4176
0.188238,4.38866,-18.3291,-15.4176
0.169499,-5.9376,-17.2965,-15.4176
0.111033,-4.90498,-17.2965,-15.4176
0.152636,2.32341,-17.2965,-15.4176
0.181551,3.35604,-17.2965,-15.4176
0.205321,4.38866,-17.2965,-15.4176
0.215719,5.42129,-17.2965,-15.4176
0.242982,-6.97023,-16.2639,-15.4176
0.165422,-5.9376,-16.2639,-15.4176
0.13576,2.32341,-16.2639,-15.4176
0.147978,3.35604,-16.2639,-15.4176
0.176825,4.38866,-16.2639,-15.4176
0.185358,5.42129,-16.2639,-15.4176
0.221826,-6.97023,-15.2312,-15.4176
0.15777,-5.9376,-15.2312,-15.4176
0.0484816,-0.774471,-15.2312,-15.4176
0.0637904,0.258156,-15.2312,-15.4176
0.0829283,1.29078,-15.2312,-15.4176
0.102256,2.32341,-15.2312,-15.4176
0.112491,3.35604,-15.2312,-15.4176
0.153546,4.38866,-15.2312,-15.4176
0.163146,5.42129,-15.2312,-15.4176
0.199855,-6.97023,-14.1986,-15.4176
0.0888431,-0.774471,-14.1986,-15.4176
0.083001,0.258156,-14.1986,-15.4176
0.163288,4.38866,-14.1986,-15.4176
0.170151,5.42129,-14.1986,-15.4176
0.12692,-6.97023,-13.166,-15.4176
0.20714,4.38866,-13.166,-15.4176
0.210565,5.42129,-13.166,-15.4176
0.282214,4.38866,-12.1334,-15.4176
0.274493,5.42129,-12.1334,-15.4176
0.186048,3.35604,-18.3291,-14.385
0.183321,4.38866,-18.3291,-14.385
0.188918,5.42129,-18.3291,-14.385
0.217915,-6.97023,-17.2965,-14.385
0.165335,-5.9376,-17.2965,-14.385
0.118012,-4.90498,-17.2965,-14.385
0.15796,2.32341,-17.2965,-14.385
0.178033,3.35604,-17.2965,-14.385
0.185989,4.38866,-17.2965,-14.385
0.195257,5.42129,-17.2965,-14.385
0.186616,6.45392,-17.2965,-14.385
0.225259,-6.97023,-16.2639,-14.385
0.171297,-5.9376,-16.2639,-14.385
0.103761,1.29078,-16.2639,-14.385
0.136413,2.32341,-16.2639,-14.385
0.144918,3.35604,-16.2639,-14.385
0.16055,4.38866,-16.2639,-14.385
0.169526,5.42129,-16.2639,-14.385
0.156861,6.45392,-16.2639,-14.385
0.233845,-6.97023,-15.2312,-14.385
0.174028,-5.9376,-15.2312,-14.385
0.0361293,-1.8071,-15.2312,-14.385
0.0568097,-0.774471,-15.2312,-14.385
0.0709533,0.258156,-15.2312,-14.385
0.0862543,1.29078,-15.2312,-14.385
0.0973248,2.32341,-15.2312,-14.385
0.112492,3.35604,-15.2312,-14.385
0.139136,4.38866,-15.2312,-14.385
0.150738,5.42129,-15.2312,-14.385
0.143942,6.45392,-15.2312,-14.385
0.225546,-6.97023,-14.1986,-14.385
0.0816585,-0.774471,-14.1986,-14.385
0.0897376,0.258156,-14.1986,-14.385
0.147705,4.38866,-14.1986,-14.385
0.152906,5.42129,-14.1986,-14.385
0.143077,6.45392,-14.1986,-14.385
0.179357,-6.97023,-13.166,-14.385
0.171527,4.38866,-13.166,-14.385
0.174779,5.42129,-13.166,-14.385
0.163219,6.45392,-13.166,-14.385
0.11802,-6.97023,-12.1334,-14.385
0.177041,5.42129,-12.1334,-14.385
0.11278,5.42129,-11.1007,-14.385
0.102062,3.35604,-19.3618,-13.3524
0.108811,4.38866,-19.3618,-13.3524
0.191832,-6.97023,-18.3291,-13.3524
0.167224,-5.9376,-18.3291,-13.3524
0.144488,-4.90498,-18.3291,-13.3524
0.146179,2.32341,-18.3291,-13.3524
0.179176,3.35604,-18.3291,-13.3524
0.178056,4.38866,-18.3291,-13.3524
0.178468,5.42129,-18.3291,-13.3524
0.208576,-6.97023,-17.2965,-13.3524
0.171861,-5.9376,-17.2965,-13.3524
0.155325,2.32341,-17.2965,-13.3524
0.172148,3.35604,-17.2965,-13.3524
0.175876,4.38866,-17.2965,-13.3524
0.178253,5.42129,-17.2965,-13.3524
0.172734,6.45392,-17.2965,-13.3524
0.25393,-8.00286,-16.2639,-13.3524
0.21581,-6.97023,-16.2639,-13.3524
0.174964,-5.9376,-16.2639,-13.3524
0.0610066,0.258156,-16.2639,-13.3524
0.10692,1.29078,-16.2639,-13.3524
0.129216,2.32341,-16.2639,-13.3524
0.144242,3.35604,-16.2639,-13.3524
0.157641,4.38866,-16.2639,-13.3524
0.163599,5.42129,-16.2639,-13.3524
0.158491,6.45392,-16.2639,-13.3524
0.266235,-8.00286,-15.2312,-13.3524
0.227398,-6.97023,-15.2312,-13.3524
0.17487,-5.9376,-15.2312,-13.3524
0.0399815,-1.8071,-15.2312,-13.3524
0.0623474,-0.774471,-15.2312,-13.3524
0.076094,0.258156,-15.2312,-13.3524
0.0767729,1.29078,-15.2312,-13.3524
0.143452,4.38866,-15.2312,-13.3524
0.148709,5.42129,-15.2312,-13.3524
0.143287,6.45392,-15.2312,-13.3524
0.2811,-8.00286,-14.1986,-13.3524
0.248512,-6.97023,-14.1986,-13.3524
0.186282,-5.9376,-14.1986,-13.3524
0.155043,5.42129,-14.1986,-13.3524
0.143766,6.45392,-14.1986,-13.3524
0.257793,-8.00286,-13.166,-13.3524
0.222365,-6.97023,-13.166,-13.3524
0.165978,5.42129,-13.166,-13.3524
0.147822,6.45392,-13.166,-13.3524
0.172928,-6.97023,-12.1334,-13.3524
0.132058,5.42129,-12.1334,-13.3524
0.124772,6.45392,-12.1334,-13.3524
0.0176164,-6.97023,-11.1007,-13.3524
0.0234815,5.42129,-11.1007,-13.3524
0.162366,3.35604,-19.3618,-12.3197
0.159751,4.38866,-19.3618,-12.3197
0.154464,5.42129,-19.3618,-12.3197
0.216313,-6.97023,-18.3291,-12.3197
0.198003,-5.9376,-18.3291,-12.3197
0.189414,-4.90498,-18.3291,-12.3197
0.153058,2.32341,-18.3291,-12.3197
0.180986,3.35604,-18.3291,-12.3197
0.183733,4.38866,-18.3291,-12.3197
0.187173,5.42129,-18.3291,-12.3197
0.181175,6.45392,-18.3291,-12.3197
0.248492,-8.00286,-17.2965,-12.3197
0.209537,-6.97023,-17.2965,-12.3197
0.181227,-5.9376,-17.2965,-12.3197
0.169604,-4.90498,-17.2965,-12.3197
0.124537,1.29078,-17.2965,-12.3197
0.145276,2.32341,-17.2965,-12.3197
0.168374,3.35604,-17.2965,-12.3197
0.177796,4.38866,-17.2965,-12.3197
0.18381,5.42129,-17.2965,-12.3197
0.185541,6.45392,-17.2965,-12.3197
0.238503,-8.00286,-16.2639,-12.3197
0.203473,-6.97023,-16.2639,-12.3197
0.16954,-5.9376,-16.2639,-12.3197
0.0547376,0.258156,-16.2639,-12.3197
0.0989982,1.29078,-16.2639,-12.3197
0.117704,2.32341,-16.2639,-12.3197
0.145469,3.35604,-16.2639,-12.3197
0.16643,4.38866,-16.2639,-12.3197
0.177512,5.42129,-16.2639,-12.3197
0.182219,6.45392,-16.2639,-12.3197
0.251022,-8.00286,-15.2312,-12.3197
0.216948,-6.97023,-15.2312,-12.3197
0.181263,-5.9376,-15.2312,-12.3197
0.0604469,-1.8071,-15.2312,-12.3197
0.0550746,-0.774471,-15.2312,-12.3197
0.0658454,0.258156,-15.2312,-12.3197
0.0767653,1.29078,-15.2312,-12.3197
0.158147,4.38866,-15.2312,-12.3197
0.16979,5.42129,-15.2312,-12.3197
0.176603,6.45392,-15.2312,-12.3197
