Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.019695,4.39045,-14.2044,-18.1255
0.122124,1.29131,-13.1714,-18.1255
0.0563026,2.32436,-13.1714,-18.1255
0.0501918,3.3574,-13.1714,-18.1255
0.0240531,4.39045,-13.1714,-18.1255
0.0199263,5.4235,-13.1714,-18.1255
0.0096822,1.29131,-12.1383,-18.1255
0.0353618,2.32436,-12.1383,-18.1255
0.0272263,3.3574,-12.1383,-18.1255
0.0193982,4.39045,-12.1383,-18.1255
0.0161264,5.4235,-12.1383,-18.1255
0.00149663,4.39045,-11.1053,-18.1255
0.00319433,5.4235,-11.1053,-18.1255
0.0188347,4.39045,-10.0722,-18.1255
0.0908362,4.39045,-9.03917,-18.1255
0.164678,-4.90698,-14.2044,-17.0925
0.0198566,4.39045,-14.2044,-17.0925
0.0119694,5.4235,-14.2044,-17.0925
0.0640454,-4.90698,-13.1714,-17.0925
0.0275143,0.258263,-13.1714,-17.0925
0.0976374,1.29131,-13.1714,-17.0925
0.0495903,2.32436,-13.1714,-17.0925
0.038643,3.3574,-13.1714,-17.0925
0.0221022,4.39045,-13.1714,-17.0925
0.0237145,5.4235,-13.1714,-17.0925
0.0458161,6.45655,-13.1714,-17.0925
0.0525294,0.258263,-12.1383,-17.0925
0.0351305,1.29131,-12.1383,-17.0925
0.0365036,2.32436,-12.1383,-17.0925
0.0192306,3.3574,-12.1383,-17.0925
0.0178526,4.39045,-12.1383,-17.0925
0.0264482,5.4235,-12.1383,-17.0925
0.00739836,3.3574,-11.1053,-17.0925
0.0156892,4.39045,-11.1053,-17.0925
0.0269494,5.4235,-11.1053,-17.0925
0.0470841,4.39045,-10.0722,-17.0925
0.0501131,5.4235,-10.0722,-17.0925
0.129445,4.39045,-9.03917,-17.0925
0.15747,-4.90698,-15.2375,-16.0594
0.200357,-3.87393,-15.2375,-16.0594
0.0116152,4.39045,-15.2375,-16.0594
0.00278471,5.4235,-15.2375,-16.0594
0.192061,-4.90698,-14.2044,-16.0594
0.0177571,4.39045,-14.2044,-16.0594
0.0104433,5.4235,-14.2044,-16.0594
0.0273423,6.45655,-14.2044,-16.0594
0.143946,-5.94002,-13.1714,-16.0594
0.0837498,-4.90698,-13.1714,-16.0594
0.0510275,0.258263,-13.1714,-16.0594
0.0883543,1.29131,-13.1714,-16.0594
0.0478585,2.32436,-13.1714,-16.0594
0.0344978,3.3574,-13.1714,-16.0594
0.0209934,4.39045,-13.1714,-16.0594
0.0214399,5.4235,-13.1714,-16.0594
0.038908,6.45655,-13.1714,-16.0594
0.0402461,-5.94002,-12.1383,-16.0594
0.0112593,-4.90698,-12.1383,-16.0594
0.0782025,0.258263,-12.1383,-16.0594
0.033541,1.29131,-12.1383,-16.0594
0.0409389,2.32436,-12.1383,-16.0594
0.0242026,3.3574,-12.1383,-16.0594
0.027713,4.39045,-12.1383,-16.0594
0.0341384,5.4235,-12.1383,-16.0594
0.0444692,6.45655,-12.1383,-16.0594
0.00602836,-4.90698,-11.1053,-16.0594
0.0268895,3.3574,-11.1053,-16.0594
0.043496,4.39045,-11.1053,-16.0594
0.054808,5.4235,-11.1053,-16.0594
0.0638465,6.45655,-11.1053,-16.0594
-0.0435085,-4.90698,-10.0722,-16.0594
0.1005,4.39045,-10.0722,-16.0594
