Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0864433,-32,-80,-100.25
0.0891156,-24,-80,-100.25
0.0823389,-16,-80,-100.25
0.0711343,-40,-72,-100.25
0.097094,-32,-72,-100.25
0.100315,-24,-72,-100.25
0.0979559,-16,-72,-100.25
0.0565405,-40,-64,-100.25
-0.0129427,-48,-40,-100.25
0.105334,-40,-16,-100.25
0.102101,-32,-16,-100.25
0.113932,-32,-8,-100.25
0.0,-24,-8,-100.25
0.0996183,-24,-96,-92.25
0.0846389,-16,-96,-92.25
0.102434,-32,-88,-92.25
0.105151,-24,-88,-92.25
0.0921841,-16,-88,-92.25
0.0745869,-8,-88,-92.25
0.0738889,-40,-80,-92.25
0.0985573,-32,-80,-92.25
0.10657,-24,-80,-92.25
0.0976244,-16,-80,-92.25
0.0794173,-8,-80,-92.25
0.0736731,-40,-72,-92.25
0.101912,-32,-72,-92.25
0.113394,-24,-72,-92.25
0.104961,-16,-72,-92.25
0.0842398,-8,-72,-92.25
0.0765985,-40,-64,-92.25
0.104178,-32,-64,-92.25
0.117992,-24,-64,-92.25
0.0906449,-48,-56,-92.25
0.0905766,-40,-56,-92.25
0.112079,-32,-56,-92.25
0.0759668,-48,-48,-92.25
0.0838209,-40,-48,-92.25
0.0740526,-48,-40,-92.25
0.046029,-48,-32,-92.25
0.112094,-40,-16,-92.25
0.0759368,-32,-16,-92.25
0.151303,-40,-8,-92.25
0.114888,-32,-8,-92.25
0.10518,-24,-8,-92.25
0.163583,-32,0,-92.25
0.104946,-24,-104,-84.25
0.0917966,-16,-104,-84.25
0.0865369,-32,-96,-84.25
0.102938,-24,-96,-84.25
0.0899183,-16,-96,-84.25
0.0649684,-8,-96,-84.25
0.0555897,-40,-88,-84.25
0.0966285,-32,-88,-84.25
0.110569,-24,-88,-84.25
0.0994304,-16,-88,-84.25
0.0767535,-8,-88,-84.25
0.017872,0,-88,-84.25
0.0682436,-40,-80,-84.25
0.0996413,-32,-80,-84.25
