Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0924155,-20,-92,-112.5
0.0842139,-28,-84,-112.5
0.0974162,-20,-84,-112.5
0.10151,-12,-84,-112.5
0.0563301,-36,-92,-104.5
0.0812842,-28,-92,-104.5
0.0865985,-20,-92,-104.5
0.0809325,-12,-92,-104.5
0.0297046,-44,-84,-104.5
0.0706761,-36,-84,-104.5
0.0837494,-28,-84,-104.5
0.091467,-20,-84,-104.5
0.0864229,-12,-84,-104.5
0.064202,-4,-84,-104.5
0.03945,-44,-76,-104.5
0.0763726,-36,-76,-104.5
0.0897557,-28,-76,-104.5
0.0924324,-20,-76,-104.5
0.0872944,-12,-76,-104.5
0.0676941,-4,-76,-104.5
0.0266394,4,-76,-104.5
0.0319973,-52,-68,-104.5
0.0572803,-44,-68,-104.5
0.0824203,-36,-68,-104.5
0.0909633,-28,-68,-104.5
0.0894298,-20,-68,-104.5
0.0812022,-12,-68,-104.5
0.0648155,-4,-68,-104.5
0.0309691,4,-68,-104.5
0.0310608,-52,-60,-104.5
0.0525082,-44,-60,-104.5
0.0704954,-36,-60,-104.5
0.0830234,-28,-60,-104.5
0.0839405,-20,-60,-104.5
0.0783266,-12,-60,-104.5
0.0661228,-4,-60,-104.5
0.0426257,4,-60,-104.5
0.0331102,-52,-52,-104.5
0.05962,-44,-52,-104.5
0.0756364,-36,-52,-104.5
0.0834945,-28,-52,-104.5
0.0822098,-20,-52,-104.5
0.0761779,-12,-52,-104.5
0.0608014,-4,-52,-104.5
0.0494013,4,-52,-104.5
0.0317193,12,-52,-104.5
0.0570101,-52,-44,-104.5
0.0697298,-44,-44,-104.5
0.075032,-36,-44,-104.5
0.0796978,-28,-44,-104.5
0.0818883,-20,-44,-104.5
0.0786174,-12,-44,-104.5
0.0707612,-4,-44,-104.5
0.0510261,4,-44,-104.5
0.0384206,12,-44,-104.5
0.0872536,-52,-36,-104.5
0.0779634,-44,-36,-104.5
0.0771371,-36,-36,-104.5
0.0785724,-28,-36,-104.5
0.0877526,-20,-36,-104.5
0.0808283,-12,-36,-104.5
0.0291835,-4,-36,-104.5
0.0235424,4,-36,-104.5
0.0376947,12,-36,-104.5
0.102315,-52,-28,-104.5
0.0910007,-44,-28,-104.5
0.095262,-36,-28,-104.5
0.0881834,-28,-28,-104.5
0.104201,-52,-20,-104.5
0.0839841,-44,-20,-104.5
0.0926904,-36,-20,-104.5
0.0813152,-28,-20,-104.5
0.0527942,12,-20,-104.5
0.0454735,20,-20,-104.5
0.110213,-52,-12,-104.5
0.0823818,-44,-12,-104.5
0.0654642,-36,-12,-104.5
0.0492205,-28,-12,-104.5
0.0819169,12,-12,-104.5
0.0508496,20,-12,-104.5
0.096208,12,-4,-104.5
0.0722727,20,-4,-104.5
0.0526156,4,4,-104.5
0.097847,12,4,-104.5
0.0793656,20,4,-104.5
0.0593684,4,12,-104.5
0.100362,12,12,-104.5
0.090188,20,12,-104.5
0.0540407,4,20,-104.5
0.0985636,12,20,-104.5
0.0924283,20,20,-104.5
0.0848029,12,28,-104.5
0.100852,20,28,-104.5
0.0150601,-36,-100,-96.5
0.0873336,-28,-100,-96.5
0.0964064,-20,-100,-96.5
-0.0162195,-44,-92,-96.5
0.0324161,-36,-92,-96.5
0.074614,-28,-92,-96.5
0.0947468,-20,-92,-96.5
0.0777842,-12,-92,-96.5
0.0465685,-4,-92,-96.5
-0.00257673,-44,-84,-96.5
0.0521068,-36,-84,-96.5
0.0820668,-28,-84,-96.5
0.0925399,-20,-84,-96.5
0.0757736,-12,-84,-96.5
0.04998,-4,-84,-96.5
0.00124013,4,-84,-96.5
-0.0145719,-52,-76,-96.5
0.0234591,-44,-76,-96.5
0.0655388,-36,-76,-96.5
0.0856361,-28,-76,-96.5
0.0890227,-20,-76,-96.5
0.0753448,-12,-76,-96.5
0.0534577,-4,-76,-96.5
0.017911,4,-76,-96.5
0.011136,-52,-68,-96.5
0.0452627,-44,-68,-96.5
0.0758866,-36,-68,-96.5
0.0890882,-28,-68,-96.5
0.0876221,-20,-68,-96.5
0.0762567,-12,-68,-96.5
0.0547259,-4,-68,-96.5
0.0252199,4,-68,-96.5
-0.0235721,12,-68,-96.5
0.0280921,-52,-60,-96.5
0.0586451,-44,-60,-96.5
0.0793185,-36,-60,-96.5
0.0890427,-28,-60,-96.5
0.0863233,-20,-60,-96.5
0.0781443,-12,-60,-96.5
0.0574856,-4,-60,-96.5
0.0321211,4,-60,-96.5
-0.0100836,12,-60,-96.5
0.0389936,-52,-52,-96.5
0.0681252,-44,-52,-96.5
0.0841111,-36,-52,-96.5
0.0888837,-28,-52,-96.5
0.0839726,-20,-52,-96.5
0.0751322,-12,-52,-96.5
0.0622457,-4,-52,-96.5
0.0518333,4,-52,-96.5
0.0348103,12,-52,-96.5
0.0773959,-52,-44,-96.5
0.0821098,-44,-44,-96.5
0.0879904,-36,-44,-96.5
0.0894334,-28,-44,-96.5
0.0866038,-20,-44,-96.5
0.0763574,-12,-44,-96.5
0.0626173,-4,-44,-96.5
0.0376161,4,-44,-96.5
0.0208382,12,-44,-96.5
-0.00257526,20,-44,-96.5
0.0974908,-52,-36,-96.5
0.0934845,-44,-36,-96.5
0.095264,-36,-36,-96.5
0.0939602,-28,-36,-96.5
0.0951038,-20,-36,-96.5
0.07942,-12,-36,-96.5
0.0172868,-4,-36,-96.5
-0.00432553,4,-36,-96.5
0.00840398,12,-36,-96.5
-0.00358353,20,-36,-96.5
0.10571,-52,-28,-96.5
0.104298,-44,-28,-96.5
0.113023,-36,-28,-96.5
0.107417,-28,-28,-96.5
0.017443,20,-28,-96.5
0.0935128,-52,-20,-96.5
0.0951248,-44,-20,-96.5
0.114892,-36,-20,-96.5
0.0339541,20,-20,-96.5
0.0932775,-52,-12,-96.5
0.0899036,-44,-12,-96.5
0.0800316,-36,-12,-96.5
0.0773934,12,-12,-96.5
0.0679437,20,-12,-96.5
0.0984243,-52,-4,-96.5
0.0910937,-44,-4,-96.5
0.0633526,-36,-4,-96.5
0.0867769,12,-4,-96.5
0.0716964,20,-4,-96.5
0.102234,-52,4,-96.5
0.0978392,-44,4,-96.5
0.0758122,-36,4,-96.5
0.0801631,4,4,-96.5
0.0910593,12,4,-96.5
0.0829022,20,4,-96.5
0.101802,-44,12,-96.5
0.0901003,-36,12,-96.5
0.0631442,-28,12,-96.5
0.0320488,-20,12,-96.5
0.0890396,-12,12,-96.5
0.10757,-4,12,-96.5
0.0876901,4,12,-96.5
0.0931608,12,12,-96.5
0.101225,20,12,-96.5
0.111234,-44,20,-96.5
0.105048,-36,20,-96.5
